Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Afinoo, Gens,1,-,2,-,-,3,1,-,-,-
  , Hier,-,-,3,-,1,1,2,-,-,-
  , Jasson,-,2,3,-,-,-,-,-,-,-
  , Kamih,-,-,4,1,2,1,-,-,-,-
  , Kenahehab,-,-,4,-,1,2,1,1,-,-
  , Yehaba,1,-,2,-,2,5,2,-,-,-
 Anama, Maalna,3,-,2,2,-,4,-,-,-,-
  , Maseera,1,-,4,1,1,3,-,-,-,-
  , Shakasi,-,-,3,-,1,3,1,-,-,-
  , Shirshocin,1,-,2,-,-,3,-,-,-,-
  , Van,4,-,-,-,-,1,-,-,-,-
  , Zayi,1,1,4,1,2,2,2,1,-,-
 Fabai, Anath,1,-,3,-,1,2,1,-,-,-
  , Efu,-,-,3,1,1,2,1,1,-,-
  , Naga,1,1,4,2,1,2,1,-,-,-
  , Omigiav,-,1,2,-,-,2,-,-,-,-
  , Sakht,1,-,2,1,2,1,-,-,-,-
  , Tisot,1,-,1,2,1,1,2,-,-,-
 Helab, Ahraghen,-,-,1,-,1,4,2,-,-,-
  , Ajna,1,1,3,-,1,2,-,-,-,-
  , Fageras,-,-,4,2,1,5,-,1,-,-
  , Nielez,4,-,-,2,2,2,1,-,-,-
  , Sheri,2,-,3,1,2,1,-,-,-,-
  , Soliara,2,1,3,-,-,3,1,-,-,-
  , Tukanas,1,1,2,-,1,2,-,1,-,-
 Leseasesh, Defsunun,-,1,1,-,2,5,1,1,-,-
  , Esubara,-,1,1,-,-,-,-,-,-,-
  , Getrenjesa,2,1,3,-,-,4,-,-,-,-
  , Jerhesh,-,-,3,1,-,3,-,-,-,-
  , Nalnifan,1,1,3,-,1,1,2,-,-,-
  , Shafrak,2,-,2,-,-,4,1,-,-,-
  , Yahyerer,-,-,3,1,1,2,1,1,-,-
  , Zazamye,-,-,3,1,1,4,-,-,-,-
 Maal, Anohel,1,1,3,-,-,3,-,-,-,-
  , Bapraya,1,-,3,2,2,4,-,-,-,-
  , Ghekon,-,1,3,-,-,1,2,-,-,-
  , Illi,1,-,3,-,2,1,1,-,-,-
  , Keba,2,-,2,-,2,3,-,-,-,-
  , Pserz,2,-,3,1,2,3,1,-,-,-
  , Soza,1,-,2,1,-,7,-,1,-,-
  , Vaini,1,-,-,1,-,2,-,-,-,-
  , Zaveral,2,-,2,2,1,4,1,-,-,-
 Mareerieh, Isid,2,-,2,-,-,1,2,1,-,-
  , Marmeha,2,-,-,1,-,1,1,-,-,-
  , Onanam,-,-,5,-,1,1,2,-,-,-
  , Sadana,1,-,1,-,1,4,1,-,-,-
  , Udianoor,-,1,3,1,2,2,1,-,-,-
  , Vehan,-,1,4,-,1,-,1,-,-,-
 Mayonhen, Avada,-,-,3,-,2,2,-,1,-,-
  , Bazadod,2,-,1,-,1,5,1,-,-,-
  , Chibi,-,-,3,-,1,4,1,-,-,-
  , Haimeh,2,-,1,1,1,4,-,-,-,-
  , Mishi,3,-,2,-,-,4,-,-,-,-
  , Pahineh,1,-,2,-,2,1,1,2,-,-
 Ombil, Balas,-,-,-,1,-,-,-,-,-,-
  , Edilkam,1,-,4,-,-,3,-,-,-,-
  , Ertoo,-,-,4,-,-,1,1,-,-,-
  , Feshur,-,1,4,-,-,1,1,-,-,-
  , Fihrneh,-,1,3,-,-,3,-,-,-,-
  , Gesh,-,1,4,1,1,2,-,-,-,-
  , Hakatiz,-,-,3,2,1,4,-,-,-,-
  , Hoseen,-,2,3,1,1,1,-,-,-,-
  , Khnar,-,-,2,1,-,2,1,-,-,-
  , Parouz,1,1,4,1,-,4,-,-,-,-
  , Pemsah,1,-,3,1,1,3,1,-,-,-
  , Yekh,2,1,2,-,2,2,-,-,-,-
  , Yiratal,2,-,1,-,1,5,-,-,-,-
 Selonat, Esaeel,-,2,4,-,-,2,1,-,-,-
  , Fobiner,1,-,4,1,-,4,-,-,-,-
  , Hophib,-,-,4,3,-,4,-,3,-,-
  , Huna,-,2,3,-,-,-,1,-,-,-
  , Karan,2,-,3,-,1,2,2,-,-,-
  , Ned,2,-,1,-,1,2,-,-,-,-
  , Nouta,-,-,3,1,-,4,1,-,-,-
 Tid, Afrah,2,-,4,-,-,1,-,-,-,-
  , Nema,-,1,3,-,2,6,-,-,-,-
  , Rashagh,3,-,-,1,-,1,1,-,-,-
  , Sazilid,1,1,2,-,-,1,1,-,-,-
  , Shenda,2,-,3,-,2,1,-,-,-,-
  , Sota,-,1,1,-,-,1,-,-,-,-
