Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Aokinen, Astoh,1,-,3,-,3,1,1,-,-,-
  , Onnamon,-,2,3,-,-,1,1,-,-,-
  , Rohamaa,2,-,2,-,2,3,-,-,-,-
  , Samanuni,2,1,2,2,1,3,1,-,-,-
  , Tsuruma,-,1,4,-,-,1,1,1,-,-
  , Uchomida,-,-,2,-,-,5,-,-,-,-
  , Uuhulanen,-,-,3,-,1,3,4,-,-,-
 Inolari, Eha,2,-,3,-,-,2,1,-,-,-
  , Innia,-,-,2,-,-,2,-,-,-,-
  , Iralaja,2,1,2,1,-,3,-,-,-,-
  , Kinakka,1,-,-,1,1,5,1,-,-,-
  , Martoh,1,-,3,-,1,4,-,-,-,-
  , Pavanakka,-,1,2,1,-,1,-,-,-,-
  , Raihbaka,2,1,3,-,2,-,-,-,-,-
 Ishaga, Aivonen,1,-,-,1,4,1,-,1,-,-
  , Akidagi,3,-,1,1,-,3,-,2,-,-
  , Enaluri,1,-,5,-,-,2,-,-,-,-
  , Hallanen,-,1,2,-,1,2,1,-,-,-
  , Hikkoken,-,-,2,1,1,4,-,-,-,-
  , Immuri,1,1,2,1,1,4,-,-,-,-
  , Nennamaila,-,-,3,-,2,3,3,-,-,-
 Kurala, Asakai,1,1,3,-,-,2,-,-,-,-
  , Elunala,-,1,2,-,-,1,1,-,-,-
  , Ikoskio,4,-,2,-,1,3,1,-,-,-
  , Mushikegi,1,-,1,1,1,1,1,-,-,-
  , Okkamon,2,-,4,-,1,1,1,1,-,-
  , Prism,1,-,4,1,2,2,-,-,-,-
  , Teskanen,-,-,4,1,1,2,-,-,-,-
  , Vaaralen,2,-,1,-,1,2,3,-,-,-
 Okakuola, Hirri,-,-,2,1,1,3,1,-,-,-
  , Iwisoda,-,1,2,1,1,1,-,2,-,-
  , Kedama,1,2,2,-,1,1,1,-,-,-
  , Nisuwa,1,-,3,-,-,4,1,1,-,-
  , Notoras,1,-,2,2,-,1,-,-,-,-
  , Oinasiken,2,-,2,-,-,4,2,1,-,-
  , Pynekastoh,1,-,2,-,1,1,-,1,-,-
  , Rakapas,-,-,2,1,-,3,-,-,-,-
  , Reitsato,-,-,3,-,1,1,-,2,-,-
  , Teimo,-,-,3,-,1,5,1,-,-,-
 Urpiken, Ashitsu,-,-,2,1,1,6,1,-,-,-
  , Hykanima,2,-,4,-,-,3,1,-,-,-
  , Ienakkamon,-,-,2,1,2,5,1,-,-,-
  , Kehjari,2,-,1,1,-,2,-,-,-,-
  , Korasen,-,1,3,-,-,3,-,-,-,-
  , Okagaiken,1,-,1,1,-,2,-,-,-,-
  , Sarenemi,1,-,4,1,1,4,-,-,-,-
  , Villasen,-,1,3,-,1,2,-,-,-,-
