Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 0C-PZ4, BKG-Q2,1,-,3,-,2,3,-,1,-,-
  , JRZ-B9,3,-,1,-,-,3,-,-,-,-
  , OJ-A8M,-,-,2,-,1,4,-,-,-,-
  , S-B7IT,-,1,1,-,-,2,1,-,-,-
  , V8W-QS,1,-,3,-,-,2,1,-,-,-
  , X4UV-Z,-,1,3,-,1,3,-,-,-,-
 304-QS, AH-B84,-,1,3,-,2,1,1,-,-,-
  , B-GC1T,2,-,3,-,2,1,1,-,-,-
  , F-9F6Q,2,-,2,2,1,4,1,1,-,-
  , HB7R-F,1,-,2,1,2,2,2,-,-,-
  , JTAU-5,1,-,2,-,-,3,-,-,-,-
  , O-JPKH,1,-,3,1,2,3,1,-,-,-
 8-IL7S, 0P9Z-I,1,1,1,-,-,4,-,-,-,-
  , 4-48K1,2,2,3,1,1,2,1,-,-,-
  , C-HCGU,-,1,2,-,-,2,1,-,-,-
  , NTV0-1,-,-,1,-,-,1,-,-,-,-
  , Q-FEEJ,-,2,2,-,-,1,1,-,-,-
  , XW-2XP,-,-,2,1,2,6,1,-,-,-
 BI-NFW, 5-P1Y2,5,-,2,1,1,2,2,-,-,-
  , BWI1-9,-,1,2,-,2,2,1,-,-,-
  , C-LBQS,2,-,4,1,-,4,-,-,-,-
  , J52-BH,-,2,2,-,-,1,-,-,-,-
  , KJ-QWL,-,1,3,-,-,3,-,1,-,-
  , KMQ4-V,1,-,1,3,-,3,-,-,-,-
  , SVB-RE,1,-,-,-,-,6,2,-,-,-
 BZ-10K, 8-4GQM,-,-,3,1,-,4,1,-,-,-
  , LRWD-B,1,-,1,-,2,4,1,1,-,-
  , M-HU4V,1,1,3,1,1,-,-,-,-,-
  , QXQ-BA,-,1,2,2,-,3,1,-,-,-
  , T-Q2DD,1,-,2,-,1,6,1,-,-,-
  , X7R-JW,-,1,3,-,1,2,-,-,-,-
 C-ULS4, 3-N3OO,-,-,2,1,1,5,2,-,-,-
  , 4-BE0M,1,-,3,-,1,3,-,-,-,-
  , A-G1FM,1,-,3,-,1,4,1,-,-,-
  , CS-ZGD,-,1,5,-,1,-,2,1,-,-
  , I-7RIS,2,-,3,-,-,6,-,-,-,-
  , P7Z-R3,1,-,3,-,1,5,-,-,-,-
  , ZIU-EP,-,-,4,-,-,4,-,-,-,-
 E-312G, 52G-NZ,1,-,2,-,1,2,1,-,-,-
  , 5LJ-MD,1,-,3,-,-,2,-,1,-,-
  , 6-O5GY,-,-,2,-,2,3,-,-,-,-
  , B8O-KJ,1,1,2,-,-,3,-,-,-,-
  , KV-8SN,1,-,2,-,3,5,1,-,-,-
  , QCWA-Z,-,2,4,-,-,3,-,-,-,-
  , UB-UQZ,2,-,3,-,1,3,-,1,-,-
  , XM-4L0,-,-,5,-,1,5,-,-,-,-
  , YG-82V,1,1,2,1,1,2,-,-,-,-
  , Z-K495,1,-,2,1,3,4,-,-,-,-
 GP-GIU, 3-TD6L,1,1,3,2,2,1,-,-,-,-
  , CX-1XF,-,-,2,-,2,3,-,-,-,-
  , KL3O-J,3,-,4,-,2,5,1,-,-,-
  , NLPB-0,-,1,5,1,-,4,-,-,-,-
  , Q-NJZ4,-,2,3,-,1,-,-,-,-,-
  , R4O-I6,2,-,2,2,2,2,-,-,-,-
 JE7-F2, DCI7-7,-,1,2,1,-,2,-,-,-,-
  , EWN-2U,3,-,2,-,2,1,-,-,-,-
  , J7YR-1,2,-,2,-,2,1,1,-,-,-
  , KMC-WI,1,-,3,1,-,6,-,-,-,-
  , PKG4-7,1,-,3,-,-,2,1,1,-,-
  , UQ9-3C,2,-,1,-,1,5,-,1,-,-
  , VL3I-M,2,-,2,-,2,2,-,-,-,-
 KWCZ-A, 313I-B,2,-,1,1,1,2,-,-,-,-
  , 4DTQ-K,2,-,3,-,1,2,-,-,-,-
  , D4R-H7,1,-,-,-,2,3,1,-,-,-
  , EQI2-2,-,2,3,1,1,2,-,-,-,-
  , J9-5MQ,2,-,1,2,1,3,-,-,-,-
  , Q-4DEC,-,1,3,1,1,2,-,-,-,-
 LIB-F9, 1IX-C0,1,-,2,1,2,5,2,-,-,-
  , 2B7A-3,1,-,1,-,3,4,-,-,-,-
  , 3F-JZF,3,-,2,-,1,3,-,-,-,-
  , 5-0WB9,-,-,1,-,1,5,2,-,-,-
  , PUWL-4,3,-,-,2,-,1,-,-,-,-
  , W-4FA9,-,-,4,-,1,3,1,-,-,-
  , Y-1918,2,-,3,-,2,-,2,1,-,-
 Q5KW-Z, 1G-MJE,-,-,2,-,2,3,1,-,-,-
  , 9F-7PZ,2,-,1,1,1,4,1,-,-,-
  , C-LP3N,-,1,3,1,2,1,1,-,-,-
  , LXWN-W,3,1,2,-,-,3,2,-,-,-
  , MA-VDX,2,1,1,-,1,3,-,-,-,-
  , RO90-H,2,-,-,1,1,6,-,-,-,-
  , WO-AIJ,-,1,3,-,1,-,-,-,-,-
 T-RQ7S, 3KNA-N,-,1,2,-,3,4,-,-,-,-
  , 9-B1DS,1,-,3,2,2,2,1,-,-,-
  , BU-IU4,1,-,1,1,1,4,-,-,-,-
  , CH9L-K,2,-,3,-,1,3,-,-,-,-
  , I-7JR4,-,-,3,-,1,5,2,1,-,-
  , ME-4IU,1,-,3,-,-,3,1,1,-,-
  , QYZM-W,-,-,3,-,2,3,1,-,-,-
 XPBM-F, C-4ZOS,1,-,3,-,-,3,2,1,-,-
  , C-VGYO,1,-,3,-,1,1,1,-,-,-
  , K-8SQS,1,-,1,-,-,6,1,-,-,-
  , NEH-CS,-,-,3,2,2,1,2,1,-,-
  , O94U-A,-,2,3,-,-,-,1,-,-,-
  , XW-JHT,3,-,1,-,2,1,1,-,-,-
