Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 5HN-S5, 8-SPNN,1,1,4,-,2,1,1,-,-,-
  , B-T6BT,1,-,-,-,1,4,1,2,-,-
  , I6-SYN,-,-,3,-,1,3,-,-,-,-
  , O-5TN1,2,-,3,-,2,5,-,-,-,-
  , U-QMOA,1,-,2,-,-,4,2,-,-,-
  , VK-A5G,-,1,3,1,1,1,1,-,-,-
 BVA-YH, 2-2EWC,-,-,4,-,1,2,2,-,-,-
  , 8-BIE3,-,-,3,2,-,-,2,-,-,-
  , 995-3G,-,1,4,-,-,2,-,-,-,-
  , D-6H64,1,-,2,-,-,3,1,-,-,-
  , E1W-TB,-,1,3,-,-,4,-,-,-,-
  , LMM7-L,-,-,2,-,1,2,-,-,-,-
 FQ-COP, 0LY-W1,2,-,1,-,-,3,1,-,-,-
  , 4YO-QK,2,1,2,-,-,4,-,-,-,-
  , 8-VC6H,-,1,3,-,-,2,-,-,-,-
  , BTLH-I,3,-,1,2,-,4,-,-,-,-
  , LJ-RJK,2,-,3,-,2,3,1,-,-,-
  , U93O-A,2,-,3,-,3,1,2,-,-,-
 MRC-29, 8OYE-Z,-,1,3,-,1,4,-,-,-,-
  , K85Y-6,1,1,3,-,1,-,1,-,-,-
  , LQ-01M,-,-,4,-,1,3,-,-,-,-
  , NG-M8K,-,1,4,-,2,1,1,2,-,-
  , PKN-NJ,1,1,3,-,1,7,1,-,-,-
  , RV5-TT,1,1,1,1,2,2,2,-,-,-
 VS-8P0, 04EI-U,1,1,3,1,-,3,-,-,-,-
  , BLMX-B,1,-,3,-,1,4,-,-,-,-
  , IVP-KA,-,-,3,-,1,1,1,-,-,-
  , M-CNUD,-,-,4,-,-,4,1,-,-,-
  , Q-UEN6,1,1,1,1,2,2,1,-,-,-
  , W2T-TR,1,1,1,1,-,6,-,-,-,-
  , YE1-9S,1,-,3,1,-,3,1,1,-,-
 VSC-W9, 5F-MG1,-,-,5,-,-,5,2,-,-,-
  , JZ-B5Y,1,1,4,-,1,2,-,1,-,-
  , M-MCP8,1,-,1,-,-,2,1,-,-,-
  , NIF-JE,1,-,3,1,1,3,1,-,-,-
  , P7-45V,-,1,2,1,-,1,1,-,-,-
  , TPG-DD,3,-,1,-,2,3,1,-,-,-
 Y-JSM8, 4S0-NP,-,-,5,1,-,4,-,1,-,-
  , C-6YHJ,-,1,3,-,-,3,-,-,-,-
  , E5T-CS,2,1,3,-,-,2,-,-,-,-
  , I-2705,1,-,1,1,3,2,-,-,-,-
  , K-RMI5,1,-,3,2,-,3,1,-,-,-
  , M53-1V,1,-,4,-,-,1,1,-,-,-
  , W4C8-Q,1,1,4,1,1,2,1,-,-,-
