Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 6JCS-4, 5-N2EY,2,-,2,-,2,2,2,-,-,-
  , BUZ-DB,-,1,4,-,1,1,-,1,-,-
  , JGW-OT,1,-,3,-,1,4,-,-,-,-
  , K717-8,1,-,4,-,1,3,-,-,-,-
  , KB-U56,-,1,4,1,1,2,1,-,-,-
  , KH0Z-0,1,1,3,-,2,2,-,-,-,-
  , NH-1X6,2,-,1,-,2,4,-,-,-,-
  , UCG4-B,-,1,4,-,2,2,-,-,-,-
 9HXQ-G, 3-OKDA,2,1,4,-,1,1,-,-,-,-
  , 3GD6-8,-,1,2,-,3,1,2,-,-,-
  , 4M-HGL,-,1,4,1,1,1,1,-,-,-
  , AX-DOT,1,-,2,-,-,5,-,-,-,-
  , GE-8JV,1,-,3,-,1,2,1,1,-,-
  , MY-W1V,-,-,3,-,1,4,1,-,-,-
  , YHN-3K,1,1,4,-,-,6,-,1,-,-
 A-JI5E, 8B-2YA,2,-,-,1,-,4,1,-,-,-
  , CX65-5,-,-,6,1,1,2,-,-,-,-
  , HP-64T,-,-,2,-,-,3,1,-,-,-
  , JA-O6J,-,1,5,1,-,1,3,1,-,-
  , L-B55M,-,1,2,-,-,3,3,-,-,-
  , SNFV-I,3,-,2,2,-,4,2,-,-,-
  , V2-VC2,-,1,1,-,1,-,-,-,-,-
 BRP2-K, 25S-6P,-,1,5,-,2,2,1,-,-,-
  , 4-07MU,1,1,2,-,2,3,-,-,-,-
  , 6BPS-T,1,-,2,-,-,2,2,-,-,-
  , CNC-4V,2,1,4,-,1,1,-,-,-,-
  , FAT-6P,1,1,5,-,-,3,-,1,-,-
  , RR-D05,1,-,5,1,1,2,-,-,-,-
  , Y-PNRL,-,-,1,-,1,3,2,-,-,-
 EM-L3K, 1P-WGB,-,2,4,-,1,-,1,-,-,-
  , F4R2-Q,2,-,-,2,3,3,1,1,-,-
  , K0CN-3,1,-,3,-,1,3,1,-,-,-
  , L7XS-5,-,-,2,-,2,1,1,-,-,-
  , VA6-DR,-,1,3,-,-,4,-,-,-,-
  , WLAR-J,2,1,1,1,2,5,-,-,-,-
 FDR-EQ, 3-SFWG,-,-,2,1,-,2,-,-,-,-
  , A-VILQ,-,-,3,-,-,4,1,-,-,-
  , CB4-Q2,-,1,2,-,1,5,1,2,-,-
  , CBL-XP,1,-,2,1,1,3,-,1,-,-
  , N-8BZ6,-,1,6,-,-,2,1,2,-,-
  , UQ-PWD,2,1,2,-,1,1,-,-,-,-
  , WJ-9YO,1,-,3,-,1,4,1,-,-,-
  , X3FQ-W,-,-,3,-,-,3,1,1,-,-
 JZV-O6, 6-MM99,4,-,2,-,2,5,-,1,-,-
  , FZ-6A5,2,-,-,-,1,3,2,-,-,-
  , G-7WUF,1,-,1,-,2,1,-,-,-,-
  , JBY6-F,1,-,1,-,1,6,1,-,-,-
  , MB-NKE,1,2,3,-,2,-,2,1,-,-
  , RNF-YH,1,1,4,-,1,3,1,-,-,-
 N-OGI1, 2J-WJY,-,-,2,-,-,3,2,-,-,-
  , 6-K738,2,-,2,1,1,3,-,-,-,-
  , 9-8GBA,2,-,2,1,1,2,-,-,-,-
  , KDF-GY,2,-,-,-,1,2,-,-,-,-
  , QBQ-RF,-,-,-,1,-,1,-,-,-,-
  , QSM-LM,1,-,3,1,1,1,1,-,-,-
  , ZXIC-7,-,-,2,-,1,4,1,1,-,-
 NNLX-K, 7MD-S1,-,-,4,1,1,4,1,-,-,-
  , BR-N97,1,-,4,-,1,3,-,-,-,-
  , ERVK-P,1,-,3,-,-,2,2,-,-,-
  , IS-R7P,-,2,2,-,-,1,-,-,-,-
  , S25C-K,1,1,3,-,1,-,1,1,-,-
  , UL-7I8,-,-,4,2,2,3,1,-,-,-
 T-1WDH, 7LHB-Z,1,-,1,1,-,3,-,-,-,-
  , AOK-WQ,-,-,4,-,-,-,1,-,-,-
  , B-XJX4,1,1,3,-,-,2,1,-,-,-
  , E1-4YH,1,-,3,-,1,4,1,-,-,-
  , E3-SDZ,1,-,-,1,1,3,2,-,-,-
  , MUXX-4,-,-,4,-,-,3,1,-,-,-
 T-HHHT, E-YJ8G,2,-,4,-,-,2,-,-,-,-
  , G-AOTH,1,-,3,1,2,3,1,-,-,-
  , J6QB-P,-,1,-,-,-,2,-,-,-,-
  , KA6D-K,-,1,5,-,-,-,-,1,-,-
  , TA3T-3,2,-,1,-,-,3,1,-,-,-
  , ZQ-Z3Y,-,-,1,-,-,3,2,-,-,-
 U-JTBT, 4NBN-9,-,1,5,-,-,-,1,-,-,-
  , CZK-ZQ,1,1,3,-,-,3,1,-,-,-
  , EX6-AO,-,1,3,-,1,1,2,-,-,-
  , Q-U96U,-,-,3,-,2,4,1,-,-,-
  , QETZ-W,4,-,1,-,1,1,2,-,-,-
  , W-MPTH,2,-,3,1,-,3,-,-,-,-
  , WFC-MY,-,-,3,2,2,3,-,1,-,-
  , X4-WL0,-,-,3,2,-,3,1,-,-,-
 UX3-N2, 36N-HZ,-,-,3,-,2,3,-,1,-,-
  , 9KOE-A,1,1,1,-,1,2,-,1,-,-
  , B-3QPD,-,1,1,-,-,-,1,-,-,-
  , F9E-KX,1,-,3,-,1,5,-,1,-,-
  , HED-GP,2,-,-,-,1,2,1,-,-,-
  , HY-RWO,-,-,-,-,1,3,-,1,-,-
  , SV5-8N,2,-,2,-,1,1,1,-,-,-
  , U-QVWD,-,1,5,-,1,3,2,-,-,-
  , V-3YG7,1,-,2,1,-,1,2,1,-,-
  , WD-VTV,1,1,2,-,-,4,-,-,-,-
 XR9-LP, 6X7-JO,1,-,3,-,1,3,1,-,-,-
  , A-803L,1,-,5,1,1,1,-,-,-,-
  , GJ0-OJ,1,-,3,-,2,1,2,1,-,-
  , I-8D0G,2,-,-,1,-,5,-,-,-,-
  , J-ODE7,1,-,2,-,-,3,-,-,-,-
  , JWZ2-V,1,-,3,-,-,3,1,2,-,-
  , OGL8-Q,-,-,4,-,-,3,-,-,-,-
