Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Assilot, 00TY-J,-,-,3,-,2,3,-,-,-,-
  , 5S-KNL,1,-,1,-,-,3,2,-,-,-
  , 6RCQ-V,1,-,2,1,-,4,-,-,-,-
  , PPG-XC,-,1,2,-,1,3,-,-,-,-
  , QA1-BT,-,-,2,-,2,3,1,-,-,-
  , XG-D1L,2,-,2,-,-,2,1,-,-,-
 Balenne, 1-NW2G,2,-,1,-,1,4,1,-,-,-
  , 77-KDQ,2,-,1,-,1,1,-,1,-,-
  , F7C-H0,-,-,3,-,1,2,-,-,-,-
  , FD53-H,1,-,1,-,2,2,1,1,-,-
  , O-IVNH,-,-,3,-,1,2,1,-,-,-
  , O-ZXUV,2,-,3,-,2,3,1,-,-,-
  , TN-T7T,1,-,2,1,1,6,-,-,-,-
 Miennue, 28O-JY,2,-,1,1,-,3,2,-,-,-
  , 6ON-RW,2,1,2,-,-,1,-,1,-,-
  , CX7-70,1,-,3,1,-,2,-,1,-,-
  , P5-KCC,2,-,2,-,1,4,-,-,-,-
  , U65-CN,1,1,3,-,1,3,-,-,-,-
  , X-M9ON,-,1,2,-,-,3,-,-,-,-
 Prelle, 6Z9-0M,1,-,3,-,1,1,1,-,-,-
  , 9-4RP2,-,2,2,-,-,-,1,1,-,-
  , FQ9W-C,1,-,4,1,1,1,1,1,-,-
  , G8AD-C,1,1,3,-,1,6,1,-,-,-
  , MJYW-3,-,2,4,-,-,2,1,-,-,-
  , O-BDXB,-,1,4,1,1,6,-,-,-,-
  , XZH-4X,-,-,4,-,1,1,1,-,-,-
  , Z-Y7R7,1,-,3,-,1,2,-,-,-,-
 Tinnimerci, 6-4V20,1,-,4,1,-,3,-,1,-,-
  , 8R-RTB,4,-,2,-,2,2,-,-,-,-
  , O-0HW8,2,1,3,-,1,2,1,1,-,-
  , OU-X3P,-,-,2,-,1,3,1,-,-,-
  , Q-UA3C,-,1,3,-,2,4,-,-,-,-
  , W-4NUU,-,1,3,-,1,3,-,-,-,-
  , YI-8ZM,-,1,4,-,2,1,-,-,-,-
 Yrton, 1-3HWZ,-,-,3,-,-,4,1,-,-,-
  , 5-MLDT,1,1,1,1,2,-,1,-,-,-
  , B-DBYQ,-,1,2,-,-,3,1,-,-,-
  , DY-F70,-,2,4,-,-,2,1,-,-,-
  , QXW-PV,2,-,1,1,1,2,-,-,-,-
  , XT-R36,2,-,1,-,1,4,-,-,-,-
