Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 5ZAB-N, 4GSZ-1,-,1,2,-,1,4,1,-,-,-
  , 4T-VDE,1,-,2,1,-,4,2,-,-,-
  , 9-7SRQ,1,-,3,-,2,3,1,-,-,-
  , E-EFAM,-,1,2,-,-,1,-,1,-,-
  , J-QOKQ,1,1,3,-,-,4,-,-,-,-
  , SBEN-Q,2,1,1,-,-,3,-,-,-,-
  , VEQ-3V,2,-,-,-,-,1,2,-,-,-
 BB-48X, 5ED-4E,3,-,2,-,1,3,-,-,-,-
  , 87-1PM,-,-,2,-,-,1,2,-,-,-
  , B-U299,2,-,5,1,-,1,1,-,-,-
  , C2-1B5,-,-,6,-,-,1,-,-,-,-
  , DN58-U,-,-,3,1,1,-,2,-,-,-
  , JE-VLG,1,1,5,-,-,2,-,-,-,-
 DA0V-R, 0B-VOJ,1,-,4,-,2,4,1,1,-,-
  , 58Z-IH,-,1,3,2,-,3,1,-,-,-
  , CHP-76,1,-,3,-,-,2,2,-,-,-
  , E0DR-G,-,-,3,1,2,4,-,-,-,-
  , KI2-S3,1,-,3,-,-,2,2,-,-,-
  , M-VACR,-,-,1,1,1,2,-,-,-,-
  , T-67F8,-,-,3,-,1,3,-,-,-,-
 G3-MU3, 1M7-RK,-,1,2,-,3,8,1,-,-,-
  , 2-9Z6V,1,-,4,-,2,4,-,1,-,-
  , 4A-6NI,-,1,3,-,1,2,1,-,-,-
  , 5HN-D6,-,1,-,-,-,2,1,-,-,-
  , E-B957,-,-,4,-,2,2,-,1,-,-
  , MK-YNM,4,-,2,-,-,2,-,-,-,-
  , P-H5IY,-,-,3,-,2,3,-,-,-,-
 HNZF-Z, 5E-EZC,1,-,2,-,2,3,-,-,-,-
  , 5E6I-W,2,1,2,-,-,1,1,-,-,-
  , 9KE-IT,-,1,2,-,-,1,-,-,-,-
  , GQLB-V,-,-,3,2,1,2,1,-,-,-
  , KIG9-K,2,-,1,1,-,2,1,-,-,-
  , P-NRD3,2,-,2,-,1,2,-,-,-,-
  , S-W8CF,2,-,1,3,1,1,1,1,-,-
  , X-41DA,1,1,3,-,1,3,-,1,-,-
  , Y-RAW3,1,-,3,-,1,3,-,-,-,-
  , YVSL-2,-,1,2,-,-,2,1,-,-,-
 I-WRVM, 9-WEMC,2,-,1,-,-,5,-,-,-,-
  , CUT-0V,-,-,5,1,2,3,1,-,-,-
  , FV1-RQ,1,-,3,1,1,2,1,-,-,-
  , O-F4SN,-,1,2,-,-,5,1,-,-,-
  , QT-EBC,-,1,3,-,2,3,-,-,-,-
  , VAF1-P,-,-,3,-,-,3,1,-,-,-
 N4TD-6, 1GT-MA,-,-,-,1,1,3,1,-,-,-
  , 42SU-L,-,-,4,-,-,4,-,-,-,-
  , D9Z-VY,-,-,3,-,-,2,2,-,-,-
  , HB-5L3,4,-,2,-,-,3,1,-,-,-
  , MO-YDG,3,-,-,1,-,2,-,1,-,-
  , Q-VTWJ,1,1,3,1,-,1,-,-,-,-
  , RGU1-T,-,-,3,1,1,-,-,1,-,-
  , VY-866,1,1,3,-,-,2,-,-,-,-
 QJ2-0M, 4-PCHD,2,-,3,-,2,2,1,-,-,-
  , 5-3722,2,-,-,-,-,4,1,-,-,-
  , BI0Y-X,-,-,3,1,-,3,-,-,-,-
  , FV-YEA,2,-,1,-,-,4,1,-,-,-
  , J-A5QD,1,1,2,-,-,2,-,-,-,-
  , SK7-G6,1,-,3,-,1,4,-,-,-,-
 SI1-CF, A-0IIQ,2,-,1,1,2,1,1,-,-,-
  , CBY8-J,1,1,3,-,4,3,-,-,-,-
  , E-BYOS,-,-,4,1,1,3,1,-,-,-
  , ETXT-F,1,-,3,-,-,4,2,-,-,-
  , H23-B5,1,-,2,-,1,1,-,-,-,-
  , I-CMZA,-,1,2,1,-,3,1,-,-,-
 XHL-TZ, 4LNE-M,3,-,-,1,2,2,-,-,-,-
  , DK0-N8,-,-,6,1,1,2,1,1,-,-
  , EJ-5X2,-,-,3,-,-,2,-,1,-,-
  , HXK-J6,-,-,2,3,1,3,1,-,-,-
  , L-Z9NB,-,1,4,-,-,3,1,-,-,-
  , U6R-F9,1,-,1,1,-,3,-,-,-,-
