Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Elysium, 8G-MQV,-,1,2,-,1,2,-,-,-,-
  , HLW-HP,-,-,3,-,1,3,-,-,-,-
  , KLMT-W,2,-,4,-,-,2,-,-,-,-
  , RA-NXN,-,-,4,-,1,5,-,-,-,-
  , VOL-MI,1,-,3,2,1,4,1,-,-,-
  , XX9-WV,3,-,1,1,-,2,-,-,-,-
 Hale, BPK-XK,1,-,2,-,-,2,1,-,-,-
  , CL-1JE,-,-,3,-,1,3,1,-,-,-
  , G-0Q86,-,-,2,1,1,3,-,-,-,-
  , G-R4W1,-,-,3,-,2,2,-,-,-,-
  , J4UD-J,-,-,4,-,2,4,-,-,-,-
  , K88X-J,4,-,2,-,1,3,-,-,-,-
  , LJ-YSW,-,1,4,-,-,2,-,-,-,-
  , Y-K50G,-,1,4,-,1,2,-,1,-,-
 Heaven, Doril,1,-,1,-,-,2,1,-,-,-
  , Farit,1,-,2,-,-,5,-,-,-,-
  , Hemin,1,-,2,-,1,2,2,1,-,-
  , Jamunda,2,-,1,1,1,3,-,-,-,-
  , Jorund,-,-,3,-,-,5,-,-,-,-
  , Litom,2,-,2,1,-,5,1,-,-,-
  , Utopia,2,-,2,-,1,2,1,-,-,-
 Paradise, 0SHT-A,-,1,4,-,1,2,1,-,-,-
  , 5E-VR8,-,1,1,-,-,-,-,-,-,-
  , D87E-A,-,-,2,1,-,4,1,-,-,-
  , J7A-UR,-,2,2,-,2,4,-,-,-,-
  , JWJ-P1,1,-,3,1,-,1,1,-,-,-
  , K-B2D3,1,1,4,-,1,1,-,-,-,-
  , PO4F-3,-,-,2,-,-,4,1,-,-,-
  , V-IUEL,-,1,3,-,-,3,-,-,-,-
  , V7D-JD,1,-,1,-,4,3,-,1,-,-
 Rapture, CVY-UC,-,1,3,-,2,4,1,-,-,-
  , EQX-AE,2,-,3,-,-,1,-,-,-,-
  , ES-UWY,1,-,4,-,1,4,1,1,-,-
  , M-N7WD,2,1,3,-,1,1,1,-,-,-
  , QFEW-K,-,-,-,1,1,2,1,1,-,-
  , S1DP-Y,1,-,2,-,2,3,2,-,-,-
  , Y-DW5K,-,-,3,-,1,-,1,1,-,-
 Sound, AAM-1A,-,2,4,-,1,-,-,1,-,-
  , CL-85V,1,1,3,1,1,1,1,-,-,-
  , EW-JR5,-,1,2,-,-,-,-,-,-,-
  , K-QWHE,-,1,3,-,1,3,1,-,-,-
  , MDD-79,1,-,2,1,1,5,-,-,-,-
  , RMOC-W,2,-,2,-,-,3,3,-,-,-
  , YKE4-3,-,1,4,-,1,2,-,-,-,-
 Tranquility, G-G78S,1,-,3,1,2,3,1,-,-,-
  , H-ADOC,-,2,3,-,-,1,2,1,-,-
  , K-MGJ7,-,1,3,-,1,-,1,1,-,-
  , OSY-UD,-,-,4,-,2,4,1,-,-,-
  , UW9B-F,1,1,3,-,1,4,-,2,-,-
  , ZZ-ZWC,2,1,3,-,1,2,1,-,-,-
