Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 29V-1R, 4U90-Z,1,-,1,1,1,4,1,-,-,-
, AD-CBT,2,-,4,-,1,1,-,1,-,-
, FO8M-2,1,1,4,-,1,2,-,-,-,-
, QPO-WI,2,-,2,-,1,2,-,-,-,-
, R8S-1K,-,-,3,1,-,1,2,1,-,-
, T-945F,2,-,2,-,1,3,2,-,-,-
 A21H-Z, 0V0R-R,1,-,4,1,1,5,-,-,-,-
, 3JN9-Q,1,1,3,1,1,4,1,-,-,-
, AGG-NR,1,-,1,-,1,4,2,-,-,-
, LEK-N5,2,-,-,-,1,5,1,-,-,-
, O-2RNZ,-,-,4,-,2,1,1,1,-,-
, OWXT-5,-,1,2,-,1,-,-,-,-,-
 D-AWFI, A4L-A2,1,1,3,-,2,2,1,-,-,-
  , CZDJ-1,2,-,2,-,1,4,1,-,-,-
  , RG9-7U,-,1,3,-,-,-,-,-,-,-
  , U-TJ7Y,1,1,3,-,1,3,-,1,-,-
  , UEJX-G,1,-,5,-,2,2,1,-,-,-
  , UJY-HE,-,1,-,-,-,2,-,-,-,-
 N-U2LX, 33RB-O,1,-,4,-,1,3,1,-,-,-
  , 3OAT-Q,1,-,2,-,2,3,1,-,-,-
  , C7Y-7Z,2,-,1,-,-,1,-,-,-,-
  , DKUK-G,3,-,-,-,1,4,-,-,-,-
  , N-TFXK,-,-,3,-,-,5,1,1,-,-
  , X-Z4DA,1,-,2,1,1,1,2,-,-,-
 RFY-QB, 3T7-M8,-,1,2,-,2,2,1,-,-,-
  , 43B-O1,1,-,3,-,2,2,-,1,-,-
  , 4N-BUI,1,-,4,1,-,3,1,-,-,-
  , 5S-KXA,4,-,-,2,1,2,2,1,-,-
  , 9CK-KZ,1,1,4,-,1,-,2,-,-,-
  , GY5-26,2,1,4,-,2,4,-,-,-,-
  , J1AU-9,2,-,3,1,1,3,1,-,-,-
  , MZ1E-P,1,-,3,-,1,3,1,-,-,-
  , N2IS-B,1,-,3,1,2,2,2,-,-,-
  , VPLL-N,-,-,3,-,1,3,-,-,-,-
  , WUZ-WM,1,1,3,-,1,3,1,-,-,-
  , X3-PBC,4,-,1,1,1,4,-,-,-,-
  , XCBK-X,3,-,-,1,1,3,-,-,-,-
 S-B1E4, 3QE-9Q,-,-,2,1,1,2,-,-,-,-
  , 5W3-DG,1,-,3,1,1,1,-,-,-,-
  , 7T6P-C,2,1,1,-,-,4,1,-,-,-
  , 85-B52,-,-,4,-,1,1,1,1,-,-
  , 8S28-3,-,1,3,-,1,1,1,-,-,-
  , E-FIC0,-,1,3,1,2,1,2,-,-,-
  , E3UY-6,1,-,3,2,1,3,1,-,-,-
  , LT-DRO,-,1,2,-,2,1,1,-,-,-
  , RO0-AF,1,-,3,1,1,2,-,1,-,-
  , YZ-UKA,1,1,3,-,-,4,-,-,-,-
  , ZOYW-O,5,-,-,-,2,1,-,2,-,-
 UTQ-BO, 2O9G-D,1,-,5,-,-,3,-,-,-,-
  , I30-3A,1,-,2,1,2,4,-,-,-,-
  , JU-OWQ,-,1,2,3,1,2,-,3,-,-
  , MXX5-9,1,1,2,-,1,3,-,-,-,-
  , NC-N3F,-,1,4,-,1,-,1,-,-,-
  , S-DN5M,-,1,3,1,1,6,-,-,-,-
  , ZZZR-5,3,-,1,1,-,1,-,1,-,-
 VW7-YN, 2-KF56,1,-,4,2,1,4,-,-,-,-
  , 2R-CRW,2,-,4,1,1,2,1,-,-,-
  , CCP-US,-,-,5,2,1,2,-,3,-,-
  , II-5O9,-,3,2,-,1,4,-,-,-,-
  , VFK-IV,-,-,3,1,1,1,1,-,-,-
  , YA0-XJ,1,1,3,-,2,1,1,-,-,-
 Z-D6K5, 0P-F3K,-,-,6,1,1,3,-,-,-,-
  , 94-H3F,-,1,3,-,-,2,1,1,-,-
  , CU9-T0,2,-,3,-,-,2,2,-,-,-
  , FMB-JP,2,-,-,1,1,3,1,-,-,-
  , K5F-Z2,2,1,3,-,1,1,-,-,-,-
  , TXME-A,-,-,4,-,1,6,-,-,-,-
  , XCF-8N,1,1,2,-,1,3,1,-,-,-
