Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 1-A81R, 31X-RE,2,1,2,1,-,1,1,-,-,-
  , 5-6QW7,2,-,2,-,2,2,1,-,-,-
  , 7UTB-F,1,2,4,-,-,-,-,-,-,-
  , F-9PXR,-,1,3,-,-,-,1,-,-,-
  , Q-02UL,-,1,3,1,-,3,-,-,-,-
  , Y5C-YD,1,1,3,-,2,1,2,-,-,-
 6-UCYU, 0N-3RO,1,-,2,-,-,4,-,-,-,-
  , 319-3D,-,2,3,-,1,4,1,-,-,-
  , FWST-8,1,-,2,-,3,2,-,1,-,-
  , G-TT5V,-,1,4,-,-,3,-,-,-,-
  , I3Q-II,5,-,1,-,1,3,1,-,-,-
  , YZ9-F6,1,-,3,-,1,3,-,-,-,-
 B4H-9W, 4K-TRB,1,-,3,-,-,3,1,-,-,-
  , AJI-MA,2,-,4,-,1,3,1,-,-,-
  , HM-XR2,1,-,3,-,-,3,-,-,-,-
  , NOL-M9,1,-,3,-,1,2,2,1,-,-
  , O-IOAI,1,1,3,-,-,3,-,-,-,-
  , QX-LIJ,2,-,-,1,-,2,-,-,-,-
 D5-SOW, 4O-239,3,-,-,-,1,6,-,-,-,-
  , LUA5-L,1,1,2,1,2,-,-,-,-,-
  , Q-JQSG,-,1,2,1,-,2,-,-,-,-
  , QC-YX6,-,-,3,-,-,5,-,-,-,-
  , T-IPZB,-,1,3,-,3,1,2,-,1,-
  , T-M0FA,-,-,3,-,-,1,-,-,-,-
 F-I56R, 6Z-CKS,-,-,3,-,-,3,1,-,-,-
  , 7-K6UE,1,-,2,2,2,4,-,-,-,-
  , C6Y-ZF,1,1,1,-,-,4,-,-,-,-
  , G-M5L3,1,1,2,1,-,3,2,-,-,-
  , KBAK-I,-,-,1,-,1,2,-,-,-,-
  , M-SRKS,-,-,3,2,2,2,-,-,-,-
 LSC-4P, 8F-TK3,-,-,-,-,2,4,2,-,-,-
  , 9O-8W1,-,-,1,1,2,4,1,-,-,-
  , GY6A-L,-,-,2,-,-,3,1,-,-,-
  , N8D9-Z,-,1,6,-,-,-,1,1,-,-
  , PF-KUQ,1,-,2,-,-,4,-,-,-,-
  , UEXO-Z,2,-,-,1,-,3,-,-,-,-
 NJU-QV, 5-CQDA,1,-,2,-,2,4,1,-,-,-
  , I-E3TG,1,1,5,1,3,-,-,-,-,-
  , KEE-N6,1,1,4,-,1,1,2,-,-,-
  , M2-XFE,1,-,3,-,-,2,2,-,-,-
  , S-6HHN,-,-,4,-,-,3,1,-,-,-
  , ZXB-VC,-,1,2,-,2,1,-,-,-,-
 O-EIMK, 1DQ1-A,1,1,2,-,1,3,-,1,-,-
  , 3-DMQT,2,-,6,-,1,1,-,-,-,-
  , 5BTK-M,3,-,1,1,1,2,-,-,-,-
  , 8WA-Z6,-,-,3,-,3,2,-,1,-,-
  , MO-GZ5,1,-,1,-,2,4,-,-,-,-
  , N-8YET,-,1,3,-,1,3,2,-,-,-
  , Y-OMTZ,-,-,4,-,1,3,1,-,-,-
 O5K-Y6, 1B-VKF,-,-,3,1,1,2,1,-,-,-
  , E3OI-U,-,-,3,-,-,1,1,-,-,-
  , IP6V-X,2,-,1,-,3,2,1,-,-,-
  , R5-MM8,1,-,3,1,2,1,1,-,-,-
  , RF-K9W,2,-,2,-,-,3,-,-,-,-
  , T-J6HT,1,-,2,-,1,2,-,-,-,-
 OK-FEM, 1-2J4P,2,-,1,1,-,2,-,-,-,-
  , 9GNS-2,3,-,4,1,-,2,-,-,-,-
  , C3N-3S,-,-,3,-,-,2,-,-,-,-
  , CX8-6K,1,1,2,-,-,3,3,-,-,-
  , LWX-93,2,-,3,1,1,2,-,-,-,-
  , M0O-JG,3,-,-,-,-,2,2,-,-,-
  , YAW-7M,2,-,2,-,1,1,3,2,-,-
 SG-CTQ, 39P-1J,1,-,4,-,2,2,1,-,-,-
