Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Aguh, Aranir,1,-,3,1,1,1,2,-,-,-
  , Eshwil,-,-,2,-,-,2,1,-,-,-
  , Hahyil,-,1,3,1,-,4,-,-,-,-
  , Ilahed,-,-,3,-,-,4,1,-,-,-
  , Ishkad,2,-,2,2,1,2,-,-,-,-
  , Sosa,-,2,4,-,2,2,-,-,-,-
 Ananah, Camal,2,-,2,1,1,3,-,-,-,-
  , Faspera,-,-,-,2,2,3,1,-,-,-
  , Fera,-,-,-,-,-,1,2,1,-,-
  , Ihal,-,-,5,-,2,1,2,-,-,-
  , Jaymass,-,-,3,2,-,1,1,-,-,-
  , Majamar,-,2,2,-,1,1,3,1,-,-
  , Mifrata,-,1,2,1,-,1,1,1,-,-
 Anares, Asabona,2,-,5,-,1,2,1,-,-,-
  , Chidah,-,-,3,-,1,6,-,-,-,-
  , Nazhgete,2,1,4,-,-,2,1,-,-,-
  , Onsooh,3,1,2,-,1,2,-,1,-,-
  , Sendaya,1,-,2,-,1,4,1,-,-,-
  , Shamahi,-,1,2,-,3,3,1,-,-,-
  , Shenela,1,-,2,-,-,3,-,-,-,-
  , Sooma,3,1,3,-,-,3,-,-,-,-
 Bedaleya, Assah,-,-,4,-,-,4,1,-,-,-
  , Gomati,4,-,2,-,-,2,1,1,-,-
  , Hasateem,1,1,2,-,2,1,-,-,-,-
  , Irshah,1,1,3,-,1,3,1,-,-,-
  , Jangar,1,-,1,-,1,3,2,-,-,-
  , Nakah,1,-,-,1,1,3,-,-,-,-
 Hevaka, Alkez,-,1,2,-,1,3,1,-,-,-
  , Hasiari,1,-,2,-,1,5,-,-,-,-
  , Mohas,2,-,2,-,3,2,-,-,-,-
  , Nimambal,-,-,4,-,1,3,1,1,-,-
  , Radima,-,-,4,-,1,7,-,-,-,-
  , Uplingur,-,1,2,-,-,1,-,-,-,-
  , Yishinoon,1,-,3,-,1,1,1,-,-,-
 Joas, Arnola,2,-,1,-,-,4,-,-,-,-
  , Astabih,2,-,2,-,1,1,1,1,-,-
  , Bimener,-,-,3,-,-,2,1,-,-,-
  , Kenobanala,2,-,-,1,2,4,-,-,-,-
  , Khabi,1,-,5,1,1,3,1,2,-,-
  , Uanzin,-,1,2,-,1,3,-,1,-,-
  , Ubtes,-,-,3,1,1,4,1,-,-,-
 Kalangin, Eshtah,2,-,4,-,1,1,2,-,-,-
  , Fovihi,-,-,4,-,-,1,1,1,-,-
  , Kasrasi,-,-,4,-,1,4,1,-,-,-
  , Kiereend,1,-,2,-,-,3,1,1,-,-
  , Lachailes,1,-,2,-,-,3,-,-,-,-
  , Ordize,1,2,2,1,1,-,-,-,-,-
  , Psasa,-,1,2,-,-,-,-,-,-,-
  , Rashy,1,-,3,-,-,1,-,1,-,-
 Mal, Abha,3,-,2,-,1,3,-,-,-,-
  , Arena,-,-,3,-,-,3,2,-,-,-
  , Asilem,1,1,3,-,1,2,1,-,-,-
  , Dysa,-,-,4,-,-,3,1,-,-,-
  , Kehrara,-,-,3,-,-,3,-,1,-,-
  , Mahnagh,-,-,3,1,3,4,-,1,-,-
  , Mahti,-,1,5,-,2,4,1,-,-,-
  , Serad,-,-,4,-,-,1,1,-,-,-
  , Shach,3,-,2,-,1,2,1,-,-,-
  , Timeor,1,2,4,-,1,3,1,-,-,-
  , Uhtafal,-,1,2,-,-,1,-,1,-,-
 Mamouna, Futzchag,1,-,4,-,2,2,2,-,-,-
  , Jayneleb,-,-,4,1,1,2,1,-,-,-
  , Kazna,-,1,3,1,1,-,1,-,-,-
  , Lilmad,1,1,3,-,1,-,1,1,-,-
  , Podion,-,-,4,1,1,3,-,-,-,-
 Mekashtad, Agha,2,-,4,-,-,4,-,-,-,-
  , Akhrad,1,-,4,2,2,2,-,1,-,-
  , Amphar,-,-,4,-,-,3,2,-,-,-
  , Iosantin,1,-,3,-,1,2,1,-,-,-
  , Janus,-,-,3,1,2,3,-,1,-,-
  , Nikh,1,2,3,-,-,1,1,-,-,-
  , Orva,1,1,4,-,1,2,1,-,-,-
  , Pirohdim,-,-,5,-,-,3,-,-,-,-
  , Salashayama,-,-,3,-,-,4,1,-,-,-
  , Sharir,2,-,3,1,1,3,-,-,-,-
  , Thiarer,1,-,3,-,2,2,-,1,-,-
  , Usroh,3,-,1,-,3,3,-,-,-,-
  , Zet,-,-,3,-,1,4,-,-,-,-
 Mossas, Ibaria,1,-,-,1,1,1,-,-,-,-
  , Juddi,1,-,4,-,1,4,1,-,-,-
  , Khankenirdia,2,1,2,-,1,3,1,-,-,-
  , Maspah,1,-,3,-,-,2,-,1,-,-
  , Shala,-,-,3,1,1,1,2,-,-,-
  , Zemalu,1,-,1,1,2,4,-,-,-,-
 Oraron, Akeva,1,1,2,-,-,-,-,-,-,-
  , Asghatil,4,-,1,-,1,3,-,-,-,-
  , Bar,1,-,3,1,1,2,2,-,-,-
  , Ejahi,1,-,-,1,-,1,2,1,-,-
  , Gelhan,-,-,4,-,1,4,2,-,-,-
  , Jarizza,2,1,4,-,1,4,-,-,-,-
  , Sucha,1,1,4,-,-,3,1,-,-,-
 Orshed, Buftiar,1,1,3,-,-,1,-,1,-,-
  , Jofan,1,1,2,1,1,2,2,-,-,-
  , Milu,2,-,4,1,1,2,1,-,-,-
  , Odlib,3,-,2,3,1,3,1,-,-,-
  , Tidacha,1,1,4,-,1,2,-,-,-,-
  , Yadi,-,1,3,-,-,3,-,1,-,-
 San Matar, Akpivem,-,1,4,1,-,1,-,-,-,-
  , Jark,2,-,3,-,-,-,2,-,-,-
  , Lashesih,4,-,-,-,1,2,-,-,-,-
  , Nirbhi,2,2,4,-,-,2,-,-,-,-
  , Sasta,-,1,6,-,1,1,-,-,-,-
  , Tanoo,2,-,1,2,-,1,-,-,-,-
  , Yuzier,2,-,2,-,1,2,1,-,-,-
  , Zaid,-,-,2,1,1,4,1,-,-,-
 Sazdih, Bairshir,-,1,3,-,-,2,-,-,-,-
  , Bayuka,-,1,3,-,2,3,1,-,-,-
  , Dooz,1,-,1,1,1,2,-,-,-,-
  , Moh,-,-,1,1,2,2,1,-,-,-
  , Sari,2,1,2,-,2,2,-,-,-,-
  , Uzistoon,2,-,2,1,1,2,-,-,-,-
 Subi, Bekirdod,1,-,3,-,2,2,1,-,-,-
  , Berta,1,-,2,-,-,3,-,-,-,-
  , Gamis,3,-,2,1,2,3,1,1,-,-
  , Hothomouh,2,1,3,-,-,2,2,-,-,-
  , Nieril,1,1,1,-,1,3,1,-,-,-
  , Shedoo,2,-,3,1,2,3,2,-,-,-
