Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 1RG-GU, 1-PGSG,2,-,5,-,1,2,1,-,-,-
  , 2-X0PF,-,1,2,-,-,3,1,-,-,-
  , A-C5TC,-,-,2,-,1,2,2,-,-,-
  , FR46-E,1,-,1,1,1,2,2,-,-,-
  , OFVH-Y,-,1,2,-,-,2,-,-,-,-
  , QLPX-J,1,-,1,-,-,6,1,-,-,-
  , RZ-PIY,-,1,4,-,-,3,-,-,-,-
 3R-BJL, 8FN-GP,-,-,2,1,1,2,-,1,-,-
  , F2W-C6,1,-,1,-,-,2,1,-,-,-
  , FIDY-8,1,1,2,-,1,2,2,-,-,-
  , KZ9T-C,-,-,3,1,1,3,-,-,-,-
  , X40H-9,-,1,3,-,1,3,1,-,-,-
  , XW2H-V,-,1,-,-,-,1,-,-,-,-
 4SRW-B, 62O-UE,1,-,4,-,1,3,1,1,-,-
  , IAS-I5,1,-,2,-,-,2,1,-,-,-
  , K7S-FF,-,1,5,-,-,-,-,-,-,-
  , O5Q7-U,-,1,4,-,1,1,-,-,-,-
  , RT-9WL,1,1,2,-,-,3,1,-,-,-
  , SAI-T9,-,-,6,1,-,2,1,-,-,-
 5F8-PZ, 4NDT-W,3,1,2,-,-,5,1,-,-,-
  , 6OU9-U,-,-,5,-,1,1,1,-,-,-
  , 9-OUGJ,1,2,4,-,1,2,-,-,-,-
  , 9N-0HF,3,-,-,-,1,2,-,-,-,-
  , GR-X26,-,-,2,1,2,1,1,-,-,-
  , U-OVFR,2,-,3,1,-,5,1,-,-,-
 5P4-QA, 5OJ-G2,-,2,2,-,2,3,-,-,-,-
  , 9-02G0,1,1,3,-,-,1,1,-,-,-
  , L-QQ6P,1,2,1,1,-,-,1,-,-,-
  , LT-XI4,2,-,1,1,1,2,-,1,-,-
  , M-XUZZ,2,-,-,-,-,6,1,-,-,-
  , XA5-TY,1,-,3,-,-,3,1,-,-,-
 D-95MV, 7-P1JO,4,-,2,-,1,4,-,-,-,-
  , A-7XFN,-,-,3,-,1,1,3,-,-,-
  , DX-TAR,-,1,3,-,1,2,-,-,-,-
  , EDQG-L,-,-,4,-,1,2,-,-,-,-
  , J-L9MA,-,-,3,1,1,3,-,-,-,-
  , O3-4MN,1,-,4,-,1,1,1,-,-,-
  , T-0JWP,1,1,4,1,1,4,-,-,-,-
  , TYB-69,-,-,3,1,1,3,-,-,-,-
  , U-MFTL,1,-,2,1,-,1,-,-,-,-
 GJH-1C, B-5UFY,3,-,2,2,1,3,-,-,-,-
  , EU9-J3,1,-,5,-,1,3,-,1,-,-
  , OEG-K9,4,1,3,-,-,4,1,-,-,-
  , PQRE-W,-,-,4,-,1,2,-,-,-,-
  , SK42-F,-,1,1,-,1,1,1,-,-,-
  , V-4DBR,2,-,1,-,1,3,1,-,-,-
  , WU-FHQ,2,-,3,-,2,1,2,-,-,-
 HOV-VI, DVWV-3,2,-,3,-,-,2,1,-,-,-
  , DX-DFJ,2,-,2,-,1,2,-,-,-,-
  , I-9GI1,2,-,3,-,-,3,1,-,-,-
  , KE-0FB,1,1,3,-,1,2,1,-,-,-
  , SY-UWN,-,-,3,1,2,-,3,-,-,-
  , U0W-DR,-,-,-,1,-,6,-,-,-,-
  , X-31TE,-,-,3,1,-,3,1,-,-,-
 MZ-PA2, 3-3EZB,-,-,3,-,1,2,1,1,-,-
  , 3-LJW3,4,-,1,-,2,3,-,-,-,-
  , 52CW-6,-,-,3,1,-,2,-,-,-,-
  , C5-SUU,-,-,5,-,1,4,-,-,-,-
  , JFV-ID,-,-,4,-,1,3,-,-,-,-
  , P7MI-​【11 km】T,-,-,2,1,1,2,2,-,-,-
  , XSUD-1,2,-,3,1,2,2,1,-,-,-
  , ZLO3-V,-,1,4,-,2,5,1,-,-,-
 NZU8-G, 0IF-26,1,-,3,-,1,2,3,1,-,-
  , 7-A6XV,-,-,4,-,2,3,-,-,-,-
  , E51-JE,-,-,3,1,1,2,-,-,-,-
  , H-93YV,1,1,3,-,1,-,1,1,-,-
  , L-L7PE,-,-,3,-,-,4,2,-,-,-
  , QXE-1N,-,2,2,-,3,3,-,1,-,-
  , U69-YC,-,-,5,1,-,5,-,-,-,-
  , W6P-7U,1,-,-,-,2,5,-,-,-,-
 PR-ACX, 1-GBVE,2,-,-,1,-,5,-,-,-,-
  , D-0UI0,-,-,3,-,-,5,-,-,-,-
  , G3D-ZT,2,-,2,-,2,2,-,2,-,-
  , GC-LTF,3,-,-,-,1,1,1,-,-,-
  , L8-WNE,1,1,3,-,1,3,-,-,-,-
  , NB-ALM,-,-,-,1,-,4,1,-,-,-
 RFQ-8Y, 0-W778,1,-,2,1,-,3,-,-,-,-
  , 1KAW-T,2,-,1,-,-,-,-,-,-,-
  , 5J4K-9,1,1,3,1,-,1,1,-,-,-
  , DG-8VJ,-,1,5,-,1,3,-,1,-,-
  , H-FGJO,2,1,2,-,-,4,-,1,-,-
  , MD-0AW,-,1,3,-,1,2,1,-,-,-
 T875-C, BOZ1-O,1,-,3,-,2,1,-,-,-,-
  , E-1XVP,-,-,4,-,1,2,1,-,-,-
  , E-ACV6,-,-,4,-,-,5,2,-,-,-
  , F9O-U9,1,-,3,-,1,1,1,-,-,-
  , Q0J-RH,-,-,3,-,1,3,1,-,-,-
  , QIMO-2,-,-,4,1,-,1,-,1,-,-
  , S-51XG,-,-,2,-,1,4,-,-,-,-
  , Z-2Y2Y,-,-,2,-,2,1,4,1,-,-
 ZPI-2E, 0-G8NO,1,2,2,-,1,-,2,1,-,-
  , 77S8-E,-,1,3,-,2,2,-,-,-,-
  , FMH-OV,-,-,5,-,-,2,1,-,-,-
  , HZFJ-M,1,2,3,-,1,1,1,-,-,-
  , QRFJ-Q,-,-,1,2,-,3,-,-,-,-
  , SLVP-D,1,1,3,-,-,2,1,1,-,-
