Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Abthi, Ehnoum,-,-,5,1,-,2,-,-,-,-
  , Lower Debyl,1,-,3,-,1,3,-,-,-,-
  , Naeel,-,-,4,-,-,2,1,-,-,-
  , Shastal,-,1,3,1,2,2,-,-,-,-
  , Thakala,-,-,2,-,1,1,-,-,-,-
  , Upper Debyl,2,-,2,1,4,2,2,-,-,-
 Daredan, Akes,-,-,4,-,1,4,-,-,-,-
  , Hakshma,1,1,3,-,-,3,2,-,-,-
  , Hati,2,-,-,1,1,5,-,-,-,-
  , Laddiaha,-,-,3,-,-,3,1,-,-,-
  , Nakatre,2,-,2,1,1,3,-,-,-,-
  , Riavayed,1,1,3,-,1,7,-,-,-,-
  , Uadelah,2,1,3,-,-,2,1,1,-,-
 Enka, Arveyil,1,-,2,-,2,6,1,-,-,-
  , Faktun,3,1,2,1,-,3,1,-,-,-
  , Halenan,1,-,2,1,-,6,-,1,-,-
  , Mili,3,-,2,-,-,3,2,-,-,-
  , Nidebora,3,-,-,2,-,2,1,-,-,-
  , Palpis,1,-,2,-,1,5,-,-,-,-
  , Uktiad,-,2,4,-,-,2,1,1,-,-
  , Ulerah,-,1,2,-,-,1,-,-,-,-
 Jayai, Arayar,-,1,3,-,3,2,1,-,-,-
  , Asghed,1,-,3,-,-,2,1,-,-,-
  , Halmah,-,1,2,-,-,-,1,-,-,-
  , Labapi,2,1,2,-,1,2,1,-,-,-
  , Roushzar,2,-,3,1,2,2,1,-,-,-
  , Sosan,-,-,4,-,-,2,1,-,-,-
  , Tararan,-,-,4,1,-,3,-,1,-,-
 Kabo, Ibash,1,-,1,-,-,2,2,-,-,-
  , Itsyamil,1,-,2,1,-,5,1,-,-,-
  , Mendori,2,-,1,1,1,5,1,-,-,-
  , Rahadalon,2,-,3,-,-,2,2,-,-,-
  , Soosat,-,-,6,-,1,2,-,1,-,-
  , Ussad,1,1,4,-,1,-,2,-,-,-
 Kisana, Eredan,-,-,1,1,1,2,1,1,-,-
  , Gheth,1,1,2,-,-,2,3,-,-,-
  , Lisudeh,1,1,3,-,-,1,1,-,-,-
  , Mehatoor,-,-,-,2,1,3,-,-,-,-
  , Ohide,1,-,2,1,2,1,2,-,-,-
  , Sasoutikh,1,1,2,-,1,2,-,-,-,-
 Ryra, Choonka,-,-,2,1,2,4,1,-,-,-
  , Dihra,1,-,4,-,1,4,-,-,-,-
  , Dital,-,-,3,-,-,2,2,1,-,-
  , Esescama,1,2,3,-,1,3,1,-,-,-
  , Odin,-,-,3,-,1,3,1,-,-,-
  , Thasinaz,3,2,3,-,1,2,-,-,-,-
 Semou, Arzad,2,1,2,-,-,5,-,-,-,-
  , Ezzara,3,1,-,-,1,1,-,1,-,-
  , Oyeman,2,1,4,-,1,4,-,1,-,-
  , Raa,3,-,2,1,1,3,-,1,-,-
  , Sifilar,1,-,3,-,-,3,2,-,-,-
  , Tzvi,1,-,2,-,1,3,-,-,-,-
