Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Armi, Arodan,3,-,1,-,-,3,1,-,-,-
  , Bourar,1,-,1,-,2,2,1,1,-,-
  , Milal,-,1,4,-,-,3,-,-,-,-
  , Rammi,-,1,2,-,-,3,-,-,-,-
  , Rimbah,4,-,1,-,-,4,3,-,-,-
  , Sobenah,-,-,3,-,1,2,1,-,-,-
 Avib, Adia,1,-,3,-,-,4,-,-,-,-
  , Ahmak,1,-,-,2,1,3,-,-,-,-
  , Azizora,1,-,3,-,1,2,-,-,-,-
  , Hadonoo,-,1,3,1,1,-,-,-,-,-
  , Jarshitsan,-,-,2,-,2,3,1,1,-,-
  , Shabura,2,1,3,-,1,-,1,1,-,-
 Chardu, Anila,1,-,4,1,1,-,1,-,-,-
  , Etav,2,-,2,-,3,3,-,1,-,-
  , Ides,2,-,2,-,-,3,1,-,-,-
  , Lahnina,3,-,-,1,1,4,-,-,-,-
  , Pedel,1,-,2,2,-,-,1,2,-,-
  , Saheri,1,1,3,-,-,4,-,-,-,-
  , Yeeramoun,1,1,3,-,-,3,-,-,-,-
 Fua, Akila,-,-,4,-,1,4,1,-,-,-
  , Amod,1,1,5,-,-,2,1,-,-,-
  , Basan,1,-,3,-,1,5,-,-,-,-
  , Ealur,1,-,6,1,2,3,1,-,-,-
  , Fahruni,-,1,3,1,1,4,2,2,-,-
  , Naguton,1,-,-,-,1,4,1,1,-,-
  , Sahda,-,1,2,-,1,4,-,-,-,-
  , Shajarleg,-,1,4,-,1,3,4,-,-,-
 Hoosa, Abaim,-,-,2,1,3,5,-,-,-,-
  , Gosalav,1,-,-,-,1,4,1,-,-,-
  , Horir,4,-,-,1,-,3,-,-,-,-
  , Sayartchen,1,1,4,-,-,1,1,-,-,-
  , Somouh,1,1,3,1,1,1,1,-,-,-
  , Sorzielang,2,-,3,-,-,2,1,-,-,-
  , Teshi,-,-,5,-,-,2,-,-,-,-
 Jakemhih, Biphi,1,-,3,1,-,-,-,-,-,-
  , Hoshoun,-,-,4,-,-,4,-,-,-,-
  , Mamet,-,1,3,-,-,1,-,-,-,-
  , Misaba,1,1,1,-,-,1,1,-,-,-
  , Rephirib,1,1,2,-,-,1,-,-,-,-
  , Ziriert,-,1,1,-,-,3,4,-,-,-
