Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 3WN-1T, 6EK-BV,1,-,3,-,1,2,-,-,-,-
  , BY-MSY,-,-,3,-,-,3,1,-,-,-
  , CZ6U-1,-,1,-,-,-,2,-,-,-,-
  , D-PNP9,1,1,2,-,1,3,1,-,-,-
  , E1UU-3,3,-,-,-,2,3,-,1,-,-
  , G-YZUX,2,-,5,1,-,3,-,-,-,-
  , P-3XVV,-,-,4,1,1,2,1,1,-,-
 7ZRW-G, 111-F1,2,-,1,-,-,6,-,-,-,-
  , 6-TYRX,1,1,2,-,2,2,1,-,-,-
  , H-T40Z,2,-,2,3,3,2,-,-,-,-
  , IR-FDV,-,-,5,-,2,2,1,-,-,-
  , J-RVGD,-,-,5,-,1,5,-,-,-,-
  , NIZJ-0,2,1,3,-,-,5,1,-,-,-
  , Q1-R7K,2,-,1,3,1,5,-,-,-,-
  , V1ZC-S,-,1,1,-,-,2,-,-,-,-
 8T-OLH, 4-OUKF,1,1,3,-,-,5,-,-,-,-
  , 5-9UXZ,1,-,4,-,2,3,1,-,-,-
  , C9N-CC,2,-,-,2,-,1,1,-,-,-
  , DTX8-M,-,-,3,-,2,2,1,-,-,-
  , HAJ-DQ,1,1,2,-,-,3,-,-,-,-
  , JAUD-V,1,-,1,-,-,2,-,-,-,-
  , Q0OH-V,1,1,3,-,1,1,-,1,-,-
  , X-7BIX,-,-,1,-,1,4,3,-,-,-
 9D1V-O, 29YH-V,-,-,1,-,1,4,2,-,-,-
  , DL-CDY,3,-,2,-,-,2,1,-,-,-
  , IPX-H5,4,-,2,-,2,3,-,-,-,-
  , LG-RO2,2,-,3,1,2,2,-,-,-,-
  , QS-530,-,1,5,1,1,3,-,2,-,-
  , VR-YRV,1,-,3,-,1,5,-,-,-,-
  , X-HISR,-,-,2,-,-,-,2,-,-,-
 AJG-MV, DIBH-Q,2,-,3,-,2,2,3,2,-,-
  , DNEP-Y,1,-,3,3,1,2,1,-,-,-
  , G-4H4C,2,-,-,-,1,5,-,-,-,-
  , G-JC9R,2,1,3,-,1,1,-,-,-,-
  , H-YHYM,4,-,-,1,1,-,-,-,-,-
  , HHE5-L,1,-,1,2,1,1,-,-,-,-
  , PE-H02,-,-,3,-,1,7,-,1,-,-
  , YAP-TN,-,-,6,-,-,1,1,-,-,-
  , Z-MO29,-,1,1,-,2,4,2,-,-,-
 E-ILCH, 02V-BK,2,-,3,-,1,3,-,-,-,-
  , A5MT-B,1,1,2,-,-,3,1,1,-,-
  , JD-TYH,1,-,3,1,-,3,1,-,-,-
  , MS2-V8,1,1,3,-,-,2,-,1,-,-
  , R-ARKN,1,1,3,-,2,1,-,-,-,-
  , SN9S-N,1,-,3,-,1,2,-,-,-,-
 FY6-NK, 2R-KLH,2,1,3,-,1,2,-,-,-,-
  , 6SB-BN,-,-,4,-,-,5,-,-,-,-
  , B1D-KU,1,-,1,-,-,3,-,-,-,-
  , KSM-1T,2,-,4,-,1,1,-,-,-,-
  , QFIU-K,-,-,3,-,-,3,-,-,-,-
  , YRV-MZ,-,-,4,-,-,2,2,1,-,-
 JSZ-X6, 16P-PX,1,1,2,-,2,2,-,1,-,-
  , BZ-0GW,1,1,3,-,-,2,1,-,-,-
  , CR-0E5,-,-,3,1,1,2,1,-,-,-
  , WX-6UX,1,-,3,-,1,2,1,1,-,-
  , XKZ8-H,1,1,2,-,-,-,-,-,-,-
  , Z-Y9C3,-,1,4,-,-,3,1,-,-,-
 KUSW-P, A-CJGE,-,1,3,-,3,-,-,1,-,-
  , G2-INZ,4,-,-,-,1,2,1,-,-,-
  , HHQ-M1,1,-,5,-,-,2,1,-,-,-
  , HT4K-M,2,1,4,1,2,2,-,-,-,-
  , RBW-8G,1,1,3,1,-,3,1,-,-,-
  , VYJ-DA,1,-,4,-,1,2,1,-,-,-
  , WAC-HW,3,-,1,-,1,1,1,-,-,-
 O-PQU0, 7P-J38,1,-,4,-,-,3,2,-,-,-
  , C-PEWN,1,-,2,-,2,3,-,1,-,-
  , L-M6JK,1,-,-,1,-,2,1,-,-,-
  , P9F-ZG,-,-,3,-,-,5,1,-,-,-
  , PK-PHZ,2,-,-,1,-,2,2,-,-,-
  , QFGB-E,-,1,2,-,-,4,-,-,-,-
  , WT-2J9,1,-,2,-,-,3,2,-,-,-
 Q-2BI6, 0-O6XF,3,-,4,2,-,2,-,-,-,-
  , C-VZAK,-,1,2,-,1,1,1,-,-,-
  , D-FVI7,1,-,3,-,1,2,-,1,-,-
  , FN-GFQ,-,1,1,1,-,3,1,-,-,-
  , NH-R5B,1,-,1,2,1,2,-,-,-,-
  , VL7-60,1,-,2,1,1,1,-,-,-,-
 R2-BT6, 450I-W,3,-,1,1,-,2,2,-,-,-
  , A1-AUH,1,-,3,-,1,3,1,-,-,-
  , F-UVBV,-,-,5,-,1,3,1,-,-,-
  , OIOM-Y,2,-,2,-,-,2,1,-,-,-
  , R-FM0G,2,-,3,1,-,1,-,1,-,-
  , TEIZ-C,-,-,3,1,-,2,1,-,-,-
  , V-XANH,-,-,1,-,1,1,2,1,-,-
  , VUAC-Y,1,1,3,-,2,6,-,-,-,-
