Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
Arand, Allebin,1,-,4,-,2,2,-,-,-,-
  , Atlulle,-,-,2,1,3,3,-,2,-,-
  , Droselory,-,1,4,-,2,2,-,-,-,-
  , Haine,1,-,3,-,1,1,1,-,-,-
  , Isenan,3,1,4,-,-,3,-,-,-,-
  , Perckhevin,1,1,4,-,-,2,-,-,-,-
 Balrille, Annages,1,-,2,2,-,4,-,1,-,-
  , Deninard,1,-,1,-,1,5,1,-,-,-
  , Hulmate,-,1,2,-,-,2,-,-,-,-
  , Onne,1,-,3,-,1,3,-,-,-,-
  , Palmon,-,1,3,-,1,1,2,-,-,-
  , Vitrauze,-,1,4,-,-,6,1,-,-,-
 Crux, Algogille,-,-,4,-,1,7,-,1,-,-
  , Couster,1,-,1,1,-,4,-,-,-,-
  , Duripant,1,-,2,-,1,3,-,-,-,-
  , Luminaire,4,1,-,-,-,3,-,-,-,-
  , Mies,2,-,4,-,-,2,1,-,-,-
  , Oursulaert,-,-,2,1,1,4,1,-,-,-
  , Renyn,-,-,2,1,1,6,-,-,-,-
 Eustron, Andole,2,-,2,-,1,3,-,-,-,-
  , Atlangeins,-,-,4,-,-,3,-,-,-,-
  , Cat,2,1,2,-,1,1,-,-,-,-
  , Derririntel,-,1,3,1,1,3,-,-,-,-
  , Hecarrin,1,-,-,-,-,2,3,1,-,-
  , Ommare,1,-,5,1,-,3,-,-,-,-
 Jeon, Abune,-,-,1,1,-,3,1,-,-,-
  , Actee,-,-,4,-,-,3,-,-,-,-
  , Amane,-,1,3,-,-,7,1,-,-,-
  , Deven,1,1,4,-,1,1,-,-,-,-
  , Estaunitte,-,-,5,1,-,3,2,-,-,-
  , Fliet,-,1,2,-,1,3,-,-,-,-
  , Heydieles,1,1,2,-,1,-,-,-,-,-
  , Indregulle,-,1,2,-,1,2,3,1,-,-
 Patrie, Caslemon,2,2,3,-,2,2,1,-,-,-
  , Charmerout,-,-,2,1,-,5,2,-,-,-
  , Jolevier,1,1,3,1,-,2,-,-,-,-
  , Mesybier,2,-,3,-,1,3,1,-,-,-
  , Pemene,2,-,3,-,1,3,-,-,-,-
  , Yvangier,3,-,1,-,1,3,1,-,-,-
 Peccanouette, Adirain,1,1,4,-,1,3,-,-,-,-
  , Aere,-,1,3,-,2,2,1,-,-,-
  , Aeschee,1,1,3,1,1,4,-,-,-,-
  , Arnon,-,-,4,1,-,6,1,-,-,-
  , Attyn,-,-,2,1,-,2,1,-,-,-
  , Laurvier,1,-,2,1,2,5,-,1,-,-
  , Lisbaetanne,1,1,2,1,-,1,1,-,-,-
 Thoulde, Adrel,1,-,3,-,1,1,1,-,-,-
  , Ane,-,1,3,-,-,2,1,-,-,-
  , Aporulie,1,-,3,1,2,1,-,-,-,-
  , Clorteler,-,1,1,-,-,3,1,-,-,-
  , Henebene,2,-,2,-,1,2,-,-,-,-
  , Mesokel,1,-,1,-,-,1,2,2,-,-
  , Noghere,2,1,2,1,1,2,-,-,-,-
  , Seyllin,2,-,2,-,1,2,1,-,1,-
  , Synchelle,1,-,2,-,1,3,-,-,-,-
  , Wysalan,-,-,1,1,1,1,4,2,-,-
  , Yona,2,1,3,1,1,1,-,-,-,-
 Vieres, Allamotte,1,2,3,-,-,2,1,-,-,-
  , Arant,2,-,2,-,-,4,-,-,-,-
  , Ladistier,-,-,3,-,1,2,2,-,-,-
  , Obalyu,-,1,4,1,-,3,-,-,-,-
  , Old Man Star,1,-,4,1,2,3,-,-,-,-
  , Parts,1,-,2,-,1,2,1,-,-,-
  , Vifrevaert,-,-,3,-,1,4,3,1,-,-
  , Villore,1,1,4,-,-,1,1,-,-,-
