Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 1VN-XC, C-4D0W,2,-,4,2,-,3,-,-,-,-
  , CT8K-0,4,-,2,-,-,3,-,-,-,-
  , IL-H0A,-,-,-,1,1,6,2,-,-,-
  , L4X-1V,3,-,3,-,-,2,-,-,-,-
  , M9-LAN,1,1,4,1,2,2,-,-,-,-
  , PX-IHN,1,-,3,2,1,3,-,1,-,-
  , WPV-JN,-,1,3,-,1,2,1,-,-,-
 4M6-GJ, 2G-VDP,1,1,1,2,1,1,1,-,-,-
  , 9F-3CR,-,-,3,1,-,2,-,-,-,-
  , 9P-870,3,-,2,1,1,2,1,1,-,-
  , J7M-3W,-,2,2,-,-,3,2,-,-,-
  , KRPF-A,1,-,2,-,1,1,1,-,-,-
  , QNXJ-M,-,1,4,-,1,2,1,2,-,-
 6TT8-Z, 1H5-3W,-,-,4,-,-,3,1,-,-,-
  , 3H58-R,1,1,2,-,2,1,-,-,-,-
  , GTY-FW,2,1,4,-,-,2,1,-,-,-
  , JTA2-2,-,-,1,2,3,3,1,1,-,-
  , QZV-X3,-,1,3,1,-,3,-,-,-,-
  , R-6KYM,1,1,2,-,-,2,1,-,-,-
  , RV-GA8,2,-,2,1,1,4,-,-,-,-
  , TP-RTO,3,-,3,-,2,1,1,1,-,-
 8AO-5V, 43-1TL,1,-,-,1,1,3,1,-,-,-
  , 8KE-YS,1,1,2,-,1,1,-,-,-,-
  , LXQ2-T,1,-,4,-,-,3,1,-,-,-
  , O-LJOO,1,-,2,-,2,2,-,-,-,-
  , TZ-74M,1,-,1,1,2,2,-,-,-,-
  , ZS-PNI,1,-,2,-,1,2,1,-,-,-
 8G-JN6, 5U-3PW,2,-,3,-,1,2,1,-,-,-
  , 89JS-J,1,1,3,-,-,2,-,-,-,-
  , C9R-NO,-,-,2,1,5,2,1,-,-,-
  , CYB-BZ,-,-,2,-,3,3,-,1,-,-
  , FKR-SR,1,-,2,-,-,2,-,-,-,-
  , KMH-J1,1,1,3,-,-,4,-,-,-,-
 D-GU3R, 5J-62N,1,1,5,-,-,1,2,-,-,-
  , 8-MXHA,-,-,3,1,2,1,-,-,-,-
  , AID-9T,-,1,4,1,1,2,-,-,-,-
  , D3S-EA,2,-,2,-,-,5,2,-,-,-
  , LPVL-5,3,-,3,-,1,1,1,1,-,-
  , PXE-RG,-,2,2,-,2,1,-,-,-,-
  , Z-DRIY,-,2,3,-,1,-,-,-,-,-
 H7Q-DG, 1PF-BC,1,-,5,-,-,3,-,-,-,-
  , C-V6DQ,-,1,2,1,1,2,-,-,-,-
  , D-OJEZ,1,-,4,-,2,1,1,-,-,-
  , EX-GBT,-,-,-,3,1,2,-,-,-,-
  , QHJR-E,-,-,1,1,-,3,1,-,-,-
  , Z-FET0,-,1,1,-,2,4,-,-,-,-
 ICH-B6, 2B-UUQ,2,-,5,-,-,2,1,-,-,-
  , 9QS5-C,-,-,3,-,1,4,1,-,-,-
  , ALC-JM,2,-,1,-,-,3,-,1,-,-
  , I64-XB,-,2,4,-,-,-,-,-,-,-
  , N-SFZK,1,1,2,-,-,2,1,-,-,-
  , NWX-LI,-,2,5,-,-,-,1,-,-,-
  , Z0G-XG,-,-,3,-,1,2,-,2,-,-
 J-78ZG, 3IK-7O,1,-,3,-,-,3,-,-,-,-
  , CL-IRS,2,1,3,-,1,1,1,-,-,-
  , HV-EAP,-,1,3,-,-,4,-,-,-,-
  , MO-I1W,1,1,1,-,1,2,2,-,-,-
  , O-EUHA,-,-,4,-,1,2,1,1,-,-
  , QBZO-R,1,-,2,-,2,3,1,1,-,-
  , UAV-1E,1,1,2,1,-,4,-,1,-,-
  , ZZ5X-M,1,-,1,-,-,3,-,-,-,-
 M9-AN3, 1ACJ-6,-,1,2,-,-,1,-,-,-,-
  , BNX-AS,1,1,2,-,1,5,-,-,-,-
  , F9-FUV,-,1,4,-,-,5,1,-,-,-
  , FB-MPY,1,-,5,-,-,2,-,-,-,-
  , RO-0PZ,1,-,2,-,2,3,1,-,-,-
  , XB-9U2,3,-,1,-,-,3,-,-,-,-
 N-APJ8, 4LJ6-Q,-,1,4,-,-,2,1,-,-,-
  , G-QTSD,1,1,2,1,2,3,1,-,-,-
