Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Chasnaye, Azer,-,1,4,-,1,2,-,-,-,-
  , Cherore,1,1,5,1,1,1,-,-,-,-
  , Gerper,1,-,3,-,1,1,1,-,-,-
  , Harerget,2,-,1,-,2,3,-,-,-,-
  , Mosson,1,-,3,-,2,5,-,-,-,-
  , Mya,3,-,2,-,-,1,-,-,-,-
  , Torvi,1,-,4,-,-,3,1,-,-,-
 Elalan, Antollare,1,1,1,1,1,1,1,-,-,-
  , Avele,-,-,3,1,-,3,1,-,-,-
  , Averon,2,-,2,2,-,3,1,-,-,-
  , Aydoteaux,1,-,2,-,1,2,2,-,-,-
  , Carirgnottin,1,-,4,-,2,4,2,-,-,-
  , Enedore,-,-,4,-,2,1,-,-,-,-
  , Laic,-,-,4,-,-,4,-,1,-,-
  , Muer,-,-,2,-,-,3,1,-,-,-
  , Odixie,3,-,2,-,1,4,2,-,-,-
  , Scuelazyns,-,2,2,1,1,2,1,1,-,-
  , Tolle,2,1,2,-,2,1,-,-,-,-
 Giatole, Alachene,1,1,3,-,1,-,1,1,-,-
  , Atlanins,-,2,4,-,1,-,1,1,-,-
  , Bille,2,-,2,-,2,5,-,-,-,-
  , Colcer,3,-,2,1,3,1,-,1,-,-
  , Elarel,3,-,4,-,2,2,-,-,-,-
  , Leremblompes,1,-,3,-,-,2,2,-,-,-
  , Uphene,-,-,4,2,2,2,-,-,-,-
 Marele, Adeel,3,-,2,-,3,1,-,-,-,-
  , Angatalie,-,-,3,-,3,5,3,-,-,-
  , Groothese,-,1,3,-,-,7,1,-,-,-
  , Mannar,-,1,3,-,1,2,1,-,-,-
  , Mormelot,-,-,4,1,2,2,-,-,-,-
  , Olide,-,-,3,-,1,-,2,-,-,-
 Odilis, Athinard,-,-,1,-,-,4,2,-,-,-
  , Ethernity,1,-,4,-,1,2,1,-,-,-
  , Frarolle,-,-,4,1,1,5,1,-,-,-
  , Gicodel,1,1,5,-,1,3,-,-,-,-
  , Mattere,-,-,3,-,-,2,-,1,-,-
  , Meves,-,1,3,1,1,1,1,-,-,-
  , Quier,-,1,2,-,1,1,-,-,-,-
 Osnins, Aice,2,1,4,-,-,1,-,-,-,-
  , Amattens,2,1,3,-,2,1,-,-,-,-
  , Arnatele,-,1,3,-,-,2,-,-,-,-
  , Bereye,2,-,-,2,-,3,-,-,-,-
  , Halle,2,-,3,-,1,3,-,1,-,-
  , Junsoraert,-,1,3,-,2,3,2,-,-,-
  , Jurlesel,-,-,5,-,1,2,-,-,-,-
  , Mormoen,1,-,3,1,-,3,-,-,-,-
 Ysiette, Aclan,2,-,3,1,-,5,-,-,-,-
  , Ardallabier,1,-,4,1,-,-,-,1,-,-
  , Blameston,1,2,2,-,-,-,1,-,-,-
  , Jaschercis,1,2,1,-,-,2,-,-,-,-
  , Lirsautton,3,-,3,1,-,4,-,-,-,-
  , Marosier,-,-,4,-,1,2,2,1,-,-
  , Vaurent,-,-,5,-,3,-,1,1,-,-
