Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 7X-X1Y, 0-ARFO,1,-,1,-,1,1,-,-,-,-
  , 8W-OSE,-,-,3,2,1,-,2,1,-,-
  , C-OK0R,-,-,3,-,-,1,1,-,-,-
  , E9KD-N,1,1,3,-,2,3,-,1,-,-
  , FIO1-8,1,-,3,-,-,3,-,-,-,-
  , WQY-IQ,-,-,1,-,1,5,-,-,-,-
  , YKSC-A,-,1,5,-,-,1,-,-,-,-
 UWRZ-2, K4YZ-Y,1,1,3,-,2,3,1,-,-,-
  , L-C3O7,-,-,4,1,1,2,1,-,-,-
  , L-SCBU,1,1,4,-,1,-,1,1,-,-
  , O-CNPR,1,-,3,1,1,2,-,-,-,-
  , O1Y-ED,1,1,4,1,-,4,-,1,-,-
  , VRH-H7,1,1,2,1,1,2,1,-,-,-
  , X36Y-G,1,-,1,3,-,2,-,-,-,-
 VNX-P0, 8QMO-E,2,-,4,-,-,2,2,1,-,-
  , C4C-Z4,-,-,3,2,1,2,1,-,-,-
  , GME-PQ,2,-,4,2,-,1,-,-,-,-
  , I-UUI5,3,-,-,1,-,2,-,-,-,-
  , MPPA-A,-,1,2,1,-,2,-,-,-,-
  , X5-UME,3,-,2,1,1,2,-,-,-,-
 XFLN-F, C8-CHY,1,2,3,1,2,3,-,-,-,-
  , CR-IFM,-,2,2,2,1,2,1,-,-,-
  , DO6H-Q,1,1,2,-,1,1,-,1,-,-
  , DW-T2I,1,1,2,1,2,1,1,2,-,-
  , E-9ORY,3,-,1,-,2,2,1,-,-,-
  , HHK-VL,-,2,2,-,-,1,-,-,-,-
  , P-33KR,-,-,2,-,-,4,1,-,-,-
