Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 1ANT-J, 3-YX2D,3,-,1,-,-,5,1,-,-,-
  , 9-ZFCG,-,1,2,-,2,4,-,-,-,-
  , CFLF-P,1,-,3,-,1,4,1,1,-,-
  , QBH5-F,-,2,3,-,1,-,-,1,-,-
  , UD-VZW,1,-,5,-,-,1,1,-,-,-
  , V-TN6Q,1,1,3,-,-,2,1,-,-,-
 3-PC31, 2-RSC7,1,-,1,1,1,2,1,-,-,-
  , D4-2XN,1,1,4,-,-,1,-,-,-,-
  , K-9UG4,2,-,5,1,1,2,-,-,-,-
  , KJ-V0P,1,1,1,1,-,2,2,-,-,-
  , OBK-K8,2,-,1,1,-,4,-,-,-,-
  , ZID-LE,-,-,3,1,2,1,2,1,-,-
 3-U491, 2-F3OE,1,-,2,1,1,3,2,-,-,-
  , 5-LCI7,3,-,4,1,1,3,1,-,-,-
  , AZN-D2,-,-,6,-,-,2,1,-,-,-
  , CL-J9W,-,2,2,-,-,3,-,-,-,-
  , E-PR0S,1,1,2,-,1,2,1,-,-,-
  , TR07-S,-,1,3,-,-,2,1,-,-,-
  , VNGJ-U,1,-,2,1,2,1,2,-,-,-
  , VVO-R6,1,-,1,-,-,1,2,-,-,-
  , Y2-I3W,2,1,3,-,1,3,2,-,-,-
 42-WDG, 0OYZ-G,2,-,-,-,-,4,-,-,-,-
  , 6-ELQP,-,-,2,1,1,2,-,-,-,-
  , D6SK-L,2,-,-,1,2,3,-,-,-,-
  , HYPL-V,1,1,2,1,1,1,1,-,-,-
  , I9-ZQZ,2,-,4,1,-,3,-,-,-,-
  , M-PGT0,-,1,3,-,1,1,1,-,-,-
  , NPD9-A,1,1,3,-,-,2,1,-,-,-
  , R97-CI,-,1,2,1,1,4,-,-,-,-
  , SWBV-2,1,-,2,3,-,4,-,-,-,-
 AV-SCL, 4AZ-J8,-,-,3,1,1,3,1,-,-,-
  , 5-IZGE,-,-,4,-,-,4,-,-,-,-
  , BGN1-O,1,-,3,-,-,2,1,-,-,-
  , F-8Y13,1,-,3,-,-,1,1,-,-,-
  , J-TPTA,3,-,2,-,-,2,-,-,-,-
  , OXC-UL,-,1,2,-,2,-,2,2,-,-
  , PMV-G6,-,2,3,1,-,1,1,-,-,-
  , X6-J6R,-,-,5,-,1,2,1,-,-,-
 C45-9Y, 5XR-KZ,1,-,5,-,1,4,-,-,-,-
  , 75C-WN,-,1,3,-,-,3,-,-,-,-
  , BG-W90,-,-,3,1,-,2,1,-,-,-
  , C-0ND2,2,1,3,-,2,2,-,-,-,-
  , I5Q2-S,2,-,4,-,1,-,-,-,-,-
  , JI-LGM,4,-,2,-,-,2,1,-,-,-
  , OCU4-R,1,-,2,-,-,5,-,-,-,-
  , PO-3QW,2,-,1,-,1,2,1,-,-,-
  , VF-FN6,-,1,3,-,2,2,-,-,-,-
  , Y-YGMW,-,2,2,-,-,1,-,-,-,-
  , Z-PNIA,1,-,3,-,1,1,-,1,-,-
 I-3ODK, 3L-Y9M,3,1,3,-,1,2,1,-,-,-
  , BJD4-E,2,-,1,-,4,3,-,-,-,-
  , BLC-X0,-,1,3,-,-,3,-,-,-,-
  , DUU1-K,1,1,2,-,-,2,-,1,-,-
  , K-X5AX,-,-,2,-,4,-,-,1,-,-
  , O9V-R7,3,-,1,1,1,1,1,-,-,-
  , TSG-NO,2,1,3,-,1,1,1,-,-,-
 JQA8-6, 2UK4-N,2,-,5,-,-,2,2,-,-,-
  , 5ELE-A,-,-,3,2,1,2,1,-,-,-
  , BJ-ZFD,1,1,3,-,-,1,2,-,-,-
  , H-P4LB​【1.8 kg】,1,-,2,-,1,4,-,-,-,-
  , H65-HE,1,1,2,1,1,2,2,-,-,-
  , M-CMLV,-,1,3,-,1,2,1,-,-,-
  , QK-CDG,1,-,3,1,-,1,2,-,-,-
 L-H07K, 6O-XIO,-,1,5,1,1,-,1,-,-,-
  , NW2S-A,-,-,4,-,-,4,2,-,-,-
  , NX5W-U,1,1,3,-,-,4,1,-,-,-
  , U-BXU9,-,2,3,-,-,2,1,-,-,-
  , U-JJEW,-,-,4,-,1,3,1,-,-,-
  , U1-C18,1,-,1,1,-,3,1,-,-,-
  , ZXOG-O,3,-,-,-,-,2,1,-,-,-
 OFQ-HG, J94-MU,2,-,2,1,-,4,1,1,-,-
  , JO-32L,-,-,3,2,1,-,1,1,-,-
  , M2GJ-X,-,-,5,-,2,4,-,-,-,-
  , MSKR-1,1,-,4,1,-,2,-,-,-,-
  , UB5Z-3,-,-,3,1,1,2,1,-,-,-
  , YHP2-D,1,1,2,-,-,3,-,-,-,-
 RHG-4O, 5P-AIP,-,-,5,-,1,4,-,-,-,-
  , GHZ-SJ,-,-,3,-,-,5,-,1,-,-
  , K-J50B,-,-,3,1,-,2,1,-,-,-
  , NLO-3Z,1,2,2,-,-,3,-,-,-,-
  , P8-BKO,2,-,1,-,1,2,-,-,-,-
  , R4K-8L,-,1,4,1,2,2,-,-,-,-
  , RIT-A7,1,-,3,1,1,-,1,-,-,-
 YZKE-Q, 23M-PX,2,-,2,1,1,2,1,-,-,-
  , 3-BADZ,-,1,3,-,-,2,1,-,-,-
  , DB1R-4,1,1,2,-,1,2,1,-,-,-
  , GPUS-A,-,2,4,1,1,1,1,-,-,-
  , UTDH-N,-,1,4,-,-,2,1,-,-,-
  , ZS-2LT,-,1,4,-,1,3,1,1,-,-
