Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Basilisk, 4HS-CR,1,-,4,-,1,2,1,-,-,-
  , G1CA-Y,-,-,3,2,1,1,1,-,-,-
  , LBGI-2,-,-,3,-,2,5,1,-,-,-
  , WMH-SO,4,-,1,-,2,2,-,-,-,-
  , Y-2ANO,1,1,3,1,1,3,-,1,-,-
  , Z-YN5Y,3,-,-,-,-,1,1,-,-,-
 Centaur, 7-8S5X,-,-,5,-,-,1,1,-,-,-
  , 7X-02R,3,-,1,3,1,1,-,-,-,-
  , D2AH-Z,1,-,2,-,-,4,1,-,-,-
  , EI-O0O,3,-,-,1,1,2,-,-,-,-
  , J5A-IX,1,-,2,-,3,4,1,1,-,-
  , Z9PP-H,1,-,1,1,3,1,1,-,-,-
 Chimera, 15U-JY,1,-,2,-,-,3,-,1,-,-
  , 6VDT-H,2,-,1,-,2,2,-,1,-,-
  , 7BX-6F,1,-,4,1,-,2,1,-,-,-
  , AV-VB6,1,-,4,-,1,8,2,-,-,-
  , HMF-9D,1,1,1,-,2,2,-,-,-,-
  , NDH-NV,1,-,3,1,1,-,-,-,-,-
  , NY6-FH,-,1,2,-,-,4,1,-,-,-
  , QV28-G,1,-,4,1,1,1,-,-,-,-
  , XJP-Y7,-,2,3,-,1,2,-,-,-,-
 Griffin, 38IA-E,-,-,2,-,1,4,3,-,-,-
  , 7BIX-A,2,-,3,1,1,-,2,-,-,-
  , G-UTHL,1,-,3,-,1,2,1,-,-,-
  , LIWW-P,1,-,3,-,-,2,-,-,-,-
  , M-KXEH,-,-,3,-,-,3,-,-,-,-
  , TU-Y2A,-,-,4,-,1,1,-,-,-,-
 Hydra, 14YI-D,1,-,4,-,-,2,2,-,-,-
  , 87XQ-0,1,2,3,-,1,3,1,-,-,-
  , I-CUVX,-,-,3,1,-,4,-,-,-,-
  , J-RQMF,-,-,4,-,-,2,1,-,-,-
  , KVN-36,1,1,3,-,2,-,-,-,-,-
  , LJ-TZW,1,-,4,1,1,3,3,-,-,-
  , TEG-SD,1,1,2,-,1,3,-,1,-,-
 Kraken, 671-ST,1,1,2,1,2,1,-,-,-,-
  , A-HZYL,1,-,3,-,2,4,1,-,-,-
  , ESC-RI,2,-,2,-,1,4,-,-,-,-
  , H-S80W,1,1,4,-,-,1,2,-,-,-
  , UAYL-F,3,-,-,-,1,-,1,-,-,-
  , Z30S-A,3,-,3,-,1,4,-,-,-,-
 Manticore, 9R4-EJ,-,-,3,-,-,2,1,-,-,-
  , E-BWUU,-,-,4,3,2,2,-,-,-,-
  , K8L-X7,-,-,2,-,3,4,2,-,-,-
  , Q-XEB3,-,-,1,2,2,5,-,-,-,-
  , SPLE-Y,1,1,2,-,1,2,-,1,-,-
  , Y-1W01,-,-,4,1,1,2,-,-,-,-
 Mermaid, 006-L3,1,1,3,-,1,1,-,-,-,-
  , L7-APB,-,-,5,-,-,1,2,1,-,-
  , PB-0C1,1,-,3,-,1,1,-,-,-,-
  , XUW-3X,1,-,3,-,1,4,-,-,-,-
  , ZTS-4D,-,1,2,-,-,4,-,-,-,-
  , ZUE-NS,-,-,2,1,-,3,2,-,-,-
 Minotaur, 57-KJB,-,-,3,1,1,2,-,-,-,-
  , 9DQW-W,-,-,3,-,1,3,1,1,-,-
  , OL3-78,1,-,2,1,-,3,1,-,-,-
  , PXF-RF,1,2,2,-,-,1,-,1,-,-
  , R-BGSU,1,2,3,-,1,2,-,-,-,-
  , V6-NY1,3,1,3,-,-,2,1,-,-,-
 Pegasus, 3WE-KY,-,1,3,-,1,1,-,2,-,-
  , 4-EP12,3,-,5,1,-,4,1,-,-,-
  , 9-VO0Q,-,-,2,2,2,1,-,-,-,-
  , A8-XBW,1,-,3,-,-,3,1,-,-,-
  , IR-WT1,-,1,3,-,-,1,1,-,-,-
  , XF-TQL,1,-,-,2,1,4,-,1,-,-
  , YZS5-4,2,1,4,1,-,3,-,-,-,-
 Phoenix, 75FA-Z,1,1,2,1,-,2,1,-,-,-
  , A-1CON,2,-,2,-,2,4,-,1,-,-
  , D-Q04X,-,-,3,-,2,4,-,1,-,-
  , MN5N-X,1,-,4,-,-,3,2,-,-,-
  , Serpentis Prime,2,-,-,-,3,1,2,-,-,-
  , WY-9LL,-,-,4,-,1,4,-,-,-,-
