Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 74IL-O, 5F-YRA,3,-,1,-,1,3,1,-,-,-
  , JE1-36,-,1,3,1,-,3,2,-,-,-
  , O2O-2X,-,1,6,-,1,-,-,-,-,-
  , TDE4-H,-,-,5,-,1,1,-,-,-,-
  , UER-TH,1,-,3,-,2,2,1,-,-,-
  , UG-UWZ,-,-,1,-,-,4,2,-,-,-
 8K-CHA, 39-DGG,1,1,3,-,1,2,-,-,-,-
  , 3USX-F,2,-,-,-,-,4,1,-,-,-
  , 6RQ9-A,-,-,3,-,3,3,-,1,-,-
  , 9-KWXC,-,-,2,1,1,5,-,-,-,-
  , K42-IE,-,-,2,-,3,3,2,1,-,-
  , SV-K8J,2,-,2,-,3,3,-,1,-,-
  , VSJ-PP,1,-,4,-,2,1,-,-,-,-
 F-ZNNG, 54-MF6,1,1,2,-,-,3,1,1,-,-
  , AD-5B8,1,-,4,-,-,4,-,-,-,-
  , E-91FV,1,1,3,2,1,4,-,1,-,-
  , EOA-ZC,1,-,3,1,1,3,1,1,-,-
  , G-73MR,2,-,3,-,-,2,-,-,-,-
  , QP0K-B,1,-,1,-,1,3,-,1,-,-
  , TJM-JJ,2,-,3,-,-,1,1,1,-,-
  , UBX-CC,1,-,3,-,1,4,1,-,-,-
 IPS-QB, 4-CUM5,2,1,4,-,-,2,-,-,-,-
  , 8MG-J6,1,1,3,-,-,4,1,-,-,-
  , BND-16,1,-,2,-,-,4,1,-,-,-
  , BWF-ZZ,-,-,4,-,1,5,-,-,-,-
  , IOO-7O,2,-,3,-,-,2,1,-,-,-
  , RLSI-V,-,-,3,1,-,3,-,-,-,-
 KR-XF4, 3SFU-S,-,-,2,1,2,2,1,-,-,-
  , 8-KZXQ,-,-,3,-,1,1,-,-,-,-
  , Atioth,-,-,2,-,-,2,1,1,-,-
  , CFYY-J,5,-,1,1,-,1,-,-,-,-
  , D-I9HJ,-,1,2,-,-,1,1,-,-,-
  , HKYW-T,-,-,3,2,-,3,1,-,-,-
  , N-HK93,-,1,3,-,2,2,-,-,-,-
  , P-6I0B,1,1,3,-,-,3,1,-,-,-
  , PYY3-5,1,-,2,1,-,2,1,-,-,-
  , RFGW-V,2,-,1,2,-,1,1,-,-,-
  , U6D-9A,1,1,2,1,1,3,-,-,-,-
  , VJ-NQP,2,1,1,-,1,3,-,-,-,-
 N-K4Q0, 2E-ZR5,1,1,2,-,1,2,-,-,-,-
  , FDZ4-A,1,1,2,1,-,4,1,-,-,-
  , MR4-MY,1,1,3,-,-,-,-,2,-,-
  , O1-FTD,1,2,3,-,-,1,-,1,-,-
  , OEY-OR,1,1,1,-,-,4,2,-,-,-
  , Roua,4,-,1,-,-,3,2,-,-,-
  , SR-KBB,1,1,2,-,-,2,2,-,-,-
 NK-AOZ, 04-LQM,-,-,-,2,-,2,-,-,-,-
  , 4VY-Y1,-,-,1,-,1,3,1,-,-,-
  , 6L78-1,1,-,5,-,2,2,-,-,-,-
  , 6YC-TU,-,1,3,-,2,2,-,-,-,-
  , K25-XD,3,-,-,1,1,1,1,-,-,-
  , LU-HQS,2,3,2,-,-,1,1,-,-,-
  , LX-ZOJ,2,-,1,-,4,2,3,1,-,-
  , O-VWPB,-,-,3,-,2,4,-,-,-,-
  , U-L4KS,-,-,5,-,3,2,1,-,-,-
  , Y8R-XZ,-,-,3,-,-,2,1,-,-,-
 RJ-1R7, 4K0N-J,1,1,3,-,2,2,1,-,-,-
  , B-F1MI​【1.6 km】,-,1,2,-,-,3,-,-,-,-
  , BE-UUN,-,1,3,-,1,-,2,-,-,-
  , LR-2XT,-,-,4,-,-,5,-,-,-,-
  , TZL-WT,-,-,4,-,2,1,-,2,-,-
  , W-3BSU,2,-,2,-,1,4,-,-,-,-
 UBPU-9, B6-52M,1,-,5,-,2,4,-,-,-,-
  , D0-F4W,2,-,2,1,-,3,-,-,-,-
  , L-HV5C,-,1,2,-,-,-,1,-,-,-
  , L4X-FH,-,-,3,2,-,2,-,1,-,-
  , M-MD31,-,-,4,1,2,3,-,-,-,-
  , NBPH-N,2,-,2,1,1,2,-,-,-,-
  , QKTR-L,-,1,2,-,-,2,1,-,-,-
  , V-MZW0,-,-,3,1,3,1,2,-,-,-
  , WH-2EZ,-,-,3,-,1,1,-,1,-,-
  , YN3-E3,-,1,3,-,1,3,1,2,-,-
 V1G-63, 4D9-66,2,-,2,1,-,2,-,-,-,-
  , 9P4O-F,1,1,3,-,1,5,-,-,-,-
  , HJO-84,-,1,3,1,-,3,2,-,-,-
  , L-TOFR,-,1,3,-,1,3,-,-,-,-
  , P-E9GN,1,-,-,-,2,3,2,-,-,-
  , Q-TBHW,-,1,5,-,-,1,1,-,-,-
 ZYL-FT, 0-GZX9,2,-,4,1,1,2,-,-,-,-
  , 2H-TSE,1,1,2,-,-,2,-,-,-,-
  , 4NGK-F,-,2,4,-,1,4,-,1,-,-
  , AP9-LV,-,-,3,2,2,5,-,-,-,-
  , KR-V6G,2,-,-,2,-,1,-,-,-,-
  , NQ-9IH,1,1,1,-,1,1,1,-,-,-
