Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Ashela, Hesarid,1,-,2,-,-,4,-,-,-,-
  , Makhwasan,1,2,2,-,1,5,-,-,-,-
  , Nardiarang,-,-,1,2,2,1,1,-,-,-
  , Sibe,1,-,1,-,-,8,1,-,-,-
  , Toon,1,1,3,-,-,3,1,-,-,-
  , Zarer,1,-,3,-,-,3,1,1,-,-
  , Ziasad,-,-,2,1,2,1,3,-,-,-
 Aven, Bherdasopt,-,1,3,1,-,1,-,-,-,-
  , Galnafsad,1,1,2,-,1,2,-,-,-,-
  , Gonditsa,-,1,2,-,2,3,-,1,-,-
  , Olin,-,-,3,-,-,1,1,-,-,-
  , Otakod,1,1,5,-,1,2,1,-,-,-
  , Shalne,-,-,4,1,2,1,-,-,-,-
  , Shapisin,4,-,-,-,1,4,-,-,-,-
  , Simela,-,-,4,1,1,1,-,-,-,-
 Charak, Abhan,1,1,4,1,-,3,-,-,-,-
  , Anyed,1,1,4,-,3,2,2,-,-,-
  , Anzalaisio,-,-,3,-,1,2,1,1,-,-
  , Asanot,1,-,3,-,-,3,1,-,-,-
  , Chiga,-,-,3,-,-,3,-,-,-,-
  , Habu,3,-,2,-,-,1,2,-,-,-
 Ekrin, Apanake,-,1,2,-,3,3,1,-,-,-
  , Ashokon,2,-,3,-,-,8,1,-,-,-
  , Avyuh,-,-,2,1,-,1,-,1,-,-
  , Keseya,2,-,3,-,-,3,1,-,-,-
  , Sheroo,1,-,3,-,2,4,1,-,-,-
  , Sigga,-,1,2,-,4,2,-,-,-,-
  , Sosh,2,-,3,-,1,5,-,-,-,-
 EVE, Canard,1,1,2,1,1,4,1,-,-,-
  , Central Point,-,-,4,-,2,2,-,-,-,-
  , Dead End,2,-,1,-,2,2,1,-,-,-
  , Exit,4,-,-,-,-,1,1,-,-,-
  , Gateway,2,-,4,-,1,1,1,-,-,-
  , New Eden,-,-,-,-,-,1,-,-,-,-
  , Promised Land,-,-,5,-,-,2,1,-,-,-
 Fabas, Agal,2,1,3,-,1,-,1,-,-,-
  , Bania,-,-,2,-,-,4,1,-,-,-
  , Doza,1,-,2,1,-,-,1,-,-,-
  , Ebasez,2,-,3,-,1,1,-,1,-,-
  , Girani-Fa,-,2,4,1,2,2,-,1,-,-
  , Heorah,-,1,3,-,1,2,-,-,-,-
  , Nasreri,2,-,3,-,1,2,-,-,-,-
 Kihkounad, Anara,-,1,3,1,-,2,2,-,-,-
  , Azedi,1,-,1,-,1,5,1,-,-,-
  , Partod,2,1,2,-,2,1,1,-,-,-
  , Pirna,-,1,4,-,-,3,-,-,-,-
  , Seshi,3,-,1,-,1,3,-,-,-,-
  , Sharza,-,-,2,1,1,3,-,-,-,-
 Makh, Bantish,-,-,5,-,-,1,2,-,-,-
  , Itrin,-,1,2,1,2,1,-,-,-,-
  , Keri,-,-,2,-,2,-,4,2,-,-
  , Korridi,2,-,-,2,-,1,-,1,-,-
  , Lela,1,1,3,2,2,3,-,-,-,-
  , Saphthar,4,-,3,-,1,3,-,1,-,-
 Meli, Aring,2,-,2,1,1,4,3,-,-,-
  , Chej,-,1,4,-,1,5,-,-,-,-
  , Gayar,1,-,2,-,-,4,-,-,-,-
  , Menai,-,-,4,1,1,1,-,-,-,-
  , Naka,-,1,3,-,1,2,1,-,-,-
  , Noranim,1,-,2,-,1,-,1,-,-,-
