Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
730-KH, E02-IK,-,1,3,1,1,3,2,-,-,-
  , JPL-RA,-,-,3,-,-,3,-,-,-,-
  , M-MD3B,1,-,3,1,2,4,1,-,-,-
  , N-DQ0D,1,-,2,1,2,1,-,-,-,-
  , NIH-02,-,-,4,-,1,1,2,-,-,-
  , NK-7XO,-,1,3,-,1,2,-,-,-,-
 AP-S8F, 7JF-0Z,1,-,3,-,-,-,1,-,-,-
  , CI4M-T,1,-,2,-,2,4,-,-,-,-
  , DE71-9,1,1,4,-,-,1,-,-,-,-
  , I-QRJA,2,-,1,-,3,2,-,-,-,-
  , M-YWAL,1,-,3,1,-,1,2,1,-,-
  , P1T-LP,1,1,3,-,-,1,1,-,-,-
  , R-ESG0,2,-,2,1,1,2,2,-,-,-
 BB8E-G, 0NV-YU,1,-,-,2,1,1,1,-,-,-
  , 168-6H,-,-,3,1,-,4,1,-,-,-
  , AI-EVH,1,-,2,1,2,4,1,-,-,-
  , F-MKH3,-,1,-,-,-,-,-,-,-,-
  , V-2GYS,1,2,3,-,-,-,1,-,-,-
  , VKU-BG,1,2,2,-,1,4,1,-,-,-
  , W-RFUO,1,-,2,-,1,3,-,-,-,-
  , WPR-EI,-,-,4,-,-,4,2,-,-,-
  , ZM-DNR,1,1,4,1,-,5,1,-,-,-
 DYK-G8, 4M-P1I,-,-,4,-,1,2,-,-,-,-
  , H-8F5Q,1,-,-,-,1,5,-,-,-,-
  , H7O-JZ,1,-,1,1,1,2,-,-,-,-
  , LXTC-S,2,-,3,1,1,3,1,-,-,-
  , O-RXCZ,-,1,2,1,-,2,1,-,-,-
  , WE3-BX,1,-,-,-,1,1,2,-,-,-
 HRJG-D, 66U-1P,-,1,5,1,-,4,-,-,-,-
  , BRT-OP,1,-,2,4,-,6,-,-,-,-
  , JUK0-1,-,-,4,-,-,2,-,-,-,-
  , OJOS-T,-,-,2,-,1,1,-,-,-,-
  , V-IH6B,-,-,4,1,-,1,-,1,-,-
  , V89M-R,2,-,1,-,-,2,1,-,-,-
 I3-2J0, 0-3VW8,-,1,3,-,-,1,-,-,-,-
  , 28-QWU,1,-,3,-,1,-,-,-,-,-
  , K-IYNW,1,-,1,-,-,2,-,-,-,-
  , M9U-75,-,1,1,-,1,3,-,1,-,-
  , N-RAEL,2,-,-,-,1,3,1,1,-,-
  , UD-AOK,1,-,4,-,1,-,-,1,-,-
 IYOO-M, 0R-GZQ,-,-,3,-,-,2,1,-,-,-
  , 9-34L5,2,-,2,3,-,1,-,1,-,-
  , GF-3FL,1,-,3,-,1,3,1,1,-,-
  , QM-20X,-,-,2,-,1,4,2,-,-,-
  , QQ3-YI,-,1,3,-,-,-,-,-,-,-
  , ZJ-GOU,-,1,3,-,-,4,-,-,-,-
 K-DLD2, 504Z-V,-,-,5,-,1,3,-,1,-,-
  , AB-FZE,-,-,4,-,-,4,-,-,-,-
  , F8K-WQ,-,-,1,1,1,3,3,1,-,-
  , N-6Z8B,-,-,4,-,1,4,-,1,-,-
  , NE-3GR,2,1,1,-,1,2,-,-,-,-
  , YUY-LM,2,-,3,-,1,2,-,-,-,-
 L-TEVM, EOE3-N,-,-,1,-,2,5,-,-,-,-
  , F7A-MR,3,-,1,1,2,4,-,-,-,-
  , HB-1NJ,1,1,3,-,1,2,-,-,-,-
  , O-8SOC,2,1,2,1,2,2,-,-,-,-
  , P7UZ-T,-,1,4,1,1,-,-,-,-,-
  , PUZ-IO,-,1,2,-,1,4,1,1,-,-
 Q-PVMK, 7Q-8Z2,1,1,1,2,3,2,-,-,-,-
  , 8YC-AN,-,1,3,-,-,4,-,-,-,-
  , OK-6XN,1,1,1,1,-,2,1,-,-,-
  , Q2FL-T,1,-,4,-,1,1,-,-,-,-
  , SUR-F7,1,-,2,-,3,2,2,-,-,-
  , U3K-4A,2,-,2,-,-,3,1,-,-,-
  , Y7-XFD,-,1,5,-,-,3,1,-,-,-
 T-W4L3, 1C-953,1,1,3,1,3,1,-,-,-,-
  , 1L-AED,-,1,4,-,1,3,-,-,-,-
  , B-ROFP,-,1,4,-,-,3,-,-,-,-
  , F5-CGW,3,-,2,-,1,2,-,-,-,-
  , H9S-WC,3,-,-,-,1,4,1,-,-,-
  , IX8-JB,-,-,4,1,1,4,1,-,-,-
  , WTIE-6,1,-,3,-,1,4,-,-,-,-
  , Y-DSSK,-,-,-,2,-,1,2,-,-,-
 U-3HAO, 2X7Z-L,1,2,2,-,1,-,-,-,-,-
  , 56D-TC,1,-,-,1,1,1,1,-,-,-
  , 6EG7-R,-,1,3,-,-,4,-,-,-,-
  , 8DL-CP,1,-,3,-,-,2,1,-,-,-
  , FVXK-D,-,1,1,-,-,-,-,-,-,-
  , UMDQ-6,-,-,2,-,1,3,-,-,-,-
 V-4QJC, 0PI4-E,-,1,3,-,2,3,1,-,-,-
  , 6WT-BE,-,1,4,-,-,3,-,-,-,-
  , 9SNK-O,2,-,1,-,1,3,-,-,-,-
  , B-VIP9,3,-,1,-,-,2,1,-,-,-
  , L1S-G1,-,1,3,1,1,1,2,-,-,-
  , SL-YBS,-,-,3,-,1,3,1,-,1,-
  , UNJ-GX,-,1,1,1,3,2,-,-,-,-
 V-LQBF, 7-IDWY,1,-,3,-,2,2,-,1,-,-
  , AZF-GH,2,-,-,2,2,2,-,-,-,-
  , BY5-V8,1,-,1,2,1,3,2,-,-,-
  , CRXA-Y,1,-,-,-,3,2,-,-,-,-
  , M-EKDF,-,-,6,-,1,1,2,1,-,-
  , TET3-B,-,-,3,-,-,4,1,-,-,-
  , UT-UZB,2,-,2,1,-,1,-,-,-,-
  , VXO-OM,-,1,1,-,2,1,-,-,-,-
  , Y4-GQV,-,-,3,2,-,1,2,-,-,-
 W-3Y6D, 52V6-B,1,-,5,-,2,-,1,-,-,-
  , 5FCV-A,1,-,2,-,2,2,1,-,-,-
  , 92-B0X,-,-,4,-,2,4,1,-,-,-
  , O-OVOQ,2,-,-,1,-,2,2,-,-,-
  , PUC-JZ,2,-,1,1,1,3,-,-,-,-
  , SB-23C,1,-,-,1,-,4,2,1,-,-
