Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Akimamur, Aralgrund,-,-,3,-,1,1,1,-,-,-
  , Bogelek,1,-,2,-,2,2,-,1,-,-
  , Eddar,1,1,2,-,1,2,2,-,-,-
  , Offugen,1,1,2,-,-,4,-,-,-,-
  , Roniko,-,-,4,-,-,2,-,-,-,-
  , Wiskeber,-,-,3,1,1,2,1,-,-,-
 Benurad, Bundindus,2,-,1,-,1,1,1,-,-,-
  , Hedgiviter,-,-,4,-,1,1,-,-,-,-
  , Hrondedir,-,1,3,-,1,1,1,-,-,-
  , Hrondmund,1,1,2,-,1,4,-,-,-,-
  , Katugumur,-,-,4,-,-,2,-,-,-,-
  , Otraren,1,1,3,-,-,2,-,-,-,-
  , Sotrenzur,-,-,2,-,-,9,1,-,-,-
 Erada, Hurjafren,-,1,4,-,-,2,2,-,-,-
  , Krilmokenur,1,-,3,-,2,3,-,-,-,-
  , Larkugei,1,-,4,-,1,3,-,-,-,-
  , Loguttur,1,-,2,1,1,3,-,1,-,-
  , Magiko,1,-,2,-,1,1,1,-,-,-
  , Onga,3,-,2,-,-,4,1,-,-,-
  , Oremmulf,2,1,3,-,-,3,-,-,-,-
  , Osaumuni,2,1,3,-,-,3,-,1,-,-
  , Vullat,1,-,2,1,1,2,2,-,-,-
 Evannater, Atgur,-,-,2,-,2,2,2,-,-,-
  , Auren,-,-,6,1,2,-,1,1,-,-
  , Eifer,-,1,2,-,1,1,1,-,-,-
  , Endrulf,1,-,2,-,1,4,-,-,-,-
  , Gultratren,-,2,3,-,-,1,2,-,-,-
  , Gusandall,1,-,-,2,-,4,1,-,-,-
  , Ingunn,-,2,3,-,-,1,-,-,-,-
 Hed, Amamake,1,-,1,1,-,3,-,-,-,-
  , Auga,1,2,3,1,1,2,-,-,-,-
  , Dal,-,-,2,1,1,3,-,-,-,-
  , Lantorn,1,-,3,-,1,3,-,1,-,-
  , Siseide,-,-,3,1,-,3,2,-,-,-
  , Vard,1,-,1,-,2,3,1,-,-,-
 Huvilma, Alakgur,1,2,3,-,-,3,2,-,-,-
  , Bosboger,1,2,5,-,-,2,-,-,-,-
  , Dammalin,-,1,2,-,-,4,-,-,-,-
  , Gulmorogod,1,1,4,-,-,2,-,2,-,-
  , Lulm,1,-,2,-,-,2,-,-,-,-
  , Olfeim,1,1,3,-,-,1,-,1,-,-
 Odengsolf, Avesber,-,2,3,-,1,2,1,-,-,-
  , Balginia,1,1,4,-,2,1,-,-,-,-
  , Frarn,3,-,2,1,-,2,1,1,-,-
  , Gyng,-,1,1,-,-,3,-,1,-,-
  , Illinfrik,1,-,2,1,1,4,-,-,-,-
  , Ivar,-,-,3,-,1,6,1,-,-,-
  , Meirakulf,1,1,3,-,-,3,-,1,-,-
  , Usteli,3,-,-,1,-,4,-,-,-,-
 Ortner, Abudban,1,-,4,-,1,2,-,2,-,-
  , Ameinaka,2,-,2,1,-,3,-,1,-,-
  , Hulm,4,-,-,-,1,2,1,-,-,-
  , Malukker,3,-,-,2,-,2,-,1,-,-
  , Odatrik,4,-,2,-,1,4,-,-,-,-
  , Osoggur,3,-,2,-,1,5,-,-,-,-
  , Rens,4,1,2,-,-,2,-,-,-,-
  , Trytedald,1,1,4,-,-,3,-,-,-,-
 Osta, Austraka,1,1,2,1,-,3,-,-,-,-
  , Dumkirinur,-,-,1,-,1,4,2,-,-,-
  , Edmalbrurdus,3,-,1,-,-,3,-,1,-,-
  , Kronsur,1,-,4,-,1,4,-,-,-,-
  , Obrolber,-,-,3,-,2,6,2,-,-,-
  , Sist,-,-,2,-,2,4,2,-,-,-
  , Todeko,3,-,-,-,-,4,1,-,-,-
 Sveipar, Ammold,1,-,3,1,1,2,1,-,-,-
  , Emolgranlan,-,-,4,-,1,1,2,-,-,-
  , Eystur,1,-,1,-,1,2,1,-,-,-
  , Hadaugago,-,-,2,1,-,6,-,-,-,-
  , Isendeldik,-,-,5,-,-,3,1,-,-,-
  , Lustrevik,-,1,4,1,-,5,-,-,-,-
  , Pator,2,-,-,1,1,3,2,-,-,-
 Urtfer, Appen,-,-,2,1,1,4,1,-,-,-
  , Egmur,2,1,1,1,2,3,-,-,-,-
  , Javrendei,1,1,5,-,1,2,2,-,-,-
  , Jorus,-,1,5,-,-,1,-,-,-,-
  , Klir,-,1,2,-,-,2,1,-,-,-
  , Trer,1,1,3,-,1,3,1,-,-,-
 Wiedadur, Ebasgerdur,-,1,2,-,-,4,1,-,-,-
  , Ebodold,2,-,4,1,1,2,-,-,-,-
  , Gerbold,-,-,3,-,-,3,-,-,-,-
  , Gerek,-,-,4,-,-,2,-,-,-,-
  , Rokofur,-,-,3,1,1,4,1,-,-,-
  , Tongofur,2,-,2,1,1,4,1,1,-,-
