Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 4MY-AB, D-BAMJ,2,-,2,1,2,-,-,-,-,-
  , DW-N2S,2,-,3,-,1,-,-,-,-,-
  , F76-8Q,2,1,2,-,-,1,-,-,-,-
  , JKWP-U,-,-,4,1,-,4,2,-,-,-
  , PH-NFR,-,-,3,-,1,2,1,-,-,-
  , RHE7-W,1,-,-,1,-,3,1,-,-,-
  , W-FHWJ,2,-,-,1,-,1,-,1,-,-
  , X-6WC7,-,1,2,-,-,-,-,-,-,-
 C73-U5, 94FR-S,3,1,4,-,1,1,-,-,-,-
  , E1F-LK,-,-,1,1,-,6,2,1,-,-
  , GM-0K7,1,1,4,1,2,-,-,-,-,-
  , I-NGI8,1,-,1,1,3,4,-,-,-,-
  , Q-HJ97,-,1,2,-,-,5,1,1,-,-
  , R-ZUOL,-,1,4,-,2,1,-,-,-,-
  , RF6T-8,2,-,2,1,-,2,2,1,-,-
  , Z4-QLD,1,-,2,-,1,-,1,-,-,-
  , ZJA-6U,-,-,-,-,-,1,1,-,-,-
 EL8Z-M, 9-XN3F,-,1,4,-,1,3,1,-,-,-
  , AC-7LZ,1,1,4,-,-,4,2,-,-,-
  , E8-YS9,2,1,2,-,1,1,-,-,-,-
  , LBA-SO,1,1,3,1,-,2,2,-,-,-
  , U79-JF,1,1,3,-,3,2,-,-,-,-
  , Y-FZ5N,1,-,3,-,-,3,2,-,-,-
 IJE6-J, DR-427,1,-,3,-,2,3,-,-,-,-
  , FRTC-5,3,-,-,-,-,1,1,-,-,-
  , KCDX-7,1,2,3,-,1,2,-,-,-,-
  , M-ZJWJ,2,-,-,1,-,2,2,-,-,-
  , NI-J0B,-,-,2,-,-,1,-,-,-,-
  , O7-VJ5,1,-,-,-,1,5,1,-,-,-
  , QN-6J2,1,1,3,1,-,3,1,-,-,-
  , R-ORB7,-,2,2,-,-,1,1,-,-,-
  , RU-PT9,-,-,2,1,-,5,-,-,-,-
 K-N3MD, 4-GB14,2,-,2,-,1,3,2,1,-,-
  , B-KDOZ,1,-,4,-,-,3,2,-,-,-
  , L-5JCJ,1,2,3,1,1,1,-,-,-,-
  , LK1K-5,-,-,2,-,-,1,-,-,-,-
  , QE-E1D,3,-,1,-,-,3,-,-,-,-
  , REB-KR,-,2,2,-,-,1,-,-,-,-
  , Z-H2MA,-,-,6,-,1,3,1,-,-,-
 K-ZKBM, A4B-V5,1,1,3,-,-,-,1,-,-,-
  , B9E-H6,-,-,3,1,1,1,1,-,-,-
  , JDAS-0,2,-,2,-,-,2,1,-,-,-
  , LN-56V,1,-,4,-,-,1,1,1,-,-
  , O7-7UX,1,-,3,1,-,1,1,1,-,-
  , SPBS-6,1,-,4,-,2,5,-,1,-,-
  , Y19P-1,3,-,3,-,-,4,1,-,-,-
  , Y2-QUV,-,-,2,-,-,3,-,-,-,-
 MY-QQI, DY-P7Q,-,-,2,1,1,2,-,-,-,-
  , H-RXNZ,-,-,2,2,2,2,1,-,-,-
  , XD-JW7,2,-,4,2,1,3,-,2,-,-
  , XVV-21,1,-,3,-,-,2,4,-,-,-
  , Z8-81T,-,1,4,-,1,1,2,-,1,-
  , ZBP-TP,2,-,3,-,1,2,1,-,-,-
 Q-IPAA, AF0-V5,1,-,3,-,2,3,1,-,-,-
  , B-A587,-,-,3,-,-,3,-,-,-,-
  , B-S347,-,1,2,1,4,3,-,-,-,-
  , NS2L-4,-,-,3,-,-,2,1,-,-,-
  , PPFB-U,1,-,4,-,-,2,-,-,-,-
  , QI-S9W,2,-,2,1,-,4,-,-,-,-
 RTCU-5, 78TS-Q,2,-,-,-,2,2,1,1,-,-
  , CJNF-J,-,-,5,-,1,1,1,-,-,-
  , EA-HSA,-,-,4,-,1,2,-,-,-,-
  , FYI-49,3,-,1,-,1,2,-,-,-,-
  , GXK-7F,2,-,2,-,1,2,1,-,-,-
  , WYF8-8,1,-,2,-,-,4,-,-,-,-
 WTE-CK, 2O-EEW,-,-,3,-,2,1,-,-,-,-
  , 7YSF-E,1,-,2,-,-,3,-,-,-,-
  , J-QA7I,-,1,3,-,-,5,1,-,-,-
  , OP9L-F,2,-,3,1,1,2,-,-,-,-
  , W4E-IT,-,-,4,1,2,1,1,-,-,-
  , Y-N4EF,-,2,2,-,-,1,1,-,-,-
 Y46-EN, 4DV-1T,-,-,2,1,1,3,1,1,-,-
  , 7-ZT1Y,1,1,2,-,1,3,1,-,-,-
  , B-R5RB,1,-,4,-,1,1,1,1,-,-
  , FN-DSR,-,1,2,-,1,1,1,1,-,-
  , O3Z5-G,1,-,1,1,1,2,1,-,-,-
  , XS-K1O,1,1,3,-,1,2,1,-,-,-
 YENX-U, 08-N7Q,-,1,2,-,-,-,1,-,-,-
  , 6-I162,1,-,-,1,-,2,2,1,-,-
  , 8X6T-8,-,1,3,-,-,2,2,-,-,-
  , B2-UQW,-,1,2,2,-,3,1,-,-,-
  , CKX-RW,-,-,3,1,1,1,1,1,-,-
  , U9U-TQ,4,-,-,-,-,1,1,-,-,-
  , Y-C4AL,1,1,2,1,1,3,3,-,-,-
