Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 05M-I1, 01TG-J,-,1,4,-,-,3,1,-,-,-
  , A1BK-A,-,2,3,-,1,1,-,-,-,-
  , E7VE-V,2,-,2,-,1,4,1,1,-,-
  , L6BY-P,2,1,2,-,-,3,1,-,-,-
  , NUG-OF,-,-,3,-,-,1,-,-,-,-
  , U3SQ-X,1,-,-,-,1,2,1,-,-,-
  , UK-SHL,-,-,3,-,1,4,-,-,-,-
 1A-WYQ, DY-40Z,2,-,2,-,1,2,-,-,-,-
  , LJK-T0,1,-,3,-,1,2,-,1,-,-
  , M-9V5D,-,1,3,-,-,-,-,-,-,-
  , M-VEJZ,1,-,3,-,1,2,-,-,-,-
  , O2-39S,-,2,5,-,2,2,-,-,-,-
  , XWY-YM,1,2,2,-,-,2,-,1,-,-
 5J-SSP, 1-7KWU,-,1,5,-,-,2,-,-,-,-
  , 3-UCBF,1,-,2,-,1,5,-,-,-,-
  , 4OIV-X,-,-,5,1,1,2,-,-,-,-
  , AFJ-NB,1,-,3,2,-,2,-,-,-,-
  , N-CREL,-,1,1,-,-,-,1,-,-,-
  , TM-0P2,2,-,2,-,1,2,-,-,-,-
  , Y-JKJ8,3,-,4,-,1,4,-,-,-,-
 EK-NQ2, 4-MPSJ,-,1,3,-,-,-,2,1,-,-
  , 442-CS,1,-,2,1,2,2,-,-,-,-
  , 9ZFH-Z,1,-,2,1,1,3,-,-,-,-
  , N-7ECY,-,1,4,-,2,-,1,-,-,-
  , PZMA-E,1,-,-,1,1,3,2,-,-,-
  , TWJ-AW,3,-,2,-,3,3,1,-,-,-
  , Z-N9IP,1,1,2,-,-,3,2,-,-,-
 O6W-QE, 4RS-L1,-,-,1,2,1,-,1,-,-,-
  , 6B-GKA,1,1,3,-,-,3,1,-,-,-
  , 6E-MOW,-,-,3,1,-,3,2,1,-,-
  , GBT4-J,-,-,4,-,-,3,1,1,-,-
  , GZ1-A1,-,-,3,-,2,-,-,1,-,-
  , LHGA-W,1,-,2,-,-,4,-,-,-,-
  , X-0CKQ,-,1,5,-,1,2,1,1,-,-
 QZJ-FL, D-L4H0,1,-,3,-,1,3,-,-,-,-
  , DDI-B7,4,-,1,-,1,1,1,-,-,-
  , FG-1GH,1,1,2,-,-,2,-,-,-,-
  , FR-B1H,2,-,2,-,-,2,1,-,-,-
  , GU-9F4,-,-,2,1,-,1,2,-,-,-
  , WFYM-0,1,-,3,-,-,1,-,1,-,-
 ZYR-NF, 5GQ-S9,-,-,4,-,1,1,-,-,-,-
  , 68FT-6,-,1,3,-,-,2,1,-,-,-
  , 9-IIBL,-,1,4,-,1,1,1,-,-,-
  , 9I-SRF,-,1,3,-,1,2,-,-,-,-
  , F-3H2P,-,-,3,-,2,1,3,1,-,-
  , H-64KI,1,-,3,2,1,2,-,-,-,-
  , HOHF-B,1,1,2,-,1,2,-,-,-,-
  , IRE-98,1,-,5,1,-,2,-,-,-,-
  , IV-UNR,-,-,1,-,1,4,1,-,-,-
  , Y-6B0E,-,1,3,-,-,4,-,1,-,-
  , YALR-F,1,-,1,-,1,1,1,-,-,-
