Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
0-YMZM, 0-VG7A,2,-,1,-,-,4,-,1,-,-
  , 3AE-CP,1,-,5,1,1,2,-,-,-,-
  , 9OLQ-6,1,1,2,-,-,3,1,-,-,-
  , EUU-4N,2,2,5,-,1,2,-,-,-,-
  , MOCW-2,1,-,-,-,-,3,1,1,-,-
  , Q-3HS5,1,1,2,-,1,5,1,1,-,-
 0EA3-8, 4CJ-AC,-,-,3,-,1,4,2,-,-,-
  , 67Y-NR,1,1,2,-,-,4,2,1,-,-
  , A24L-V,-,-,4,-,-,2,1,-,-,-
  , GDHN-K,1,-,2,-,1,2,3,1,-,-
  , GK5Z-T,-,1,-,-,-,-,-,-,-,-
  , QTME-D,-,1,3,-,-,2,1,-,-,-
  , RQN-OO,1,2,1,-,1,2,3,-,-,-
 0YMH-Q, 74-VZA,-,-,3,-,1,3,1,-,-,-
  , EFM-C4,-,1,3,-,-,-,-,-,-,-
  , I-1QKL,2,-,3,-,1,2,1,-,-,-
  , L5-UWT,1,2,3,1,2,1,-,-,-,-
  , Q7-FZ8,-,1,4,1,2,1,-,-,-,-
  , YPW-M4,-,1,4,1,-,2,1,-,-,-
 8-4EFQ, 2-Q4YG,-,1,4,-,1,1,1,-,-,-
  , 2JT-3Q,-,1,1,-,1,1,-,-,-,-
  , 5-2PQU,1,-,5,-,-,3,2,-,-,-
  , 7-JT09,-,-,3,-,2,3,1,-,-,-
  , AGCP-I,1,-,3,-,1,4,1,-,-,-
  , I3CR-F,1,-,4,-,1,2,-,-,-,-
  , M4-GJ6,-,-,3,-,-,3,-,-,-,-
  , SN9-3Z,2,1,3,-,-,1,-,1,-,-
 E-95ID, F39H-1,-,-,3,1,2,2,-,-,-,-
  , S0U-MO,2,-,1,2,2,3,-,-,-,-
  , V-QXXK,1,-,4,-,1,3,-,-,-,-
  , W-6GBI,-,1,2,-,2,4,2,-,-,-
  , XKH-6O,-,-,3,-,-,4,2,-,-,-
  , XQP-9C,1,-,-,1,1,3,-,-,-,-
 FD-7Y4, 38NZ-1,-,1,4,-,2,2,-,-,-,-
  , 74L2-U,1,-,5,1,1,3,1,-,-,-
  , D-P1EH,1,-,3,1,2,2,-,-,-,-
  , HL-VZX,-,-,1,-,2,3,-,-,-,-
  , HZ-O18,1,-,-,-,1,2,1,-,-,-
  , N-O53U,3,-,3,-,-,4,-,-,-,-
  , W-MF6J,-,-,3,-,2,2,-,1,-,-
 IV-LWJ, 5M2-KP,-,-,5,-,1,2,1,-,-,-
  , EKPB-3,-,2,3,-,-,2,-,-,-,-
  , KD-KPR,1,1,3,1,-,2,-,-,-,-
  , KDG-TA,1,1,4,-,1,2,1,1,-,-
  , PT-21C,1,1,4,1,2,2,-,-,-,-
  , TK-DLH,-,1,2,-,1,3,1,-,-,-
  , Z182-R,-,-,3,-,3,-,-,-,-,-
 N-LY4R, F3-8X2,-,-,3,1,-,1,1,-,-,-
  , FN0-QS,1,1,2,1,1,1,1,-,-,-
  , LVL-GZ,-,-,3,1,1,5,-,-,-,-
  , N7-BIY,1,-,2,-,1,4,-,-,-,-
  , TTP-2B,-,-,5,1,2,5,1,1,-,-
  , X0-6LH,2,2,3,-,2,2,-,-,-,-
 N5V-Y0, F2A-GX,-,-,2,-,-,1,3,-,-,-
  , KS-1TS,1,-,2,1,1,2,2,-,-,-
  , MJ-LGH,2,1,3,-,2,-,1,-,-,-
  , RD-FWY,-,1,4,-,1,2,2,-,-,-
  , VBPT-T,2,1,4,-,1,2,-,2,-,-
  , ZO-4AR,-,-,5,-,1,1,1,-,-,-
 QA-P7J, 4M-QXK,-,2,3,-,-,2,1,1,-,-
  , 78-0R6,1,1,2,-,1,4,2,-,-,-
  , 8-WYQZ,1,3,2,-,-,2,-,-,-,-
  , 88A-RA,1,-,3,1,-,2,1,-,-,-
  , 8G-2FP,1,-,2,2,1,2,1,-,-,-
  , C-J6MT,-,1,1,1,-,3,-,-,-,-
  , MSG-BZ,-,-,3,-,-,3,-,1,-,-
 R-CL2W, 0-6VZ5,-,1,7,-,1,1,2,-,-,-
  , 5C-RPA,2,-,1,-,1,3,-,1,-,-
  , 7EX-14,2,-,3,1,2,3,-,-,-,-
  , CR2-PQ,3,-,-,-,2,2,2,-,-,-
  , GB-6X5,1,1,5,-,-,2,3,-,-,-
  , J-ZYSZ,2,-,5,1,1,2,1,-,-,-
  , N7-KGJ,1,1,2,-,-,2,2,-,-,-
  , VD-8QY,1,-,2,-,3,2,-,-,-,-
 TL-FDN, 1ZF-PJ,2,-,1,-,2,4,2,-,-,-
  , 27-HP0,-,-,1,-,1,2,3,-,-,-
  , FX4L-2,1,1,2,-,1,-,1,-,-,-
  , HFC-AQ,-,-,2,2,1,3,1,-,-,-
  , O-9G5Y,1,-,5,-,3,3,1,-,-,-
  , RZ-TI6,1,-,3,-,-,1,2,-,-,-
  , X1-IZ0,1,1,3,-,2,2,-,-,-,-
 U-EUG7, 4DS-OI,2,-,2,-,-,2,-,-,-,-
  , 7L3-JS,2,1,3,1,-,2,2,-,-,-
  , 8EF-58,-,-,2,1,1,4,1,-,-,-
  , C8H5-X,2,-,2,1,2,1,1,-,-,-
  , O-7LAI,-,-,4,-,1,3,1,-,-,-
  , TZN-2V,-,-,-,-,2,3,1,1,-,-
  , WF4C-8,-,-,3,-,-,7,-,-,-,-
 UR-HG4, 0UBC-R,-,1,3,-,-,3,-,-,-,-
  , 3U-48K,-,-,5,-,1,4,-,-,-,-
  , G-EURJ,1,-,-,-,1,1,3,2,-,-
  , RERZ-L,1,-,1,-,1,-,-,-,-,-
