Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Ahrnot, Hilmar,1,-,5,1,-,1,-,-,-,-
  , Hostakoh,-,1,3,-,-,3,1,1,-,-
  , Jeshideh,2,-,2,-,1,3,1,-,-,-
  , Kasi,-,1,3,1,-,1,-,-,-,-
  , Shura,-,-,2,-,1,2,1,-,-,-
  , Yooh,1,1,2,-,1,3,1,-,-,-
 Araz, Aphi,1,1,2,1,1,3,-,-,-,-
  , Chanoun,1,1,2,1,1,2,2,1,-,-
  , Garisas,-,-,2,-,1,2,3,-,-,-
  , Jakri,-,1,4,-,1,3,-,-,-,-
  , Koona,1,-,2,-,3,1,-,-,-,-
  , Munory,-,-,3,1,1,1,1,1,-,-
  , Nidupad,-,-,4,1,1,4,-,-,-,-
  , Zimse,-,-,2,-,-,4,1,-,-,-
 Favo, Ardhis,2,-,3,1,1,2,-,-,-,-
  , Bushemal,-,1,3,1,-,4,1,1,-,-
  , Gasavak,1,1,3,-,-,1,1,-,-,-
  , Iaokit,2,1,3,1,1,2,1,-,-,-
  , Menri,-,2,3,1,1,2,1,2,-,-
  , Rayeret,1,1,3,-,1,2,1,-,-,-
 Febihkin, Askonak,-,1,3,-,-,-,-,1,-,-
  , Dantan,1,-,3,-,1,3,-,1,-,-
  , Kador Prime,2,-,3,-,-,2,2,1,-,-
  , Khafis,-,-,5,1,2,1,1,-,-,-
  , Murini,-,1,1,-,-,2,-,1,-,-
  , Nordar,1,1,2,-,-,2,-,-,-,-
  , Uanim,3,-,1,1,1,2,-,-,-,-
 Heti, Ansasos,-,-,2,-,1,3,2,1,-,-
  , Bordan,1,-,2,-,1,2,2,-,-,-
  , Chaneya,1,-,2,2,3,3,-,-,-,-
  , Dehrokh,1,-,4,-,1,2,1,-,-,-
  , Oberen,1,-,4,-,2,2,-,-,-,-
  , Zimmem,-,1,5,1,2,2,-,-,-,-
 Kakol, Aband,-,-,2,-,-,3,1,-,-,-
  , Gamdis,2,1,3,-,-,4,1,-,-,-
  , Ghesis,-,-,2,-,-,2,1,-,-,-
  , Gonan,2,-,4,-,1,3,-,-,-,-
  , Joamma,3,-,2,1,-,2,-,-,-,-
  , Joramok,2,-,3,3,-,-,-,1,-,-
  , Neburab,-,-,3,-,1,1,1,1,-,-
 Megeh, Aharalel,-,2,2,-,-,-,-,1,-,-
  , Aphend,1,-,3,-,1,2,-,1,-,-
  , Dresi,-,1,-,-,-,1,-,-,-,-
  , Gensela,-,1,3,-,1,3,3,-,-,-
  , Hiroudeh,-,-,1,-,2,5,-,-,-,-
  , Romi,-,-,4,-,1,1,-,1,-,-
  , Zororzih,-,1,3,1,-,6,-,-,-,-
 Moghiz, Elmed,-,-,2,-,3,2,-,-,-,-
  , Jennim,-,-,3,1,-,4,2,-,-,-
  , Kooreng,-,1,3,-,-,2,2,-,-,-
  , Minin,-,1,5,-,-,-,1,1,-,-
  , Shaggoth,1,-,2,-,-,3,2,-,-,-
  , Ustnia,1,-,3,1,-,2,1,-,-,-
  , Yehnifi,3,-,2,-,1,4,1,-,-,-
 Naloran, Akhmoh,-,1,4,-,-,5,-,-,-,-
  , Hapala,-,-,4,-,-,5,1,1,-,-
  , Hikansog,1,-,4,-,1,1,1,-,-,-
  , Salah,-,1,2,1,2,4,-,-,-,-
  , Syrikos,1,-,2,2,1,-,1,2,-,-
  , Yebouz,3,-,2,-,3,2,1,-,-,-
 Parrosa, Finid,1,1,3,-,1,4,-,2,-,-
  , Kamda,1,1,3,-,1,5,2,-,-,-
  , Mandoo,-,-,2,-,-,2,1,-,-,-
  , Miah,2,-,3,-,2,3,1,-,-,-
  , Peyiri,3,-,3,-,1,3,1,1,-,-
  , Yarebap,-,1,2,-,2,3,-,-,-,-
 Pezarba, Bersyrim,2,-,-,1,-,1,2,-,-,-
  , Hiremir,-,1,4,2,-,2,-,1,-,-
  , Mod,1,-,2,1,-,3,1,-,-,-
  , Omam,1,1,4,1,1,3,-,-,-,-
  , Sechmaren,-,-,3,-,-,4,1,1,-,-
  , Zinoo,2,-,1,-,-,1,-,-,-,-
 Qermi, Asrios,3,-,-,-,1,2,2,-,-,-
  , Ithar,-,-,4,-,1,3,2,1,-,-
  , Lazara,-,-,4,-,-,2,1,1,-,-
  , Shemah,-,2,4,1,-,3,-,-,-,-
  , Telang,4,-,1,-,-,3,1,-,-,-
  , Zorrabed,1,-,2,1,2,4,-,-,-,-
 Trigentia, Akhwa,2,-,2,-,-,4,-,-,-,-
  , Halibai,-,-,1,1,-,1,1,-,-,-
  , Inis-Ilix,3,-,-,-,1,3,-,-,-,-
  , Kothe,4,1,3,-,-,4,-,-,-,-
  , Sonama,-,-,3,1,1,3,1,-,-,-
  , Suner,1,-,3,2,1,1,-,-,-,-
  , Turba,2,-,4,1,1,4,2,-,-,-
