Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Akar, Amafi,-,1,3,-,-,2,1,-,-,-
  , Arzieh,1,-,4,-,2,4,-,1,-,-
  , Ashkoo,3,-,2,1,-,1,1,-,-,-
  , Baratar,1,-,5,1,-,3,-,-,-,-
  , Hakana,1,1,4,1,1,-,1,-,-,-
  , Nahrneder,1,1,4,-,-,4,1,-,-,-
 Alpakian, Fanathor,-,1,2,1,1,2,-,-,-,-
  , Hezere,-,1,2,-,-,2,1,1,-,-
  , Nakis,2,-,2,-,-,3,2,-,-,-
  , Pout,1,1,2,1,1,2,1,-,-,-
  , Rafeme,-,-,3,-,2,2,1,1,-,-
  , Zirsem,1,-,2,-,1,4,2,1,-,-
 Amdimmah, Gidali,-,1,3,-,3,1,-,1,-,-
  , Molea,-,1,2,-,1,1,-,1,-,-
  , Moniyyuku,-,-,2,1,-,4,-,1,-,-
  , Palas,-,-,4,2,-,2,-,1,-,-
  , Reteka,-,-,3,-,1,6,2,-,-,-
  , Safshela,-,-,3,-,1,1,1,-,-,-
 Arniri, Aurejet,2,-,3,1,-,4,-,-,-,-
  , Bomana,2,-,1,2,2,3,-,-,-,-
  , Danera,1,2,3,-,-,1,1,-,-,-
  , Edani,1,-,3,-,2,1,1,2,-,-
  , Rahabeda,1,1,3,-,3,3,-,1,-,-
  , Rilera,-,-,3,-,-,3,-,-,-,-
 Budar, Cabeki,2,1,3,1,1,-,-,-,-,-
  , Goudiyah,3,-,2,-,1,3,1,-,-,-
  , Ibani,-,1,3,1,-,3,-,-,-,-
  , Irmalin,2,-,3,1,1,1,1,1,-,-
  , Sassecho,1,-,2,2,1,2,2,-,-,-
  , Timudan,-,-,4,2,1,1,-,-,-,-
 Fekhoya, Afnakat,3,-,1,-,2,6,-,-,-,-
  , Balanaz,-,1,3,-,-,2,-,-,-,-
  , Bashyam,3,1,3,-,-,4,2,-,-,-
  , Chamemi,1,-,1,-,1,2,1,1,-,-
  , Col,-,1,3,-,-,2,-,1,-,-
  , Firbha,-,-,3,-,1,3,-,2,-,-
  , Parses,-,-,4,-,-,2,-,-,-,-
  , Tegheon,1,1,3,1,-,5,-,-,-,-
 Finaka, Ervekam,1,-,3,-,2,5,1,-,-,-
  , Geztic,1,1,5,-,-,2,-,-,-,-
  , Hishai,2,1,4,-,-,3,-,-,-,-
  , Kahah,3,-,-,4,-,-,-,-,-,-
  , Mashtarmem,2,-,4,-,1,-,1,-,-,-
  , Osis,-,-,3,-,3,3,-,1,-,-
  , Saloti,-,-,3,-,-,3,1,1,-,-
  , Sehsasez,-,1,2,1,1,2,-,-,-,-
  , Yezara,2,1,3,1,-,2,1,-,-,-
 Homroon, Chitiamem,1,1,2,2,1,1,-,-,-,-
  , Dimoohan,1,-,3,-,1,2,-,-,-,-
  , Kuhri,-,-,5,-,1,1,-,-,-,-
  , Nandeza,2,-,3,-,-,5,-,-,-,-
  , Neda,2,-,5,1,-,3,-,-,-,-
  , Zahefeus,-,-,-,1,1,3,4,-,-,-
  , Zephan,3,-,1,-,-,2,3,-,-,-
 Nohshayess, Agil,-,-,3,-,1,2,1,-,-,-
  , Bukah,-,1,3,-,-,2,2,-,-,-
  , Gousoviba,1,-,3,-,-,3,-,-,-,-
  , Ipref,1,1,3,-,-,2,-,-,-,-
  , Jachanu,2,-,3,-,-,6,2,-,-,-
  , Khanid Prime,2,-,3,1,1,1,1,-,-,-
  , Kihtaled,1,-,2,-,1,3,2,-,-,-
  , Neyi,1,-,2,-,1,3,1,-,-,-
  , Sazre,2,1,3,1,1,3,-,-,-,-
 Seevadin, Claini,-,1,2,-,2,1,2,1,-,-
  , Gehi,2,-,1,1,1,3,-,1,-,-
  , Ham,3,-,-,-,4,3,-,-,-,-
  , Hemouner,-,1,3,1,-,2,1,-,-,-
  , Seshala,2,-,3,1,2,1,1,-,-,-
  , Upt,3,-,2,1,-,2,1,-,-,-
  , Vezila,-,1,2,-,2,3,1,-,-,-
 Sib, Ainsan,1,2,4,-,-,1,-,-,-,-
  , Ashi,2,1,3,-,1,1,1,-,-,-
  , Badivefi,-,1,3,1,-,2,2,-,-,-
  , Efa,1,1,3,-,-,-,1,-,-,-
  , Moro,1,-,4,-,-,2,1,-,-,-
  , Sabusi,1,-,1,2,-,1,1,1,-,-
  , Talidal,-,-,3,-,-,3,1,-,-,-
  , Tzashrah,-,-,-,-,2,3,1,-,-,-
 Youledian, Arzanni,1,-,2,1,-,3,1,-,-,-
  , Ashmarir,3,-,2,-,-,2,-,-,-,-
  , Kaira,-,1,2,-,1,6,-,-,-,-
  , Keberz,-,1,2,-,2,-,1,-,-,-
  , Lansez,1,-,3,1,1,1,-,-,-,-
  , Nourbal,-,-,5,-,-,5,-,-,-,-
