Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Comadu, Atarli,2,-,2,-,1,1,-,-,-,-
  , Keproh,1,-,3,1,-,3,-,-,-,-
  , Piri,2,-,1,-,-,3,1,-,-,-
  , Rannoze,-,1,2,-,2,2,-,-,-,-
  , Shokal,2,-,-,-,-,5,1,-,-,-
  , Zatamaka,-,-,2,-,2,3,3,1,-,-
 Finena, Kizama,1,1,3,1,-,1,-,-,-,-
  , Misha,-,-,4,-,2,-,1,1,-,-
  , Neesher,-,-,3,-,-,2,-,1,-,-
  , Ordion,-,-,4,-,1,2,1,1,-,-
  , Perbhe,1,-,5,2,1,2,1,-,-,-
  , Shaha,4,-,-,-,1,3,-,-,-,-
 Gebem, Amdonen,-,1,2,-,1,3,1,1,-,-
  , Conoban,3,-,1,-,-,3,1,-,-,-
  , Kor-Azor Prime,1,-,2,1,-,1,-,-,-,-
  , Leva,1,-,1,1,2,6,1,-,-,-
  , Masanuh,1,-,2,-,-,5,-,-,-,-
  , Mora,1,1,2,-,-,2,1,-,-,-
  , Nakregde,3,-,1,2,1,1,-,-,-,-
  , Nishah,1,-,4,-,-,2,-,-,-,-
  , Sehmy,1,-,2,-,1,3,1,-,-,-
 Jatari, Ami,2,-,3,-,1,4,1,-,-,-
  , Bridi,-,1,4,-,1,1,-,-,-,-
  , Fensi,-,1,2,-,-,4,1,-,-,-
  , Jeni,-,2,5,-,1,3,2,-,-,-
  , Khabara,1,1,2,-,1,4,-,-,-,-
  , Nebian,-,2,3,-,-,3,1,-,-,-
 Nimedaz, Andrub,-,-,-,1,2,4,1,-,-,-
  , Annad,3,-,2,-,-,2,-,1,-,-
  , Chaktaren,1,-,1,-,-,5,1,-,-,-
  , Danyana,-,1,3,-,-,3,-,-,-,-
  , Jinkah,-,1,4,1,1,2,-,-,-,-
  , Nahyeen,1,-,-,1,1,4,2,-,-,-
  , Nibainkier,1,-,3,-,1,3,-,-,-,-
  , Polfaly,1,1,3,-,1,4,-,-,-,-
 Orus, Daran,2,1,2,-,1,2,-,1,-,-
  , Gademam,1,1,3,-,1,2,-,-,-,-
  , Latari,1,-,6,2,-,1,2,-,-,-
  , Nahol,3,-,1,-,-,6,-,-,-,-
  , Pananan,1,-,3,1,-,3,1,1,-,-
  , Tadadan,1,-,-,2,2,4,-,-,-,-
  , Tralasa,-,-,2,1,1,4,-,-,-,-
 Panoumid, Choga,2,-,2,-,-,3,1,-,-,-
  , Imih,-,1,2,-,-,1,-,-,-,-
  , Kulu,1,-,1,-,2,4,1,1,-,-
  , Nare,1,-,3,-,1,2,-,-,-,-
  , Soumi,1,-,1,1,2,2,-,-,-,-
  , Zinkon,1,-,1,3,-,2,1,-,-,-
 Ravin, Abath,-,1,4,1,-,3,-,-,-,-
  , Arzi,-,1,1,1,4,3,1,-,-,-
  , Kerying,-,-,4,-,-,2,1,-,-,-
  , Mafra,1,1,5,2,1,-,2,-,-,-
  , Oguser,4,-,2,-,2,2,1,-,-,-
  , Schmaeel,2,1,2,-,1,2,2,-,-,-
  , Zorenyen,-,1,3,-,4,4,-,1,-,-
 Tendrara, Arza,-,-,-,1,-,1,1,1,-,-
  , Enal,2,-,3,-,4,-,-,1,-,-
  , Jedandan,-,-,6,-,-,2,1,-,-,-
  , Liparer,1,1,4,-,1,2,-,-,-,-
  , Miroona,-,-,4,-,1,1,1,-,-,-
  , Ranni,1,-,3,1,-,3,-,2,-,-
