Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Asalola, Haajinen,1,-,4,1,2,5,-,-,-,-
  , Ibura,1,1,3,-,-,4,1,-,-,-
  , Isinokka,-,-,4,-,-,1,3,-,-,-
  , Oipo,-,1,3,-,-,1,-,-,-,-
  , Torrinos,-,1,5,-,-,-,1,1,-,-
  , Yoma,1,-,3,-,2,4,1,-,-,-
 Haurala, Erenta,-,1,3,-,-,1,2,-,-,-
  , Ouranienen,1,-,2,1,-,2,-,-,-,-
  , Raussinen,1,1,2,1,1,3,2,-,-,-
  , Sotrentaira,-,-,2,-,1,4,-,-,-,-
  , Uemisaisen,1,1,4,-,1,2,-,-,-,-
 Kaala, Akonoinen,3,-,2,-,1,2,2,1,-,-
  , Autaris,2,-,2,-,-,5,-,-,-,-
  , Jan,1,2,3,-,-,2,-,-,-,-
  , Vaajaita,3,-,-,1,-,2,-,-,-,-
  , Vellaine,1,1,1,-,-,4,-,-,-,-
 Kainokai, Ajanen,1,-,5,-,-,5,1,-,-,-
  , Autama,1,-,3,2,1,5,-,-,-,-
  , Kirras,2,1,2,-,1,2,1,-,-,-
  , Kuoka,2,-,1,-,-,3,3,-,-,-
  , Tsukuras,1,-,4,-,-,5,3,-,-,-
 Karnola, Airkio,-,-,4,-,2,4,-,-,-,-
  , Akiainavas,3,-,-,1,-,3,1,-,-,-
  , Kakakela,-,1,2,1,1,2,1,-,-,-
  , Kamokor,2,1,3,-,-,2,-,-,-,-
  , Ruvas,1,-,1,1,1,3,-,-,-,-
  , Todaki,4,-,1,1,1,-,1,-,-,-
  , Umokka,5,-,2,-,-,4,-,-,-,-
 Koichi, Funtanainen,2,-,-,2,-,5,-,-,-,-
  , Hageken,1,-,4,1,1,1,3,-,-,-
  , Isikemi,3,-,3,-,-,-,-,1,-,-
  , Kappas,2,-,-,1,1,5,-,-,-,-
  , Sobaseki,1,1,2,-,-,6,3,-,-,-
  , Uosusuokko,-,1,3,-,1,3,-,-,-,-
  , Veisto,-,-,3,1,-,4,-,-,-,-
 Makiriemi, Isanamo,3,-,2,-,2,7,-,-,-,-
  , Isikano,-,-,4,-,-,4,-,2,-,-
  , Mara,1,-,1,2,-,4,-,-,-,-
  , Pakkonen,1,2,2,-,1,1,1,-,-,-
  , Piekura,-,1,2,1,2,5,-,-,-,-
  , Saatuban,2,-,-,1,1,3,2,-,-,-
 Malariya, Aivoli,-,1,4,-,1,4,1,-,-,-
  , Elanoda,-,-,3,1,2,2,-,1,-,-
  , Endatoh,3,-,-,1,-,2,1,-,-,-
  , Isie,-,1,3,-,-,4,-,-,-,-
  , Ohbochi,-,-,1,1,2,3,3,-,-,-
  , Oishami,-,1,4,-,-,2,-,2,-,-
  , Uesuro,-,1,2,-,1,1,1,-,-,-
 Minnen, Aunenen,1,1,2,-,1,2,-,-,-,-
  , Elonaya,1,-,2,1,3,3,1,1,-,-
  , Litiura,-,1,3,-,2,3,-,-,-,-
  , Nonni,1,-,-,1,1,2,1,-,-,-
  , Passari,-,1,1,1,1,3,-,1,-,-
  , Piak,1,1,1,-,-,-,1,-,-,-
 Mito, Hakonen,1,1,3,-,1,2,1,1,-,-
  , Oimmo,-,-,6,-,-,3,-,-,-,-
  , Otsasai,-,1,3,-,-,4,-,-,-,-
  , Taisy,2,-,1,-,-,3,2,-,-,-
  , Vuorrassi,-,1,2,-,-,3,1,-,-,-
 Okela, Ekura,1,-,3,-,1,3,-,-,-,-
  , Hitanishio,5,-,1,-,-,2,-,-,-,-
  , Ichinumi,4,-,-,-,-,4,-,-,-,-
  , Iidoken,2,1,4,-,1,1,1,-,-,-
  , Jouvulen,3,-,-,-,-,6,-,-,-,-
  , Nourvukaiken,1,-,4,-,-,2,-,-,-,-
  , Sarekuwa,-,1,2,-,-,-,2,-,-,-
  , Tsuguwa,1,-,3,-,1,1,-,-,-,-
  , Tunttaras,2,-,3,-,-,6,-,-,-,-
 Okunda, Antiainen,-,-,-,1,-,2,4,-,-,-
  , Aurohunen,-,1,3,2,1,1,-,-,-,-
  , Dantumi,1,-,3,-,-,2,-,-,-,-
  , Kiskoken,1,-,4,1,-,1,-,1,-,-
  , Ossa,-,1,3,-,-,4,1,-,-,-
  , Semiki,-,-,4,-,1,1,4,-,-,-
 Pietanen, Aikantoh,1,-,-,1,1,6,-,-,-,-
  , Atai,-,1,-,-,-,-,1,-,-,-
  , Daras,1,-,-,-,1,3,2,1,-,-
  , Iitanmadan,2,2,1,-,-,2,1,-,-,-
  , Jotenen,2,-,-,-,3,-,-,-,-,-
  , Liukikka,1,1,3,-,-,1,1,-,-,-
  , Otalieto,1,-,3,-,2,3,1,-,-,-
  , Rauntaka,-,1,4,-,1,3,1,-,-,-
 Sela, Aakari,-,-,4,1,2,3,2,-,-,-
  , Amsen,1,-,-,1,1,4,1,1,-,-
  , Isseras,-,-,3,-,-,4,-,-,-,-
  , Korama,-,-,5,-,-,2,-,-,-,-
  , Malkalen,2,-,-,1,-,2,-,-,-,-
  , Ylandoki,-,1,4,1,1,2,-,-,-,-
 Umamon, Anin,2,-,2,-,-,5,1,-,-,-
  , Karjataimon,-,-,1,-,1,3,2,1,-,-
  , Nannaras,1,-,-,-,3,5,1,-,-,-
  , Saranen,-,1,3,-,-,2,-,-,-,-
  , Tamo,-,-,3,-,1,4,1,-,-,-
  , Tartoken,-,-,5,1,-,1,-,1,-,-
