Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
1M4-FN, 0-TRV1,2,-,4,1,1,1,-,-,-,-
  , 13-49W,1,-,2,1,1,3,1,-,-,-
  , 6UT-1K,-,-,4,-,2,3,-,-,-,-
  , F-TQWO,2,-,-,-,3,1,1,-,-,-
  , NBO-O0,1,1,2,-,2,2,-,1,-,-
  , O8W-5O,-,1,3,-,1,1,-,-,-,-
 2747-4, 0-N1BJ,-,1,3,-,-,2,2,-,-,-
  , 4QY-NT,1,-,3,-,-,3,-,-,-,-
  , FO9-FZ,-,-,2,2,-,4,1,-,-,-
  , POQP-K,-,-,5,-,2,2,-,-,-,-
  , T-8GWA,-,1,2,-,3,2,1,-,-,-
  , UW-6MW,-,-,-,-,-,4,-,-,-,-
 3TS-12, 1NZV-7,1,-,2,-,1,5,1,-,-,-
  , 7-2Z93,1,-,2,1,-,2,1,-,-,-
  , 9F-ERQ,1,-,2,-,-,2,1,-,-,-
  , A0M-R8,-,-,2,1,-,-,2,-,-,-
  , B-VFDD,-,1,4,-,1,1,1,-,-,-
  , LY-WRW,-,1,4,-,1,1,3,-,-,-
  , NIM-FY,1,-,2,-,2,3,3,-,-,-
  , QCGG-Q,2,1,2,-,1,1,-,-,-,-
 4R-HUN, 8AB-Q4,2,1,2,-,-,2,-,-,-,-
  , IBOX-2,-,-,6,-,-,3,-,-,-,-
  , IF-KD1,1,-,-,-,1,1,4,-,-,-
  , JA-G0T,-,1,3,-,-,3,-,-,-,-
  , TD-4XL,2,-,1,1,-,2,2,-,-,-
  , VW-PXL,1,-,4,-,1,3,2,-,-,-
 7UNX-J, 5-A0PX,-,1,3,-,-,1,-,-,-,-
  , CLW-SI,1,-,1,-,1,1,1,-,-,-
  , O7-RFZ,1,-,2,-,-,6,2,-,-,-
  , R-RMDH,1,-,2,-,1,2,-,1,-,-
  , SH-YZY,1,-,1,1,3,3,-,-,-,-
  , Z-EKCY,3,-,-,2,-,1,-,-,-,-
 D-YKXH, 2XI8-Y,1,-,2,-,1,5,-,-,-,-
  , 5B-YDD,3,-,1,2,1,4,-,-,-,-
  , PWPY-4,-,1,2,1,-,1,1,-,-,-
  , QZ1-OH,1,1,5,-,-,4,1,-,-,-
  , W-XY4J,1,1,5,-,1,2,-,-,-,-
  , Y-XZA7,2,-,1,-,2,4,1,-,-,-
 E6EO-H, C-KW6X,2,-,2,-,1,4,2,-,-,-
  , DAI-SH,-,1,5,-,-,1,1,1,-,-
  , F-WZYG,-,-,3,1,1,4,1,-,-,-
  , RIU-GC,-,-,1,-,-,4,2,-,-,-
  , S-R9J2,1,1,3,1,1,2,-,-,-,-
  , V3P-AZ,2,-,2,1,1,1,-,-,-,-
  , X1W-AL,1,1,2,-,2,4,1,2,-,-
  , XU-BF8,3,-,1,-,1,6,-,-,-,-
 G-HISF, 1-EVAX,1,1,3,-,2,1,-,-,-,-
  , 2Z-HPQ,-,-,4,-,1,2,-,-,-,-
  , 6-WMKE,6,-,-,-,-,2,-,-,-,-
  , APES-G,1,1,1,1,1,4,1,-,-,-
  , B2J-5N,2,-,3,-,3,2,1,-,-,-
  , I8-AJY,-,-,4,1,-,2,2,-,-,-
  , J-Z8C2,5,-,-,-,1,1,-,1,-,-
  , XTVZ-E,1,-,3,-,1,3,-,-,-,-
 GDBW-2, 06-70G,-,-,5,2,-,3,2,-,-,-
  , C-NMG9,-,1,3,-,-,1,-,-,-,-
  , GL6S-2,1,1,2,-,1,1,-,-,-,-
  , LO5-LN,-,4,2,-,-,3,-,-,-,-
  , NBW-GD,1,1,2,-,1,1,-,-,-,-
  , P3X-TN,2,-,3,1,1,2,-,-,-,-
  , RUF3-O,1,-,3,2,1,3,1,-,-,-
  , UYG-YX,1,-,5,-,2,5,1,-,-,-
  , YM-SRU,-,-,1,1,1,3,2,-,-,-
 MW49-U, 2FL-5W,1,-,4,-,2,4,-,-,-,-
  , 6A-FUY,3,1,3,-,2,2,-,-,-,-
  , 863P-X,-,1,3,1,-,2,1,-,-,-
  , HG-YEQ,-,1,4,-,-,2,-,-,-,-
  , QSCO-D,-,1,2,2,1,2,-,-,-,-
  , RSE-PT,-,1,2,1,-,4,2,-,-,-
  , RXTY-4,3,-,3,-,1,2,-,-,-,-
  , ZO-YJZ,2,-,4,-,2,2,-,-,-,-
 PFL-QY, 63-7Q6,-,-,3,1,1,3,2,-,-,-
  , NRD-5Q,-,-,1,2,1,-,4,-,-,-
  , T-4H0B,1,-,2,1,-,1,1,-,-,-
  , W5-205,1,-,3,-,3,-,-,-,-,-
  , XCZ5-Y,1,1,3,-,1,3,2,-,-,-
  , Z0H2-4,5,-,2,1,1,2,-,1,-,-
 PX0-P4, 7T-0QS,-,1,2,-,1,1,-,-,-,-
  , 8C-VE3,-,-,3,-,-,4,2,-,-,-
  , IL-OL1,1,-,3,-,-,3,2,1,-,-
  , RWML-A,2,-,-,-,1,3,-,-,-,-
  , S5W-1Z,-,-,3,-,2,3,2,1,-,-
  , V-JCJS,-,1,3,-,1,2,-,-,-,-
  , WVJU-4,4,-,1,1,1,1,1,-,-,-
 UL8-RD, 8-2JZA,-,-,5,1,1,5,1,-,-,-
  , AZA-QE,1,1,3,-,-,3,-,-,-,-
  , LH-PLU,-,-,4,1,-,1,-,1,-,-
  , VVB-QH,1,1,3,-,-,2,-,-,-,-
  , Z-DDVJ,-,1,1,1,2,3,-,-,-,-
  , ZT-L3S,3,-,1,-,-,5,-,1,-,-
 WS5L-X, 9NI-FW,3,-,1,-,-,3,1,-,-,-
  , DOA-YU,-,-,5,-,-,3,-,-,-,-
  , H-EBQG,-,-,2,1,1,4,-,-,-,-
  , N6NK-J,-,1,3,1,-,2,1,2,-,-
  , TP-APY,3,-,1,-,2,-,-,-,-,-
  , ZOPZ-6,2,-,2,-,1,3,1,-,-,-
 XI0-X2, 7-YHRX,-,-,2,-,-,7,1,-,-,-
  , N-H95C,2,-,1,-,2,4,1,-,-,-
  , N-YLOE,1,-,2,1,1,2,1,-,-,-
  , NSI-MW,1,2,2,-,-,3,1,-,-,-
  , X-PQEX,-,-,2,-,1,2,1,1,-,-
  , Y6-9LF,-,2,4,-,-,2,-,-,-,-
