Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Aldodan, Arnher,-,2,4,-,-,3,1,-,-,-
  , Arnstur,2,-,2,2,-,3,-,-,-,-
  , Brin,1,1,3,-,-,3,-,-,-,-
  , Evati,1,1,4,-,-,2,1,1,-,-
  , Helgatild,-,-,2,-,2,6,2,-,-,-
  , Lasleinur,1,1,3,-,-,-,1,1,-,-
  , Ofstold,2,1,2,-,-,2,-,-,-,-
  , Todifrauan,-,1,3,-,1,2,-,1,-,-
 Angils, Egmar,1,-,2,-,4,5,-,1,-,-
  , Gukarla,-,-,4,-,2,2,-,1,-,-
  , Klogori,3,-,-,-,1,1,1,-,-,-
  , Orfrold,3,-,3,-,-,1,-,1,-,-
  , Taff,-,1,2,1,2,2,-,-,-,-
  , Ualkin,2,-,1,-,1,4,1,-,-,-
 Ani, Barkrik,-,2,1,-,1,1,1,-,-,-
  , Hjoramold,2,-,2,-,4,5,-,-,-,-
  , Inder,1,-,2,-,-,3,2,-,-,-
  , Lanngisi,1,-,2,-,-,3,-,-,-,-
  , Nakugard,1,1,2,-,1,2,1,-,-,-
  , Traun,-,1,1,1,-,3,3,1,-,-
  , Tvink,2,-,1,1,-,5,-,-,-,-
  , Uriok,3,-,1,-,-,5,-,-,-,-
 Ankard, Altrinur,1,-,5,-,1,7,-,-,-,-
  , Eygfe,1,1,3,-,1,2,1,-,-,-
  , Fildar,-,-,2,3,-,2,-,-,-,-
  , Jondik,1,1,3,-,-,2,-,-,-,-
  , Olbra,2,1,2,-,1,-,-,1,-,-
  , Reset,-,-,5,-,2,-,-,-,-,-
  , Vilur,-,-,1,-,1,6,-,-,-,-
 Aptetter, Aldrat,1,-,3,1,1,3,-,-,-,-
  , Erstur,3,-,-,-,-,1,1,-,-,-
  , Fredagod,1,1,3,-,-,3,1,-,-,-
  , Hardbako,2,-,1,1,-,6,1,-,-,-
  , Libold,-,1,4,-,-,5,1,1,-,-
  , Urnhard,1,-,3,1,1,-,1,-,-,-
 Argeir, Atonder,1,-,3,1,1,2,-,-,-,-
  , Engosi,1,1,3,-,-,1,-,-,-,-
  , Hotrardik,2,1,2,-,1,1,-,-,-,-
  , Klaevik,-,1,5,-,1,2,2,-,-,-
  , Orduin,2,-,4,1,-,2,-,-,-,-
  , Ridoner,-,1,1,-,-,4,-,1,-,-
 Barvigrard, Anher,1,1,3,-,-,2,-,-,-,-
  , Bei,-,1,5,-,1,4,-,-,-,-
  , Hagilur,-,-,2,-,-,2,2,-,-,-
  , Hek,1,1,2,-,2,3,-,-,-,-
  , Ragnarg,2,-,2,-,-,2,-,-,-,-
  , Uttindar,-,-,2,-,1,2,1,1,-,-
 Brazinget, Gedugaud,-,1,2,-,2,1,1,1,-,-
  , Geffur,-,1,2,-,-,4,2,1,-,-
  , Hilfhurmur,2,-,1,-,2,3,2,-,-,-
  , Lumegen,2,-,-,1,-,4,-,-,-,-
  , Oppold,-,-,4,-,-,2,3,-,-,-
  , Tratokard,1,-,2,-,-,1,1,-,-,-
 Ergruk, Anstard,1,-,3,-,-,1,1,-,-,-
  , Enden,1,1,3,2,1,1,1,-,-,-
  , Erstet,-,-,4,1,3,5,1,-,-,-
  , Nein,2,-,1,1,1,2,1,-,-,-
  , Osvestmunnur,1,1,5,1,-,2,1,1,-,-
  , Wirdalen,-,-,1,-,1,5,1,-,-,-
 Essin, Ebolfer,-,1,2,-,-,3,-,-,-,-
  , Eszur,1,-,-,1,-,2,-,-,-,-
  , Frerstorn,-,-,3,-,-,2,2,-,-,-
  , Gebuladi,1,1,4,-,1,2,1,1,-,-
  , Hofjaldgund,-,-,3,-,1,1,-,-,-,-
  , Ontorn,1,1,3,-,1,1,1,1,-,-
  , Sirekur,-,-,4,-,1,4,-,-,-,-
 Eugidi, Aset,2,-,-,-,-,4,2,-,-,-
  , Avenod,1,-,3,-,1,2,1,1,-,-
  , Eytjangard,1,-,2,-,-,5,-,-,-,-
  , Floseswin,1,1,5,1,1,1,1,-,-,-
  , Isbrabata,1,1,3,-,1,2,1,1,-,-
  , Turnur,-,-,2,-,-,2,-,-,-,1
  , Uisper,-,1,4,-,2,1,1,-,-,-
  , Vimeini,-,1,3,-,2,3,-,-,-,-
 Frar, Aderkan,-,-,4,-,1,3,-,-,-,-
  , Ansher,-,2,3,-,-,-,2,-,-,-
  , Earled,3,-,2,-,2,2,1,-,-,-
  , Hebisa,1,-,2,-,-,4,-,-,-,-
  , Ogoten,2,-,1,1,-,8,-,-,-,-
  , Polstodur,1,1,3,2,2,1,1,-,-,-
  , Tollus,-,-,4,2,2,5,-,-,-,-
 Fribrodi, Ansen,-,-,1,-,1,-,-,1,-,-
  , Arifsdald,-,2,3,-,-,1,1,-,-,-
  , Arwa,-,-,4,-,1,5,1,-,-,-
  , Dudreda,1,-,3,-,1,2,-,-,-,-
  , Hakisalki,1,-,4,1,1,3,-,-,-,-
 Gedur, Abrat,1,-,2,-,-,3,1,-,-,-
  , Aldilur,3,2,3,-,-,-,1,-,-,-
  , Alf,2,-,-,1,1,3,-,-,-,-
  , Arlulf,-,-,1,-,-,3,1,1,-,-
  , Brundakur,-,2,3,-,-,2,-,-,-,-
  , Illuin,1,1,3,-,1,-,-,-,-,-
  , Nedegulf,1,-,2,-,3,2,1,-,-,-
  , Orgron,4,-,-,-,1,2,-,1,-,-
  , Stirht,-,-,3,1,-,2,2,-,-,-
 Hulf, Erindur,1,1,4,-,2,1,-,-,-,-
  , Frulegur,1,1,4,-,1,4,-,-,-,-
  , Hodrold,1,1,2,-,3,3,-,-,-,-
  , Hroduko,-,1,5,-,1,1,-,-,-,-
  , Konora,3,-,4,-,2,1,-,-,-,-
  , Odebeinn,1,-,2,1,-,3,-,-,-,-
 Inkelm, Earwik,-,-,2,1,-,2,1,-,-,-
  , Finanar,-,-,2,1,2,3,1,1,-,-
  , Iluin,-,-,6,-,-,1,-,-,-,-
  , Mateber,-,1,2,1,2,2,1,-,-,-
  , Moselgi,2,-,-,1,2,5,1,-,-,-
  , Ofage,-,-,3,-,-,4,2,-,-,-
 Jonar, Anbald,-,-,3,-,1,4,1,1,-,-
  , Bongveber,-,-,7,-,1,4,1,-,-,-
  , Eiluvodi,-,-,5,-,1,1,-,1,-,-
  , Freatlidur,1,1,3,-,-,3,1,-,-,-
  , Maturat,2,-,4,-,1,1,1,-,-,-
  , Roleinn,1,-,2,-,-,5,1,1,-,-
  , Vorsk,1,-,5,1,1,-,-,2,-,-
 Lorundio, Asgeir,2,-,3,-,2,1,-,1,-,-
  , Eust,1,-,2,-,1,3,-,-,-,-
  , Evuldgenzo,1,-,2,1,-,3,-,-,-,-
  , Flost,2,-,1,1,2,2,-,1,-,-
  , Ongund,-,1,3,-,-,4,-,-,-,-
  , Todrir,-,2,1,-,-,2,-,-,-,-
 Meinigefur, Aldagolf,1,-,1,-,-,3,1,-,-,-
  , Arlek,1,1,4,-,1,-,-,-,-,-
  , Elgoi,-,1,3,-,1,3,1,-,-,-
  , Embod,-,-,-,1,-,6,-,-,-,-
  , Eram,1,-,4,-,-,3,1,-,-,-
  , Leurtmar,1,-,-,-,1,7,-,-,-,-
  , Ryddinjorn,-,-,3,1,-,3,-,-,-,-
  , Yrmori,1,-,3,-,1,-,1,-,-,-
 Panorad, Dantbeinn,1,-,4,-,-,2,1,-,-,-
  , Hakeri,4,1,3,-,-,4,-,-,-,-
  , Irgrus,-,1,3,1,-,2,-,-,-,-
  , Josekorn,2,-,-,1,1,5,2,-,-,-
  , Nifflung,-,1,3,1,2,2,-,-,-,-
  , Oraekja,-,-,1,1,1,5,-,-,-,-
 Rollera, Aldik,2,-,1,-,2,2,1,-,-,-
  , Diromitur,2,-,3,-,2,4,-,-,-,-
  , Eldjaerin,-,-,2,-,-,4,-,1,-,-
  , Erlendur,1,-,2,1,2,2,1,1,-,-
  , Eurgrana,-,-,3,-,3,4,-,-,-,-
  , Lirerim,1,1,2,-,2,4,-,-,-,-
  , Offikatlin,3,-,1,-,1,3,1,-,-,-
  , Tabbetzur,3,-,1,2,-,3,1,-,-,-
 Stadakorn, Agtver,2,-,2,-,1,4,-,1,-,-
  , Datulen,-,-,3,-,-,2,1,1,-,-
  , Egbonbet,1,1,4,-,-,2,-,-,-,-
  , Erego,1,-,-,-,-,6,-,-,-,-
  , Evettullur,-,-,1,1,2,1,1,-,-,-
  , Hjortur,-,1,3,1,-,2,-,-,-,-
  , Meimungen,1,-,2,1,1,4,1,-,-,-
  , Situner,-,1,2,1,-,2,1,-,-,-
  , Tamekamur,-,1,3,-,1,1,-,-,-,-
  , Totkubad,2,-,2,1,-,1,-,-,-,-
 Tiat, Amo,1,2,2,-,-,2,1,-,-,-
  , Ardar,3,-,1,-,1,1,-,-,-,-
  , Auner,1,1,3,-,-,3,-,1,-,-
  , Hadozeko,1,1,3,2,-,4,-,-,-,-
  , Hror,1,-,1,3,1,7,-,-,-,-
  , Resbroko,-,2,1,-,-,1,-,-,-,-
