Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Almur, Altbrard,1,1,3,1,-,6,-,-,-,-
  , Gonheim,-,-,3,1,1,2,-,-,-,-
  , Half,-,-,3,-,1,5,1,-,-,-
  , Hedaleolfarber,1,1,4,-,1,3,-,-,-,-
  , Istodard,-,-,3,1,-,4,1,-,-,-
  , Sakulda,3,-,2,-,1,3,-,-,-,-
 Besateoden, Eldulf,1,-,3,-,1,1,-,-,-,-
  , Horaka,-,1,3,-,-,3,2,-,-,-
  , Illamur,-,1,4,2,1,2,-,-,-,-
  , Meildolf,1,-,6,1,1,3,-,1,-,-
  , Orien,2,-,-,-,-,2,1,-,-,-
  , Varigne,-,-,3,-,2,4,1,-,-,-
 Elfrard, Aeditide,2,-,-,-,1,3,-,-,-,-
  , Egbinger,1,-,4,-,4,1,3,-,-,-
  , Hegfunden,-,-,3,1,1,4,-,-,-,-
  , Kadlina,1,-,4,1,2,1,-,-,-,-
  , Kattegaud,-,1,4,-,1,3,-,-,-,-
  , Klingt,3,-,1,1,1,4,-,-,-,-
  , Weld,-,1,3,-,1,1,-,-,-,-
 Eoldulf, Ennur,1,-,4,1,1,3,-,-,-,-
  , Fegomenko,2,-,4,-,1,4,-,-,-,-
  , Mimiror,1,-,-,-,1,4,3,-,-,-
  , Osvetur,1,-,4,-,-,2,1,-,-,-
  , Unertek,-,-,3,1,1,3,1,1,-,-
 Fittakan, Aeddin,2,-,1,1,-,3,2,-,-,-
  , Atlar,-,-,3,-,1,2,1,1,-,-
  , Bosena,1,-,3,1,-,4,-,-,-,-
  , Gelfiven,2,-,3,1,1,5,-,-,-,-
  , Gulfonodi,-,-,2,1,1,5,2,-,-,-
  , Oddelulf,1,2,2,-,1,3,-,-,-,-
  , Teonusude,-,2,2,-,-,3,1,-,-,-
 Tartatven, Aedald,1,1,3,-,-,2,1,-,-,-
  , Audesder,2,-,2,-,2,3,-,-,-,-
  , Heild,-,1,3,-,2,3,1,-,-,-
  , Hrober,2,-,1,2,1,4,-,-,-,-
  , Hrokkur,-,2,1,-,1,2,1,-,-,-
  , Muttokon,1,-,-,-,1,1,1,-,-,-
