Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
04-LOF, 1P-QWR,1,1,3,1,1,3,-,-,-,-
  , 3-JG3X,2,-,3,-,1,3,1,1,-,-
  , BQ0-UU,-,1,3,-,1,2,2,-,-,-
  , FJ-GUR,3,-,-,1,-,2,2,-,-,-
  , GK3-RX,-,1,2,1,1,2,1,-,-,-
  , RF-X7V,-,1,3,1,2,-,1,-,-,-
 0PS-L5, 0-QP56,1,-,3,-,1,3,-,-,-,-
  , GGMF-J,1,1,3,-,1,1,1,-,-,-
  , GTQ-C9,1,-,3,-,1,5,1,1,-,-
  , IG-4OF,-,1,3,-,-,2,-,-,-,-
  , M-NWLB,1,-,3,-,1,3,1,1,-,-
  , MTGF-2,2,-,3,-,1,-,1,1,-,-
  , ORB4-J,-,1,4,-,1,1,-,-,-,-
 3RU-10, 7-UVMT,1,-,-,-,1,2,1,-,-,-
  , HF-K3O,-,1,3,-,-,4,1,-,-,-
  , IO-R2S,1,-,3,-,2,3,2,-,-,-
  , Q-ITV5,-,-,3,-,-,4,1,-,-,-
  , QE2-FS,-,-,3,-,1,1,-,-,-,-
  , R-ZESX,-,1,4,-,1,2,-,-,-,-
  , WVMS-X,3,-,-,-,1,2,1,-,-,-
 4ZXC-8, 5-IH57,-,-,2,1,-,4,1,1,-,-
  , H-MHWF,-,-,3,1,4,2,-,1,-,-
  , JXQJ-B,3,-,-,1,1,3,-,-,-,-
  , PND-SI,1,-,3,-,1,-,2,-,-,-
  , QYT-X8,-,-,5,1,2,1,-,-,-,-
  , XKM-DE,1,-,3,1,1,4,1,-,-,-
  , Y-BIPM,1,-,2,-,1,4,-,-,-,-
 CZ-06R, J-D5U7,1,-,2,-,-,6,-,1,-,-
  , LQQH-J,-,1,2,-,5,1,1,1,-,-
  , R8WV-7,1,-,1,-,5,4,-,1,-,-
  , W5-VBR,1,-,3,2,1,2,1,-,-,-
  , X-Z4JW,-,-,3,-,2,2,-,2,-,-
  , Y-770C,-,1,4,-,-,1,-,-,-,-
 D4J-PP, E6Q-LE,-,-,2,1,2,4,1,-,-,-
  , HO4E-Q,1,-,3,-,2,1,-,-,-,-
  , P-ZWKH,3,-,2,-,1,1,-,-,-,-
  , QY2Y-N,1,-,1,-,1,1,-,-,-,-
  , RO-AIQ,1,-,2,-,2,1,1,-,-,-
  , VZEG-B,1,1,2,1,1,1,2,-,-,-
  , X-9ZZR,-,-,3,1,1,2,1,-,-,-
 D61-WV, 0PU2-R,-,-,5,1,2,2,-,-,-,-
  , 91-KD8,-,-,2,-,1,2,1,1,-,-
  , 9G5J-1,1,1,3,-,1,2,1,-,-,-
  , B-ETDW,-,-,2,-,2,2,1,-,-,-
  , OZ-DS5,3,-,1,-,-,4,-,-,-,-
  , XM-RMD,1,-,1,1,-,3,1,-,-,-
 DOCS-O, 5JEZ-I,1,2,2,-,-,1,3,-,-,-
  , SON-TW,1,1,2,-,-,2,1,-,-,-
  , U9SE-N,-,1,3,1,1,1,-,-,-,-
  , V-X0KM,-,1,1,1,1,1,2,-,-,-
  , XEF6-Z,-,-,5,1,1,5,-,-,-,-
  , XXZ-3W,1,-,4,-,3,2,-,-,-,-
 F-W6B4, 1-HDQ4,-,-,2,1,3,5,-,-,-,-
  , 1EO-OE,1,-,1,1,1,1,-,-,-,-
  , 5-9L3H,-,1,4,-,1,3,-,-,-,-
  , 6U-MFQ,-,1,2,-,4,1,-,-,-,-
  , FZCR-3,-,-,2,-,1,4,1,-,-,-
  , YQTK-R,1,-,3,-,4,5,-,-,-,-
 O9X-CV, 21M1-B,-,1,4,-,-,3,2,1,-,-
  , IAMJ-Q,-,1,3,1,1,1,2,-,-,-
  , KED-2O,1,1,2,1,2,2,2,-,-,-
  , QZ-DIZ,-,1,4,-,-,1,-,-,-,-
  , U-RELP,-,1,2,-,-,2,2,-,-,-
  , UGR-J2,1,-,3,-,1,3,1,-,-,-
  , Y-0HVF,-,-,4,-,2,1,1,-,-,-
 S-Q02B, 1-BK1Q,2,-,2,-,-,4,1,-,-,-
  , LA2-KV,-,-,3,-,3,2,1,-,-,-
  , RJBC-I,-,-,4,-,-,3,-,-,-,-
  , S7WI-F,-,1,3,-,-,2,-,-,-,-
  , WW-OVQ,1,1,3,-,2,1,1,1,-,-
  , X-CYNC,1,1,4,-,-,2,1,-,-,-
 T-4ACL, 3VL6-I,1,-,6,-,-,3,1,1,-,-
  , DS3-6A,1,-,2,-,2,2,1,-,-,-
  , DYS-CG,-,1,4,2,2,3,-,-,-,-
  , F-816R,1,1,2,-,1,1,2,-,-,-
  , T-HMWP,1,-,3,-,1,3,-,-,-,-
  , V0-H4L,-,-,3,1,-,6,1,-,-,-
 WE-WLQ, 2-WNTD,1,1,3,-,2,4,-,-,-,-
  , 83-YGI,2,-,2,-,3,-,1,-,-,-
  , DGDT-3,1,-,4,-,-,2,-,-,-,-
  , G-W1ND,-,1,4,-,1,2,-,-,-,-
  , KH-EWC,2,-,2,-,-,3,-,-,-,-
  , MZLW-9,-,2,3,-,-,1,-,-,-,-
  , ND-X7X,-,-,2,-,-,3,-,-,-,-
  , QB-AE6,-,-,3,-,-,2,2,-,-,-
