Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
5Z0Y-S, 3FKU-H,2,1,4,-,1,2,1,1,-,-
  , D2EZ-X,1,-,4,-,-,2,-,1,-,-
  , DJK-67,-,2,3,-,1,-,-,-,-,-
  , M9-FIB,-,1,3,-,-,1,-,-,-,-
  , MJ-X5V,-,2,2,-,-,1,2,1,-,-
  , Y-MSJN,1,-,3,-,1,2,-,-,-,-
 8MJO-4, 6T3I-L,-,-,3,-,1,3,-,1,-,-
  , AXDX-F,1,-,5,-,2,5,-,-,-,-
  , J-4FNO,1,-,2,1,2,2,-,1,-,-
  , L-AS00,1,-,3,-,1,3,-,1,-,-
  , PEM-LC,1,-,3,3,-,4,1,1,-,-
  , QSF-EJ,-,-,2,1,-,3,-,-,-,-
  , X-EHHD,3,-,2,1,2,4,1,-,-,-
 O5QG-M, 9MWZ-B,2,-,1,-,2,1,3,-,-,-
  , C-WPWH,-,2,4,-,1,2,1,-,-,-
  , CO-7BI,1,-,5,1,1,3,-,-,-,-
  , LS-QLX,-,-,3,1,1,4,1,-,-,-
  , S-XZHU,2,2,3,-,1,1,-,1,-,-
  , ZJG-7D,1,1,2,-,-,-,-,-,-,-
 RL36-K, 1I6F-9,-,2,2,-,1,2,1,-,-,-
  , 66-PMM,1,1,4,-,-,2,-,-,-,-
  , 7-8EOE,1,-,2,-,2,6,-,-,-,-
  , 7L9-ZC,2,1,2,2,1,3,-,-,-,-
  , OKEO-X,2,-,-,1,-,7,-,-,-,-
  , UEP0-A,-,-,3,-,1,3,3,-,-,-
  , Z-7OK1,-,-,2,-,-,1,1,-,-,-
 U7-GIV, 0DD-MH,1,1,4,2,2,4,-,-,-,-
  , 99-0GS,1,-,1,-,1,6,1,-,-,-
  , H90-C9,2,-,-,1,2,4,-,-,-,-
  , K-1OY3,1,-,1,-,2,1,2,-,-,-
  , MMUF-8,1,-,2,-,2,3,-,-,-,-
  , NQH-MR,1,-,3,-,-,4,-,-,-,-
  , NZPK-G,1,1,3,2,-,3,-,-,-,-
  , RI-JB1,-,-,3,-,-,3,2,-,-,-
  , X-3AUU,1,2,3,-,-,-,-,-,-,-
 Y-LRWI, 73-JQO,2,-,2,-,1,2,1,1,-,-
  , G-B3PR,-,-,3,-,1,2,3,-,-,-
  , KR8-27,-,1,4,-,-,3,-,1,-,-
  , LOI-L1,2,-,1,-,1,3,2,-,-,-
  , LQ-AHE,-,-,2,1,3,3,2,1,-,-
  , R2TJ-1,-,-,2,-,-,3,-,-,-,-
  , VULA-I,-,-,3,-,1,4,-,-,-,-
  , XPUM-L,-,-,4,1,-,4,-,-,-,-
