Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
2FYX-H, 8RL-OG,1,-,3,-,1,4,-,-,-,-
  , L1YK-V,1,-,2,-,-,2,2,-,-,-
  , R3P0-Z,1,-,-,1,-,3,3,-,-,-
  , SN-Q1T,-,-,4,-,-,1,1,1,-,-
  , ZJ-5IS,-,-,3,1,1,1,-,1,-,-
  , ZZK-VF,1,-,3,-,-,5,-,-,-,-
 6GU-AT, 2WU-XT,1,1,3,-,1,1,1,-,-,-
  , 9S-GPT,1,1,3,-,2,3,-,-,-,-
  , F-WCLC,1,-,4,2,-,1,-,-,-,-
  , G-HE0N,2,-,1,-,-,5,1,-,-,-
  , J7X-VN,-,-,3,1,1,3,-,-,-,-
  , LTT-AP,1,-,2,-,1,3,1,-,-,-
  , UAJ5-K,1,-,3,1,1,2,-,-,-,-
  , XJ-AG7,2,-,3,1,-,4,-,-,-,-
  , YC-ANK,-,1,3,-,-,1,-,2,-,-
 7-ZDOK, JX-SOA,3,-,2,-,2,3,-,-,-,-
  , KGCF-5,2,-,3,-,2,6,-,-,-,-
  , NHKO-4,1,1,4,-,-,1,-,-,-,-
  , P-T9VC,1,1,4,-,2,1,-,-,-,-
  , VH-9VO,2,-,2,-,2,1,-,-,-,-
  , XME-SW,-,1,2,-,-,1,2,-,-,-
  , Y-UO9U,-,-,2,1,1,2,-,-,-,-
 AGI1-F, 9Z-XJN,-,1,3,1,3,1,1,1,-,-
  , HZID-J,1,-,1,-,1,1,3,2,-,-
  , K4UV-G,-,-,-,1,2,6,1,1,-,-
  , Q7E-DU,1,1,4,-,-,2,-,-,-,-
  , QFRV-2,1,1,4,-,-,1,1,-,-,-
  , ZEZ1-9,1,-,-,1,2,3,1,1,-,-
 B-D245, 2EV-BA,-,-,5,-,-,1,1,1,-,-
  , 80G-H5,-,3,5,-,-,1,1,-,-,-
  , HLR-GL,1,1,3,-,-,2,1,-,-,-
  , JUE-DX,-,-,4,-,-,1,-,-,-,-
  , M1-PX9,2,-,4,-,2,4,-,-,-,-
  , W9-TFD,-,1,4,2,1,3,3,-,-,-
 C9XB-L, 3-QNM4,2,1,3,-,1,1,-,-,-,-
  , MC4C-H,1,-,3,-,1,4,-,-,-,-
  , NQ-M6W,1,1,5,-,-,3,1,-,-,-
  , OW-QXW,-,1,3,1,-,1,1,-,-,-
  , P-8PDJ,-,1,3,-,-,1,-,-,-,-
  , UEPO-D,-,-,3,-,1,4,1,1,-,-
  , VE-W7O,-,1,3,-,-,1,-,-,-,-
 IM-8S5, 2-84WC,1,-,4,-,2,4,-,-,-,-
  , 24I-FE,-,-,4,-,4,-,2,1,-,-
  , 4H-YJZ,1,1,1,-,1,8,-,-,-,-
  , QOK-SX,-,-,2,1,-,7,3,-,-,-
  , U-FQ21,1,-,-,1,-,2,1,-,-,-
  , V-SEE6,1,-,4,-,2,2,-,-,-,-
 J33-JR, 1-10QG,-,-,3,-,1,3,1,-,-,-
  , 6-GRN7,1,2,3,-,-,4,-,-,-,-
  , D-JVGJ,-,1,3,-,-,2,-,-,-,-
  , TFPT-U,1,1,3,-,2,2,-,-,-,-
  , WIO-OL,-,-,2,-,1,3,-,-,-,-
  , WK2F-Y,1,-,2,-,2,1,2,-,-,-
  , YQM-P1,-,-,3,-,-,-,2,-,-,-
 KPU3-3, 4O-ZRI,-,1,2,-,1,4,3,-,-,-
  , CNHV-M,-,-,3,2,-,4,2,1,-,-
  , N-I024,1,-,-,2,2,2,1,-,-,-
  , NEU-UD,-,1,4,-,-,1,2,-,-,-
  , RQNF-9,1,-,3,-,1,6,1,-,-,-
  , Y-7XVJ,3,-,3,1,1,2,1,-,-,-
 NOB-HD, 4AZV-W,2,-,3,1,1,3,-,-,-,-
  , 7F-2FB,2,1,2,1,2,3,2,-,-,-
  , 90-A1P,-,-,3,-,1,4,2,-,-,-
  , GA58-7,1,-,-,-,1,1,4,-,-,-
  , J-0KB3,2,-,2,1,3,1,1,-,-,-
  , UC-8XF,-,1,4,-,-,2,1,-,-,-
  , UNV-3J,-,-,3,-,-,4,-,-,-,-
 NPL-WH, 0-4VQL,1,-,2,2,2,5,-,-,-,-
  , 2ID-87,-,-,5,-,-,1,1,-,-,-
  , 8K-QCZ,2,-,3,-,1,1,-,-,-,-
  , DJ-GBH,-,-,3,-,2,2,1,-,-,-
  , FVQF-W,-,1,2,-,1,1,-,2,-,-
  , I0N-BM,1,1,2,1,1,1,1,-,-,-
  , JBUH-H,1,-,4,-,1,1,-,1,-,-
  , SN-DZ6,-,1,2,-,-,2,-,-,-,-
  , XDTW-F,1,-,5,-,1,-,1,-,-,-
 U-IOR1, 2ULC-J,-,1,4,3,1,3,-,1,-,-
  , 8-AA98,-,-,2,-,-,1,1,-,-,-
  , EZWQ-X,1,1,3,1,-,7,-,1,-,-
  , QG3-Z0,-,1,2,-,1,1,2,-,-,-
  , RT64-C,1,-,2,-,1,4,1,1,-,-
  , T0DT-T,-,1,4,-,-,4,1,1,-,-
 X5O9-E, I-HRX3,-,-,3,-,2,1,2,-,-,-
  , J4AQ-O,1,-,2,-,1,6,2,-,-,-
  , M4U-EH,1,-,3,-,1,1,1,-,-,-
  , O-O2GN,-,-,5,-,-,1,2,-,-,-
  , QHH-13,-,1,4,-,1,2,-,-,-,-
  , XUPK-Z,1,-,-,1,-,4,1,-,-,-
