Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
Belt, 0-9UHT,1,-,2,-,2,3,1,-,-,-
  , 0-WVQS,-,-,-,1,2,1,3,-,-,-
  , 5WAE-M,-,1,3,-,2,4,-,-,-,-
  , H-M1BY,1,-,1,1,-,3,1,-,-,-
  , J1H-R4,-,1,2,-,1,5,1,-,-,-
  , M-NKZM,1,-,1,-,1,5,2,1,-,-
 Crown, C0T-77,1,-,3,3,2,1,-,-,-,-
  , E9G-MT,-,1,5,-,-,2,-,-,-,-
  , P-NUWP,-,-,3,-,-,3,-,-,-,-
  , RL-KT0,3,1,4,-,2,2,-,-,-,-
  , TQ-RR8,-,1,3,-,1,3,1,-,-,-
  , UO9-YG,2,-,-,-,-,3,2,-,-,-
  , ZJQH-S,1,-,3,-,1,2,-,-,-,-
  , ZQP-QV,2,1,2,-,-,3,-,1,-,-
 Heart, 1L-BHT,1,1,2,-,1,-,-,-,-,-
  , 4C-B7X,-,1,2,1,1,3,-,1,-,-
  , BF-SDP,-,-,3,1,-,3,1,-,-,-
  , D5IW-F,1,-,3,1,2,3,2,1,-,-
  , F-XWIN,-,-,4,-,1,3,1,-,-,-
  , F5FO-U,1,1,2,-,1,3,2,-,-,-
  , LGUZ-1,2,-,3,1,2,4,1,-,-,-
 Regalia, 2JJ-0E,1,-,2,-,-,6,1,-,-,-
  , AN-G54,-,1,2,-,1,3,1,1,-,-
  , CT7-5V,1,-,5,-,2,1,1,-,-,-
  , L3-XYO,2,-,-,-,1,1,-,-,-,-
  , T-Z6J2,2,-,2,1,2,2,2,-,-,-
  , ZXI-K2,1,-,3,1,1,-,2,-,-,-
 Scepter, B0C-LD,1,-,-,1,-,2,-,-,-,-
  , G-YT55,-,-,2,-,1,4,2,1,-,-
  , G5-EN3,1,1,3,-,1,1,-,-,-,-
  , IZ-AOB,-,1,3,-,1,-,2,-,-,-
  , NP6-38,-,-,1,2,3,1,1,-,-,-
  , W-Z3HW,-,1,3,-,1,3,-,-,-,-
 Sole, 0D-CHA,-,-,2,2,-,5,-,-,-,-
  , A-5M31,4,-,-,-,1,2,-,-,-,-
  , A2V6-6,2,1,2,-,1,2,-,-,-,-
  , BOE7-P,-,-,5,-,-,2,-,-,-,-
  , E-GCX0,1,-,-,1,-,2,1,-,-,-
  , VBFC-8,-,-,5,1,1,1,-,-,-,-
  , VJ0-81,-,-,3,-,1,1,2,-,-,-
  , YVA-F0,-,2,2,-,1,1,3,-,-,-
 Sword, 3HQC-6,-,-,2,-,-,2,3,-,1,-
  , 7-692B,-,1,3,-,1,3,1,-,-,-
  , DB-6W4,2,-,2,-,2,2,1,-,-,-
  , GA-2V7,1,1,3,-,1,-,1,-,-,-
  , OX-RGN,-,-,3,-,1,2,2,1,-,-
  , R-OCBA,2,-,1,2,2,3,-,-,-,-
 Velvet, BMU-V1,1,-,4,-,2,2,-,1,-,-
  , LBV-Q1,2,1,3,-,2,1,2,-,-,-
  , O-RIDF,2,-,4,1,-,1,-,-,-,-
  , W2F-ZH,3,1,2,-,-,3,1,-,-,-
  , Z-40CG,-,1,4,1,1,1,2,1,-,-
  , ZXC8-1,-,-,6,-,-,-,1,-,-,-
 Wield, 33FN-P,-,1,2,-,-,3,-,-,-,-
  , J9SH-A,-,1,2,-,1,5,1,1,-,-
  , JKJ-VJ,-,-,3,1,-,2,1,-,-,-
  , MT-2VJ,2,-,1,-,1,3,1,1,-,-
  , NM-OEA,1,-,2,-,2,1,-,-,-,-
  , RTX0-S,1,-,1,-,1,5,2,1,-,-
