Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
17K-QM, 33-JRO,2,-,1,1,1,2,-,-,-,-
  , 5-CSE3,1,-,4,-,1,1,-,-,-,-
  , 9T-APQ,3,1,2,-,-,2,1,-,-,-
  , ARBX-9,1,1,4,-,-,2,1,-,-,-
  , JI-K5H,2,-,-,1,7,5,1,-,-,-
  , O-MCZR,1,-,2,-,1,-,1,-,-,-
 D9DM-O, LD-2VL,-,1,2,-,1,4,-,-,-,-
  , LX5K-W,2,1,3,-,1,-,-,-,-,-
  , MP5-KR,-,-,3,-,-,3,3,-,-,-
  , O-N589,-,1,4,-,1,1,1,-,-,-
  , ZBY-0I,1,2,4,-,2,2,-,-,-,-
  , ZDYA-G,-,-,-,-,1,3,-,-,-,-
 GEP-XF, 0SUF-3,-,1,3,-,-,2,1,-,-,-
  , 2I-520,2,1,3,1,-,1,-,-,-,-
  , G-M4GK,-,-,3,1,2,5,1,1,-,-
  , G1D0-G,1,1,2,2,2,1,2,-,-,-
  , GQ2S-8,1,-,4,-,-,2,1,-,-,-
  , KU3-BB,-,1,2,-,1,1,-,-,-,-
  , O-97ZG,-,1,1,-,-,3,2,-,-,-
  , O1Q-P1,-,1,4,1,1,1,-,1,-,-
 I-CCEI, 3PPT-9,-,-,2,1,4,3,-,-,-,-
  , 8Q-UYU,2,-,2,-,1,5,1,-,-,-
  , JK-GLL,-,-,4,1,-,3,1,-,-,-
  , LUL-WX,-,2,3,1,3,-,-,1,-,-
  , S-KU8B,1,-,-,-,-,2,1,-,-,-
  , UAAU-C,-,1,3,-,-,-,2,-,-,-
  , YV-FDG,3,1,3,-,-,1,1,-,-,-
 IZ-FBT, 1DDR-X,-,1,5,-,1,-,1,1,-,-
  , AA-GWF,2,-,2,1,-,2,-,-,-,-
  , HHJD-5,1,1,3,-,-,2,1,1,-,-
  , LG-WA9,-,1,2,-,-,3,-,-,-,-
  , O4T-Z5,-,1,3,-,1,4,-,-,-,-
  , ZWV-GD,-,-,4,1,1,2,-,-,-,-
 TCC-ZV, 0-MX34,-,-,1,-,1,3,-,-,-,-
  , 0ZN7-G,-,-,3,-,3,5,1,-,-,-
  , 4Y-OBL,-,-,4,-,1,-,1,2,-,-
  , 5AQ-5H,-,-,4,-,2,3,-,-,-,-
  , H8-ZTO,-,-,3,-,-,2,1,-,-,-
  , T-ZFID,2,-,1,-,1,1,-,-,-,-
