Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
6KFH-X, E2-RDQ,-,1,3,-,1,4,2,-,-,-
  , GR-J8B,-,1,4,-,-,-,1,-,-,-
  , HIX4-H,1,-,2,-,1,4,1,-,-,-
  , OY0-2T,-,-,2,-,-,1,1,-,-,-
  , TN25-J,-,1,3,-,-,3,-,-,-,-
  , ZU-MS3,-,-,3,1,-,4,1,-,-,-
 J8-G8K, 1-NJLK,1,-,4,-,-,6,1,-,-,-
  , 8KR9-5,-,-,1,1,1,3,2,-,-,-
  , EIMJ-M,1,-,3,-,1,4,-,-,-,-
  , G-C8QO,2,-,1,1,-,1,-,-,-,-
  , L5D-ZL,2,-,1,-,-,5,2,-,-,-
  , VQE-CN,1,1,4,-,1,2,-,-,-,-
  , Y-CWQY,2,-,1,-,1,3,2,-,-,-
 N-39FI, CW9-1Y,-,-,1,-,2,6,-,-,-,-
  , MG0-RD,-,1,3,1,-,1,-,-,-,-
  , TCAG-3,2,1,2,-,3,2,-,1,-,-
  , TPAR-G,-,1,4,-,2,5,-,-,-,-
  , UR-E46,-,-,1,1,-,1,2,1,-,-
  , VYO-68,1,1,2,1,1,1,1,-,-,-
 NOK-FZ, 08S-39,-,-,3,-,1,3,-,-,-,-
  , 0A-KZ0,1,1,4,-,-,2,1,-,-,-
  , 0OTX-J,-,1,2,1,1,-,2,-,-,-
  , 3OP-3E,1,-,3,-,-,5,1,-,-,-
  , 48I1-X,-,1,3,-,-,4,-,-,-,-
  , E-DOF2,1,1,4,-,-,1,-,-,-,-
  , JZL-VB,1,-,1,-,-,3,3,-,-,-
  , RJ3H-0,-,-,5,-,-,2,1,-,-,-
 OY3-DM, 1E-W5I,-,-,2,1,1,4,1,-,-,-
  , G-Q5JU,-,-,2,-,1,2,2,-,-,-
  , MVUO-F,2,-,1,1,-,4,-,-,-,-
  , PA-VE3,3,-,2,-,1,1,-,-,-,-
  , RYQC-I,1,1,4,-,-,3,-,1,-,-
  , Z-M5A1,2,1,3,-,-,3,1,-,-,-
 XOV7-5, 0-NTIS,1,-,1,-,-,3,2,1,-,-
  , 35-JWD,1,-,-,-,2,1,-,-,-,-
  , F-M1FU,-,1,4,-,2,3,-,-,-,-
  , I6M-9U,1,-,3,1,-,3,-,-,-,-
  , L-YMYU,3,-,1,-,1,3,1,-,-,-
  , VR-YIQ,-,1,2,-,1,2,1,-,-,-
  , XZ-SKZ,2,-,3,1,-,2,2,-,-,-
