Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
4LEZ-6, 6Q4-X6,2,-,1,-,-,3,1,-,-,-
  , B9N2-2,2,-,2,-,1,1,1,-,-,-
  , D-QJR9,1,-,2,-,-,2,-,-,-,-
  , H-29TM,1,-,4,-,2,1,-,1,-,-
  , KOI8-Z,2,1,2,-,-,2,-,-,-,-
  , U4-V3J,-,1,5,-,1,2,-,1,-,-
 9BGY-6, 5T-A3D,-,-,2,1,1,4,-,1,-,-
  , 5ZU-VG,1,-,3,-,2,2,-,-,-,-
  , 6-1T6Z,-,-,4,-,-,4,1,-,-,-
  , 6-8QLA,-,-,4,1,1,1,-,1,-,-
  , EH2I-P,2,-,-,-,-,4,2,-,-,-
  , G-GRSZ,2,-,2,-,1,4,-,-,-,-
  , HB-KSF,1,-,4,-,-,3,1,1,-,-
  , LW-YEW,1,-,5,-,-,-,1,-,-,-
  , OP7-BP,2,-,1,2,1,2,2,-,-,-
  , R-AYGT,1,-,2,-,1,1,-,-,-,-
 B-MQ0Y, 0FG-KS,-,1,4,-,2,4,-,-,-,-
  , E-WMT7,1,1,3,1,1,1,1,-,-,-
  , EF-QZK,-,-,3,-,2,3,-,-,-,-
  , F-5WYK,1,-,2,-,2,3,2,-,-,-
  , FLK-LJ,-,-,2,1,1,3,1,-,-,-
  , RZ3O-K,2,-,1,1,-,4,1,-,-,-
 BXT7-V, 2-YO2K,-,1,2,-,1,3,-,-,-,-
  , M-SG47,1,1,1,-,1,3,-,-,-,-
  , QHY-RU,1,-,2,-,2,2,-,1,-,-
  , SR-10Z,-,-,3,-,-,4,-,-,-,-
  , TAL1-3,3,-,4,-,-,2,-,-,-,-
  , W-KXEX,2,-,-,-,1,3,2,-,-,-
 L7-RDZ, 4-1ECP,1,-,2,-,1,4,2,-,-,-
  , 5-U12M,-,-,3,1,2,2,-,-,-,-
  , 7AH-SF,1,-,1,-,1,3,-,-,-,-
  , 7MMJ-3,-,-,4,-,1,2,1,-,-,-
  , 9-EXU9,-,-,4,-,4,2,1,-,-,-
  , PVF-N9,-,-,3,-,1,2,2,-,-,-
  , UYOC-1,-,1,3,-,3,-,1,-,-,-
 LWMW-6, 7JRA-G,2,2,1,-,-,3,1,-,-,-
  , L5Y4-M,4,1,2,1,1,2,-,-,-,-
  , PFV-ZH,-,-,2,-,1,3,1,-,-,-
  , SY-OLX,1,-,2,-,-,3,2,-,-,-
  , W-CSFY,1,-,-,1,1,3,-,-,-,-
  , XY-ZCI,-,-,2,1,1,4,-,1,-,-
 NT1-5Q, A9-F18,2,1,2,1,-,2,-,-,-,-
  , B-B0ME,-,1,2,1,2,1,-,-,-,-
  , DE-IHK,2,1,2,-,1,1,1,-,-,-
