Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Alselbosier, Alperaute,-,-,3,-,-,4,-,-,-,-
  , Aunsou,-,-,1,-,1,2,-,-,-,-
  , Cumemare,-,-,2,-,1,1,-,-,-,-
  , Gare,-,-,2,-,-,4,3,-,-,-
  , Pain,2,-,1,-,1,1,1,-,-,-
  , Reynire,3,-,-,-,1,4,1,1,-,-
 Amevync, Aldranette,2,-,-,-,1,6,1,-,-,-
  , Alsavoinon,-,-,1,1,-,2,2,-,-,-
  , Anchauttes,-,-,3,-,-,2,1,-,-,-
  , Esesier,1,-,3,-,-,4,1,1,-,-
  , Evaulon,3,-,-,-,-,3,1,-,-,-
  , Oicx,2,-,2,1,-,2,-,-,-,-
  , Vlillirier,1,1,2,-,-,2,-,1,-,-
 Beyt, Adacyne,-,2,3,1,-,-,-,1,-,-
  , Chardalane,-,-,1,-,1,3,-,-,-,-
  , Maut,2,1,2,-,1,2,-,-,-,-
  , Orvolle,4,-,-,1,1,-,1,-,-,-
  , Osmeden,2,-,4,1,1,4,-,-,-,-
  , Oulley,2,-,-,1,2,-,1,-,-,-
 Fislipesnes, Covryn,-,1,2,-,1,2,1,-,-,-
  , Dastryns,-,-,3,-,1,3,3,-,-,-
  , Iges,1,-,2,-,-,4,1,-,-,-
  , Slays,-,2,1,-,1,3,1,-,-,-
  , Stacmon,-,-,5,-,1,3,1,-,-,-
  , Uphallant,-,-,2,-,2,2,2,-,-,-
 Ganoure, Aulbres,2,-,6,-,1,3,-,-,-,-
  , Ausmaert,1,1,2,1,-,2,1,-,-,-
  , Barleguet,1,-,3,1,-,3,1,-,-,-
  , Espigoure,1,-,3,1,-,2,1,-,-,-
  , Kenninck,1,-,3,-,2,2,1,-,-,-
  , Vestouve,1,1,2,-,2,2,2,-,-,-
 Josmaert, Algasienan,1,-,2,-,-,4,1,-,-,-
  , Brellystier,-,1,4,-,-,2,-,-,-,-
  , Dour,-,1,3,-,-,3,1,-,-,-
  , Grispire,1,-,3,-,-,1,1,-,-,-
  , Pelille,-,1,4,-,-,1,1,-,-,-
  , Vivanier,1,-,3,-,-,2,2,-,-,-
 Mallugier, Amasiree,-,1,2,1,-,3,1,-,-,-
  , Amoen,1,1,3,-,-,1,-,-,-,-
  , Aubonnie,6,-,-,1,-,1,-,-,-,-
  , Avaux,-,1,4,1,1,3,-,-,-,-
  , Gallusiene,-,-,4,-,2,1,1,-,-,-
  , Hedoubel,-,-,1,2,-,2,1,-,-,-
  , Ruerrotta,1,-,1,-,1,1,-,-,-,-
 Pegeler, Archavoinet,-,2,1,-,-,1,1,-,-,-
  , Aubenall,1,2,2,-,1,1,1,1,-,-
  , Eugales,-,-,2,-,1,-,3,1,-,-
  , Frarie,2,-,1,-,2,5,-,-,-,-
  , Moclinamaud,-,-,3,-,-,6,1,-,-,-
  , Renarelle,1,-,2,-,-,2,-,-,-,-
 Serthoulde, Alamel,-,-,3,-,1,5,1,-,-,-
  , Alparena,1,1,2,-,1,1,-,-,-,-
  , Arderonne,-,-,2,1,-,2,3,-,-,-
  , Athounon,2,1,3,-,-,3,2,-,-,-
  , Mantenault,2,1,3,-,3,2,-,-,-,-
  , Mercomesier,1,-,3,-,2,2,1,-,-,-
  , Odamia,4,-,-,1,-,3,3,-,-,-
  , Reschard,1,2,1,-,-,3,-,-,-,-
 Unour, Iffrue,1,1,3,-,1,2,-,2,-,-
  , Ivorider,1,-,3,1,-,3,2,-,-,-
  , Mollin,2,-,2,-,1,2,-,-,-,-
  , Ommaerrer,1,1,4,-,1,2,1,1,-,-
  , Osmallanais,1,1,3,1,-,1,1,-,-,-
  , Vilinnon,3,-,1,-,-,1,1,-,-,-
 Viriette, Agoze,-,1,2,1,2,5,1,-,-,-
  , Annancale,-,-,4,1,1,-,1,-,-,-
  , Brarel,1,-,2,-,-,2,-,-,-,-
  , Harroule,1,-,5,-,1,2,-,1,-,-
  , Intaki,1,-,1,2,1,2,-,-,-,-
  , Ostingele,1,-,2,1,-,3,1,-,-,-
  , Vey,1,-,5,-,-,3,-,-,-,-
