Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
Krai Perun, Ignebaener,1,-,-,-,2,2,-,1,-,-
  , Kino,-,1,4,1,-,2,2,-,-,-
  , Komo,3,-,-,1,-,5,-,-,-,-
  , Konola,-,-,3,-,1,1,1,-,-,-
  , Krirald,-,1,3,1,1,3,1,-,-,-
  , Nalvula,2,1,4,-,1,3,2,-,-,-
  , Otanuomi,1,-,3,-,1,2,1,-,-,-
  , Otela,-,-,5,-,1,-,-,-,-,-
  , Sakenta,2,-,-,-,2,5,-,-,-,-
 Krai Svarog, Ahtila,1,-,1,-,1,2,2,2,-,-
  , Harva,1,1,4,-,-,-,1,1,-,-
  , Kuharah,-,1,3,1,-,1,1,1,-,-
  , Nani,-,1,3,-,-,3,1,-,-,-
  , Niarja,-,1,3,-,1,2,2,1,-,-
  , Raravoss,-,1,3,-,-,5,-,-,-,-
  , Skarkon,1,-,2,-,1,1,-,-,-,-
  , Tunudan,1,-,3,2,2,2,1,-,-,-
  , Urhinichi,2,-,-,-,1,6,-,-,-,-
 Krai Veles, Ala,-,-,2,-,2,4,-,-,-,-
  , Angymonne,-,-,2,-,-,3,1,1,-,-
  , Archee,-,-,2,-,1,1,2,-,-,-
  , Arvasaras,2,1,1,-,2,1,-,-,-,-
  , Ichoriya,-,-,4,1,-,1,1,-,-,-
  , Kaunokka,1,-,-,1,-,3,2,-,-,-
  , Senda,3,-,1,-,-,5,-,-,-,-
  , Vale,3,-,-,1,2,-,-,-,-,-
  , Wirashoda,-,1,2,-,2,3,1,-,-,-
