Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
04-H4M, 1-1I53,-,-,2,1,3,2,1,-,-,-
  , 18-GZM,-,-,5,-,1,2,-,-,-,-
  , 8B-VLX,1,-,2,2,-,7,-,-,-,-
  , G-B22J,1,-,3,-,-,5,-,1,-,-
  , N8XA-L,-,-,4,-,1,2,1,-,-,-
  , R3-K7K,1,1,4,-,1,1,-,1,-,-
  , X-R3NM,-,-,-,3,-,3,-,-,-,-
  , X6AB-Y,-,1,4,-,1,1,-,1,-,-
 4BZ-R3, D-GTMI,2,-,3,2,1,5,-,-,-,-
  , FSW-3C,1,-,7,-,1,2,-,-,-,-
  , FX-7EM,-,-,3,-,-,5,-,-,-,-
  , G7AQ-7,-,-,4,1,-,2,3,-,-,-
  , I7S-1S,4,-,-,-,-,3,1,-,-,-
  , MH9C-S,-,-,1,-,1,2,3,-,-,-
  , QBL-BV,-,-,4,-,2,-,2,1,-,-
  , T-RPFU,-,1,2,-,1,3,1,-,-,-
 5-88B9, 3GXF-U,-,1,3,1,1,3,1,-,-,-
  , 8P9-BM,-,1,5,1,1,3,-,-,-,-
  , F-YH5B,-,1,2,-,-,5,-,-,-,-
  , H-GKI6,1,1,2,-,2,1,1,-,-,-
  , VKI-T7,-,-,5,-,-,2,-,-,-,-
  , YQB-22,5,-,-,3,1,2,1,-,-,-
 AZBG-H, 5IO8-U,2,1,2,-,1,2,1,-,-,-
  , DP-JD4,1,1,3,1,-,6,3,-,-,-
  , FC-3YI,-,-,4,-,1,1,1,-,-,-
  , OXIY-V,-,-,5,-,-,3,1,-,-,-
  , QR-K85,1,-,3,-,-,-,2,-,-,-
  , U-HYMT,-,-,5,-,2,1,1,-,-,-
 G2E-RJ, 49GC-R,1,1,3,-,1,3,-,-,-,-
  , 4B-NQN,-,1,3,-,1,3,1,-,-,-
  , 9-F0B2,1,1,2,1,1,2,-,-,-,-
  , 9UY4-H,1,1,3,-,-,-,1,-,-,-
  , G-5EN2,-,2,1,-,-,2,2,-,-,-
  , YWS0-Z,-,2,4,-,-,-,-,-,-,-
 H-KW4A, 2V-CS5,-,-,2,1,-,2,2,-,-,-
  , 7YWV-S,1,2,5,-,-,1,-,-,-,-
  , C1-HAB,1,-,3,1,1,2,1,-,-,-
  , GA9P-0,-,1,6,-,1,2,1,-,-,-
  , H9-J8N,-,-,1,-,3,2,2,-,-,-
  , HP-6Z6,2,-,2,2,-,3,-,-,-,-
  , TXJ-II,3,-,2,-,2,2,-,-,-,-
 HS7W-T, 08Z-JJ,-,1,2,1,2,4,-,1,-,-
  , 6-OQJV,1,1,3,1,1,2,1,1,-,-
  , AY-YCU,3,-,1,1,1,1,-,-,-,-
  , S9X-AX,-,1,2,1,1,3,1,-,-,-
  , TU-RI6,-,-,3,-,1,4,-,-,-,-
  , X-4WZD,-,-,2,1,-,4,-,1,-,-
  , ZT-LPU,1,-,-,-,-,5,1,1,-,-
 I9B-8X, D-6WS1,-,-,1,2,-,2,1,-,-,-
  , D61A-G,3,1,2,-,1,-,2,1,-,-
  , H6-CX8,-,-,1,-,2,1,-,-,-,-
  , Shintaht,2,-,1,-,-,2,3,-,-,-
  , SI-I89,-,-,1,-,3,5,-,-,-,-
  , Y-MPWL,2,-,1,1,1,2,1,1,-,-
 P6N8-J, DNR-7M,-,-,4,2,1,5,-,-,-,-
  , IWZ3-C,2,-,3,1,2,2,2,-,-,-
  , JEIV-E,1,-,3,1,2,3,1,1,-,-
  , K1Y-5H,-,-,6,-,2,3,-,1,-,-
  , N-RMSH,2,1,2,1,-,5,-,-,-,-
  , O-Y5JQ,1,1,3,-,-,1,-,-,-,-
 Q-6LG1, 0B-HLZ,-,-,2,-,2,5,1,-,-,-
  , 18XA-C,-,-,2,1,-,4,1,-,-,-
  , 3D-CQU,1,-,2,-,-,2,2,-,-,-
  , 3KB-J0,-,1,4,-,1,2,1,-,-,-
  , I-MGAB,2,-,-,-,1,2,2,-,-,-
  , Z-RFE3,1,-,3,1,-,2,1,-,-,-
 UD-ZJ3, 2-TEGJ,1,-,3,-,1,1,1,1,-,-
  , AY-24I,4,-,1,1,1,1,1,-,-,-
  , BK4-YC,-,-,4,-,-,3,1,-,-,-
  , K1I1-J,-,1,4,-,1,3,1,-,-,-
  , LF-2KP,1,-,3,-,-,5,-,-,-,-
  , MVCJ-E,1,-,2,-,-,4,1,-,-,-
 XV7L-S, B-WPLZ,2,-,2,-,-,4,1,-,-,-
  , E-YCML,1,1,3,1,1,4,1,-,-,-
  , KBP7-G,1,1,3,-,1,3,-,-,-,-
  , TU-O0T,2,-,1,1,2,2,2,-,-,-
  , XHQ-7V,-,1,4,-,-,4,1,-,-,-
  , Y9-MDG,3,-,1,2,2,4,2,-,-,-
 ZQ2-CF, 5KG-PY,1,-,5,-,-,4,-,-,-,-
  , F-DTOO,2,1,3,-,1,2,-,-,-,-
  , GN7-XY,-,-,4,2,-,2,1,-,-,-
  , INQ-WR,1,-,5,-,-,5,-,-,-,-
  , PI5-39,-,-,3,-,-,4,3,-,-,-
  , QO-SRI,-,-,4,1,1,-,-,-,-,-
