Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
0A-73B, 7D-0SQ,1,1,2,-,1,4,-,1,-,-
  , H1-J33,-,2,3,-,-,3,-,-,-,-
  , KU5R-W,-,-,3,-,1,1,1,-,-,-
  , OGV-AS,-,-,3,-,1,1,-,1,-,-
  , UI-8ZE,-,1,4,-,-,5,-,-,-,-
  , Y-C3EQ,-,1,2,-,1,1,-,-,-,-
 304Z-R, 7RM-N0,-,1,2,-,1,5,1,-,-,-
  , F-NMX6,-,1,3,-,3,1,-,-,-,-
  , FWA-4V,-,1,2,-,-,3,-,-,-,-
  , GA-P6C,-,-,3,1,1,3,-,-,-,-
  , RZC-16,-,2,2,-,-,3,-,-,-,-
  , S-MDYI,-,1,3,-,-,3,1,-,-,-
  , ZKYV-W,1,-,3,1,-,3,-,-,-,-
 38G6-L, CL6-ZG,1,-,4,-,-,3,-,1,-,-
  , CXN1-Z,1,-,3,-,-,3,1,-,-,-
  , G95-VZ,-,-,3,-,2,3,-,-,-,-
  , J-CIJV,1,-,1,2,1,2,2,-,-,-
  , KLY-C0,2,-,3,-,1,2,-,-,-,-
  , ROIR-Y,-,2,1,-,-,-,-,-,-,-
  , X-7OMU,1,3,1,-,-,1,-,-,-,-
 G8-D09, 3V8-LJ,1,-,-,1,1,2,1,-,-,-
  , 4-ABS8,1,1,2,-,-,2,1,-,-,-
  , B8EN-S,-,-,2,1,3,2,-,-,-,-
  , DP-1YE,2,-,1,-,-,5,-,-,-,-
  , R-LW2I,-,1,2,-,1,4,-,-,-,-
  , R6XN-9,1,-,3,-,1,3,1,-,-,-
 K-QUVW, 6GWE-A,-,-,7,-,1,2,1,1,-,-
  , J-OK0C,-,1,2,-,1,1,2,-,-,-
  , KDV-DE,1,-,4,-,1,1,-,-,-,-
  , MT9Q-S,-,1,3,-,-,3,1,-,-,-
  , RD-G2R,3,-,1,-,1,3,-,-,-,-
  , UC3H-Y,-,1,3,-,-,3,-,-,-,-
 LN-L8L, 7X-VKB,2,-,3,-,2,3,-,-,-,-
  , B-9C24,2,-,4,1,-,2,-,-,-,-
  , E-Z2ZX,1,-,2,-,-,5,1,-,-,-
  , O-A6YN,-,-,2,-,-,2,2,-,-,-
  , P-2TTL,3,-,-,-,2,-,-,-,-,-
  , RORZ-H,1,1,4,1,3,1,-,1,-,-
 LY-FY6, CR-AQH,2,-,2,1,-,3,-,1,-,-
  , M-YCD4,-,2,1,-,1,2,1,-,-,-
  , Q-5211,3,-,2,-,1,3,-,-,-,-
  , R-2R0G,3,1,2,-,1,2,-,-,-,-
  , WW-KGD,2,-,-,1,-,2,1,-,-,-
  , XQ-PXU,1,-,1,-,2,1,-,1,-,-
 MDM8-J, 2D-0SO,1,1,3,-,2,5,-,-,-,-
  , D7T-C0,4,-,-,1,1,2,-,-,-,-
  , KQK1-2,-,1,2,1,1,2,1,1,-,-
  , O-BY0Y,1,-,2,1,1,1,-,-,-,-
  , UR-E6D,4,-,2,-,1,-,-,-,-,-
  , X47L-Q,-,-,3,1,-,2,1,1,-,-
 S4GH-I, D2-HOS,-,-,2,-,-,1,2,1,-,-
  , DT-TCD,1,-,2,-,1,3,2,-,-,-
  , HPS5-C,2,1,1,-,1,-,1,-,-,-
  , MQ-NPY,1,1,1,-,1,2,-,-,-,-
  , RQH-MY,-,1,3,-,-,1,-,-,-,-
  , TFA0-U,-,-,5,1,2,2,-,-,-,-
  , Y2-6EA,-,-,3,-,1,1,1,-,-,-
 U-7RBK, 2-6TGQ,-,-,4,1,1,4,1,-,-,-
  , 5ZXX-K,-,1,5,-,2,1,-,-,-,-
  , 8S-0E1,3,-,1,-,1,3,-,-,-,-
  , JE-D5U,1,1,4,-,-,1,-,-,-,-
  , OE-9UF,-,1,2,-,-,2,1,-,-,-
  , PFU-LH,-,-,6,-,-,2,-,-,-,-
 U8-CWA, 12YA-2,1,1,3,-,1,4,-,-,-,-
  , 5-9WNU,1,1,2,1,2,4,-,-,-,-
  , BDV3-T,3,-,1,2,2,1,-,-,-,-
  , EL8-4Q,1,1,3,1,2,2,1,-,-,-
  , JC-YX8,1,1,1,1,1,2,2,-,-,-
  , KI-TL0,1,1,1,1,1,8,-,-,-,-
  , N-H32Y,-,1,2,-,-,6,-,-,-,-
  , XI-VUF,3,1,3,1,-,2,1,-,-,-
 WMP-OF, A8I-C5,2,-,2,-,1,3,-,-,-,-
  , C-H9X7,-,1,2,1,1,6,3,-,-,-
  , DK-FXK,-,-,3,-,2,1,1,-,-,-
  , ION-FG,1,-,2,1,-,1,1,1,-,-
  , M-76XI,-,1,3,-,-,3,2,-,-,-
  , U-INPD,-,1,4,1,-,5,-,1,-,-
  , ZJET-E,2,-,3,-,-,1,1,-,-,-
 YS-GOP, 93PI-4,-,-,2,1,2,1,-,-,-,-
  , EC-P8R,-,1,4,1,-,5,-,-,-,-
  , EWOK-K,-,1,2,1,-,5,-,-,-,-
  , G-M4I8,-,1,5,2,2,2,-,-,-,-
  , L-TS8S,2,-,-,1,1,3,-,-,-,-
  , MI6O-6,-,-,5,-,2,4,-,-,-,-
  , O-N8XZ,1,-,-,1,-,1,-,2,-,-
