Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
3B-IWE, 4-2UXV,1,-,4,-,1,2,-,-,-,-
  , DG-L7S,1,-,3,1,1,2,-,-,-,-
  , F2OY-X,-,1,3,-,-,2,-,-,-,-
  , K4-RFZ,1,1,2,1,-,2,2,-,-,-
  , L-FVHR,2,1,3,1,2,3,-,-,-,-
  , RKM-GE,1,-,4,-,-,2,-,-,-,-
 4QZ-2M, 8-YNBE,3,1,2,-,-,3,1,-,-,-
  , B-7DFU,2,-,3,-,-,5,-,-,-,-
  , BX-VEX,-,-,2,1,-,5,1,-,-,-
  , E-VKJV,3,-,2,-,1,2,-,-,-,-
  , QY1E-N,-,-,3,1,-,3,-,-,-,-
  , YQX-7U,-,1,3,-,1,1,1,1,-,-
 8BO-IH, 9CG6-H,1,-,3,-,-,5,1,-,-,-
  , K-L690,-,-,4,-,-,2,-,-,-,-
  , NDII-Q,2,-,4,-,1,3,-,-,-,-
  , P-ZMZV,1,-,3,1,3,2,-,-,-,-
  , UYU-VV,-,-,2,2,1,2,-,-,-,-
  , W6V-VM,2,1,4,-,1,1,-,1,-,-
 8ET-D1, 3BK-O7,1,1,2,-,-,3,2,-,-,-
  , 8-GE2P,-,-,3,1,1,3,1,-,-,-
  , K-YI1L,-,-,3,-,3,3,-,-,-,-
  , KEJY-U,1,-,3,-,1,3,-,-,-,-
  , QXQ-I6,1,-,3,-,2,2,2,1,-,-
  , YF-6L1,-,1,3,-,1,2,1,-,-,-
  , ZAU-JW,1,-,5,1,-,1,-,-,-,-
 9NP-KR, 8B-SAJ,-,-,3,1,-,4,-,-,-,-
  , A-5F4A,1,1,3,-,1,2,2,-,-,-
  , C-9RRR,-,-,2,-,-,4,1,-,-,-
  , K-B8DK,2,-,-,-,1,1,1,-,-,-
  , K-Z0V4,3,-,2,1,1,2,1,1,-,-
  , L-6W1J,-,2,3,-,-,1,-,-,-,-
  , LNVW-K,1,1,3,1,-,3,2,-,-,-
  , P4-3TJ,-,2,4,-,1,3,-,-,-,-
  , Q2-N6W,1,-,1,2,2,3,-,-,-,-
  , W-IX39,1,-,3,1,-,3,1,-,-,-
 A-Z7C9, A-BO4V,-,2,2,1,1,2,-,2,-,-
  , GOP-GE,1,1,4,-,1,2,-,-,-,-
  , MKD-O8,-,2,5,-,-,1,-,1,-,-
  , SKR-SP,-,-,2,4,-,2,-,-,-,-
  , T8T-RA,1,-,3,-,1,2,-,1,-,-
  , V-3U8T,1,2,3,-,1,2,-,1,-,-
 F-RA63, BX2-ZX,3,1,3,-,1,3,-,-,-,-
  , C-7SBM,-,-,3,-,1,2,-,-,-,-
  , DS-LO3,-,1,3,1,1,3,-,-,-,-
  , RF-CN3,2,-,3,-,-,1,1,-,-,-
  , YW-SYT,1,-,4,1,2,2,2,-,-,-
