Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
02QH-A, 03-OR2,1,-,1,-,-,7,-,-,-,-
  , 5-MQQ7,-,-,3,-,1,5,-,-,-,-
  , 6-EQYE,1,-,1,-,-,5,2,-,-,-
  , JLO-Z3,-,1,3,-,1,3,2,-,-,-
  , LQ-OAI,1,1,3,1,2,2,-,-,-,-
  , U2-28D,-,-,5,-,2,4,1,1,-,-
 4YFT-F, 9PX2-F,-,1,3,-,-,3,1,-,-,-
  , F-5FDA,2,-,2,-,2,3,1,1,-,-
  , GN-PDU,-,1,3,-,1,3,1,-,-,-
  , N3-JBX,1,1,3,1,1,1,-,-,-,-
  , S1-XTL,-,-,4,-,-,3,1,-,-,-
  , SG-75T,1,1,2,-,-,6,-,-,-,-
 51ZT-6, ARG-3R,1,-,3,-,2,1,1,1,-,-
  , DE-A7P,3,-,1,-,1,3,-,-,-,-
  , EIN-QG,-,1,4,1,1,1,-,-,-,-
  , JMH-PT,2,1,2,-,1,1,1,-,-,-
  , K212-A,1,-,2,-,-,5,2,-,-,-
  , K7-LDX,1,-,1,1,-,1,1,-,-,-
  , P-N5N9,1,-,-,1,-,6,1,-,-,-
  , R-3FBU,1,1,6,1,2,1,2,-,-,-
  , S-E6ES,1,-,4,1,2,1,1,-,-,-
  , U-IVGH,2,1,3,-,-,2,-,-,-,-
  , X9V-15,1,-,4,1,-,3,-,-,-,-
 7VJ-7M, 4E-EZS,-,1,2,-,1,6,1,1,-,-
  , 8Q-T7B,-,1,3,-,1,-,1,-,-,-
  , A-80UA,-,-,4,-,2,2,1,-,-,-
  , C8-7AS,1,1,3,-,1,2,1,-,-,-
  , WV0D-1,-,1,3,-,1,3,1,-,-,-
  , ZNF-OK,-,-,2,1,1,1,2,2,-,-
 CN5-F2, 1-7HVI,1,-,-,-,1,2,-,1,-,-
  , 3S-6VU,-,1,3,-,1,1,1,-,-,-
  , 4-43BW,2,-,3,1,-,2,1,-,-,-
  , 8CN-CH,2,-,1,-,-,2,-,1,-,-
  , OX-S7P,-,-,3,-,-,3,-,-,-,-
  , V-F6DQ,1,-,4,-,1,5,1,-,-,-
 DITJ-X, 1QZ-Y9,-,2,3,-,-,4,-,-,-,-
  , 4-CM8I,-,-,4,1,1,1,2,-,-,-
  , B-1UJC,2,-,2,-,1,3,-,1,-,-
  , Q-NA5H,3,-,3,1,-,4,-,-,-,-
  , Q4C-S5,1,-,4,-,1,1,1,-,-,-
  , ZDB-HT,2,-,3,-,1,4,1,-,-,-
 ENP-SH, 1V-LI2,1,-,-,1,1,1,-,-,-,-
  , 2-KPW6,1,-,5,-,-,4,-,-,-,-
  , LBC-AW,1,-,2,1,2,3,-,-,-,-
  , M9-MLR,1,-,2,1,1,-,1,-,-,-
  , OAQY-M,1,1,5,-,-,2,-,-,-,-
  , Q-K2T7,2,2,3,-,-,1,1,-,-,-
  , XV-MWG,1,-,3,-,1,4,1,1,-,-
 P-I9PF, AZ3F-N,-,1,2,-,1,1,1,-,-,-
  , ER2O-Y,5,-,2,-,-,3,-,-,-,-
  , FYD-TO,1,1,3,-,1,1,2,-,-,-
  , J2-PZ6,-,1,3,-,2,3,-,-,-,-
  , RNM-Y6,3,-,4,-,1,1,1,-,-,-
  , V-KDY2,1,-,2,1,1,1,1,-,-,-
 QI1M-Q, AH8-Q7,-,1,2,-,3,2,1,1,-,-
  , F2-NXA,-,-,1,2,3,-,1,-,-,-
  , NSBE-L,2,-,1,-,-,3,1,-,-,-
  , SD4A-2,2,1,2,-,1,3,-,-,-,-
  , U6K-RG,-,-,2,-,1,3,2,-,-,-
  , V-S9YY,1,1,2,-,2,2,2,-,-,-
 WQZ8-4, 28Y9-P,3,-,2,-,1,2,1,-,-,-
  , IAK-JW,-,-,4,-,1,2,2,-,-,-
  , KZFV-4,1,-,2,1,-,3,4,-,-,-
  , RYC-19,-,-,1,2,1,3,1,-,-,-
  , WO-GC0,1,-,3,-,-,1,2,-,-,-
  , X2-ZA5,-,-,3,-,1,1,2,-,-,-
 Y-M7ML, G15Z-W,-,1,3,-,-,2,2,-,-,-
  , H5N-V7,-,-,2,3,3,3,-,1,-,-
  , HQ-Q1Q,-,-,2,-,2,5,-,-,-,-
  , I-1B7X,-,-,5,-,1,4,2,-,-,-
  , WHI-61,1,1,3,-,1,2,-,-,-,-
  , ZFJH-T,-,1,2,-,-,3,1,-,-,-
 YCM-AI, 6-KPAB,-,-,3,1,1,2,1,-,-,-
  , 71-UTX,2,-,1,-,-,4,-,-,-,-
  , 9BC-EB,2,-,2,-,1,5,-,-,-,-
  , 9M-M0P,-,1,3,-,1,3,1,-,-,-
  , HJ-BCH,2,-,4,-,2,3,-,1,-,-
  , PU-UMM,3,-,1,1,2,2,-,-,-,-
  , QPTT-F,-,-,5,-,1,4,-,-,-,-
  , WFFE-4,2,-,-,-,1,2,3,1,-,-
  , Y5-E1U,-,1,3,-,-,1,2,-,-,-
