Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Aeman, Lamadent,1,-,-,-,1,3,-,1,-,-
  , Miroitem,1,-,3,-,-,3,1,1,-,-
  , Otou,-,2,4,-,-,1,1,-,-,-
  , Rancer,-,-,4,-,2,-,-,1,-,-
  , Rorsins,-,-,2,1,-,1,1,-,-,-
  , Thelan,-,-,2,1,-,4,1,-,-,-
 Agiesseson, Adiere,1,1,3,-,-,5,-,-,-,-
  , Auberulle,1,-,-,-,2,5,-,-,-,-
  , Claysson,1,1,3,1,1,1,1,1,-,-
  , Doussivitte,2,-,2,-,2,4,-,-,-,-
  , Oirtlair,6,-,1,-,-,1,-,-,-,-
  , Olelon,2,-,-,-,-,6,-,-,-,-
  , Stetille,2,1,2,1,-,1,2,-,-,-
  , Unel,2,2,4,-,-,3,-,-,-,-
 Algintal, Alsottobier,-,1,3,-,1,2,1,-,-,-
  , Audaerne,-,1,5,1,2,1,-,-,-,-
  , Augnais,1,1,3,-,1,2,2,-,-,-
  , Barmalie,4,-,2,-,1,2,1,-,-,-
  , Colelie,1,-,2,-,1,4,2,-,-,-
  , Deltole,2,-,2,1,1,4,-,-,-,-
  , Fluekele,-,-,3,1,1,1,-,-,-,-
  , Jolia,2,-,1,-,-,3,1,1,-,-
  , Parchanier,1,-,3,-,2,1,-,-,-,-
 Ambrye, Ainaille,1,-,-,-,1,3,2,-,-,-
  , Caretyn,-,-,2,-,2,3,-,-,-,-
  , Fricoure,3,1,3,-,1,3,-,-,-,-
  , Mirilene,-,1,3,-,2,2,1,-,-,-
  , Pucherie,-,1,3,-,1,4,-,-,-,-
  , Trossere,2,-,-,-,-,6,-,-,-,-
  , Vittenyn,2,1,3,-,1,-,-,-,-,-
 Coriault, Agrallarier,1,-,4,1,2,-,-,-,-,-
  , Aunia,-,1,1,-,-,2,-,-,-,-
  , Auvergne,-,-,3,-,-,2,3,-,-,-
  , Botane,1,1,2,-,-,3,-,-,-,-
  , Dodixie,1,-,4,-,1,3,1,-,-,-
