Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
Braille, Aimoguier,3,-,-,-,1,3,2,-,-,-
  , Anckee,2,-,3,-,1,-,-,-,-,-
  , Cadelanne,1,-,2,-,2,2,1,-,-,-
  , Conomette,-,1,2,-,-,2,-,-,-,-
  , Elore,1,-,2,-,2,-,1,1,-,-
  , Meunvon,-,-,3,-,1,-,2,1,-,-
  , Vevelonel,2,-,3,-,1,3,-,1,-,-
  , Yveve,1,1,4,-,1,-,-,-,-,-
 Elerelle, Agaullores,-,-,4,-,-,2,-,-,-,-
  , Arittant,-,1,3,1,-,4,1,-,-,-
  , Babirmoult,-,2,3,2,-,2,1,-,-,-
  , Faurulle,1,-,3,-,1,2,2,-,-,-
  , Hare,-,1,3,-,-,4,3,-,-,-
  , Heluene,2,-,-,-,-,5,3,-,-,-
  , Ogaria,2,-,3,-,-,1,-,-,-,-
  , Oruse,1,-,3,-,-,1,-,-,-,-
 Elose, Boystin,-,1,4,-,-,-,1,-,-,-
  , Lour,2,-,4,-,-,3,-,-,-,-
  , Maire,-,1,3,-,1,2,-,-,-,-
  , Octanneve,2,-,-,-,1,2,1,-,-,-
  , Oerse,1,1,3,-,-,4,-,-,-,-
  , Pertnineere,1,-,2,1,1,3,-,-,-,-
 Goins, Arasare,2,-,1,1,-,3,-,-,-,-
  , Lazer,1,-,3,-,1,7,-,-,-,-
  , Stoure,3,1,2,-,-,2,-,1,-,-
  , Vecodie,-,2,3,1,1,3,-,-,-,-
  , Yvaeroure,1,1,4,-,-,8,-,-,-,-
  , Yvelet,2,2,2,-,-,3,-,-,-,-
 Mobrault, Eggheron,2,-,2,-,-,3,1,-,-,-
  , Ondree,1,2,2,-,1,3,-,-,-,-
  , Pochelympe,2,-,2,1,-,4,-,-,-,-
  , Ratillose,-,-,4,-,1,1,-,-,-,-
  , Straloin,2,1,3,1,-,5,-,-,-,-
  , Toustain,-,-,3,1,1,1,1,1,-,-
 Orvanne, Aeter,-,-,4,-,-,2,1,-,-,-
  , Gererique,3,-,2,-,1,-,-,-,-,-
  , Harner,-,-,1,-,-,2,-,-,-,-
  , Larryn,3,-,2,-,2,1,-,1,-,-
  , Niballe,-,1,2,-,1,2,1,2,-,-
  , Odinesyn,1,-,2,1,-,5,-,-,-,-
  , Postouvin,1,-,3,-,-,3,-,-,-,-
  , Sarline,-,-,4,-,1,3,-,1,-,-
  , Weraroix,1,-,4,-,-,2,-,-,-,-
