Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
41JS-R, 32-GI9,1,-,3,1,-,5,-,-,-,-
  , 4J-ZC9,1,2,3,-,1,-,2,-,-,-
  , 9RQ-L8,-,1,4,2,-,3,-,-,-,-
  , IP-MVJ,-,2,3,-,-,2,-,-,-,-
  , Q-Q2S6,2,-,3,-,2,3,1,1,-,-
  , TG-Z23,-,1,4,-,1,1,-,-,-,-
  , WHG2-7,-,1,2,-,2,-,-,-,-,-
 5VN-B7, 0Y1-M7,1,-,3,-,1,-,1,2,-,-
  , DSS-EZ,2,-,2,-,1,2,-,1,-,-
  , E-C0SR,-,-,2,3,-,3,-,-,-,-
  , LGK-VP,-,-,3,-,-,3,-,-,-,-
  , MB4D-4,1,-,1,1,1,3,-,-,-,-
  , VTGN-U,2,-,2,1,-,3,1,-,-,-
  , X1E-OQ,-,-,3,2,1,1,2,-,-,-
 H-QXM7, 8O-OSG,1,-,2,-,-,3,1,1,-,-
  , 8ZO-CK,-,1,2,-,-,5,1,-,-,-
  , GDO-7H,-,1,2,-,-,1,3,-,-,-
  , L0AD-B,1,-,3,1,-,2,1,-,-,-
  , NZG-LF,-,-,4,-,-,3,1,-,-,-
  , UJM-RD,2,1,3,-,-,3,1,-,-,-
  , WEQT-K,-,1,-,-,-,1,-,-,-,-
 H26A-B, 57M7-W,2,-,3,-,1,1,1,-,-,-
  , 7R5-7R,-,-,3,1,-,4,-,-,-,-
  , G-ME2K,-,-,2,1,2,3,-,1,-,-
  , HM-UVD,-,-,2,-,-,5,2,-,-,-
  , WNS-7J,1,-,3,-,1,1,-,-,-,-
  , Y1-UQ2,1,-,3,-,2,3,1,-,-,-
 JG-ZLG, 6Y-0TW,1,1,-,-,-,1,-,-,-,-
  , B-G1LG,-,1,4,-,2,2,1,-,-,-
  , E7-WSY,-,1,3,-,1,1,-,-,-,-
  , F-TVAP,1,-,2,1,1,1,-,1,-,-
  , TL-T9Z,-,1,3,-,1,4,-,-,-,-
  , X5O1-L,1,-,2,1,1,2,1,-,-,-
 Q4IG-S, 0-7XA8,-,-,4,1,1,2,1,-,-,-
  , KP-FQ1,-,1,2,-,-,-,2,-,-,-
  , QM-O7J,2,-,4,1,1,1,1,1,-,-
  , RLDS-R,-,-,-,-,2,2,2,-,-,-
  , RV5-DW,1,-,1,-,-,4,1,-,-,-
  , UKYS-5,2,-,-,2,-,1,1,-,-,-
 QO-17V, 0G-A25,1,-,4,-,1,2,1,-,-,-
  , 8KQR-O,2,-,2,-,-,4,1,1,-,-
  , F9SX-1,-,-,3,-,1,3,1,-,-,-
  , S91-TI,-,1,5,-,-,2,-,-,-,-
  , V1V-6F,1,-,3,-,-,1,1,-,-,-
  , WJO0-G,1,-,-,-,-,5,-,-,-,-
 R-IZDC, 0T-LIB,2,1,3,-,1,-,1,-,-,-
  , DK6W-I,1,-,1,-,1,2,1,-,-,-
  , F7-ICZ,1,-,-,-,1,5,-,-,-,-
  , NRT4-U,-,-,4,-,1,3,-,1,-,-
  , T-NNJZ,1,-,4,2,1,3,-,-,-,-
  , XFBE-T,1,-,-,-,-,-,-,-,-,-
  , Z-6YQC,1,1,3,-,-,2,-,-,-,-
 SB3-IH, EAWE-2,-,1,2,-,1,-,-,1,1,-
  , I-3FET,1,2,3,-,1,2,-,-,-,-
  , QCKK-T,1,-,2,1,2,2,1,-,-,-
  , RP-H66,-,1,3,1,2,-,-,1,-,-
  , RRWI-5,-,-,4,1,1,1,2,-,-,-
  , Y-4U62,-,-,2,-,-,4,1,1,-,-
 T-L301, 1H-I12,1,-,3,2,1,1,-,-,-,-
  , 4A-XJ6,1,-,-,1,3,2,1,-,-,-
  , 7-X3RN,1,1,3,-,1,2,-,-,-,-
  , 9O-ZTS,2,-,-,-,1,-,-,-,-,-
  , BF-FVB,-,-,4,-,1,3,1,-,-,-
  , D9D-GD,-,-,3,1,-,3,-,-,-,-
  , GU-54G,2,-,1,-,2,3,-,-,-,-
 U7L-MQ, 2-V0KY,2,1,4,-,-,3,-,-,-,-
  , 2IGP-1,-,1,-,-,-,-,-,-,-,-
  , 4GQ-XQ,4,-,3,1,1,5,1,-,-,-
  , 9U6-SV,1,-,1,-,2,3,2,-,-,-
  , GDEW-0,2,-,1,2,1,1,1,-,-,-
  , PSJ-10,-,-,3,1,-,2,3,-,-,-
  , R8-5XF,1,1,2,-,-,2,1,-,-,-
  , U-WLT9,-,1,3,-,2,1,-,-,-,-
  , Z2-QQP,2,1,1,-,-,3,4,-,-,-
  , ZG8Q-N,-,-,3,1,3,3,-,1,-,-
 V-H3V0, DABV-N,2,1,3,-,1,2,1,1,-,-
  , DP-2WP,-,1,3,-,-,-,1,-,-,-
  , I-ME3L,-,1,5,1,-,1,-,-,-,-
  , J-AYLV,1,-,4,-,-,1,-,-,-,-
  , LB0-A1,1,2,3,-,1,1,1,-,-,-
  , MMR-LZ,1,-,2,2,3,2,-,-,-,-
  , S-BWWQ,-,1,4,-,-,2,-,-,-,-
  , T-8UOF,1,1,4,-,1,6,-,-,-,-
  , T7-JNB,3,-,3,-,1,-,-,-,-,-
  , YE17-R,-,1,4,-,-,2,2,-,-,-
  , Z-R96X,4,-,1,-,-,3,-,-,-,-
  , ZH-KEV,-,1,3,-,1,2,2,1,-,-
 VH1-NS, 42-UOW,-,-,-,1,2,2,-,1,-,-
  , A4UG-O,-,-,3,-,-,3,1,1,-,-
  , CBGG-0,4,-,2,1,1,1,-,-,-,-
  , S-DLKC,-,-,5,-,-,2,1,-,-,-
  , U2-BJ2,1,-,3,-,1,4,1,2,-,-
  , W-VXL9,1,-,2,-,-,2,-,-,-,-
 W-ULNA, 6QBH-S,-,2,3,-,-,-,1,-,-,-
  , CJF-1P,1,1,3,-,-,3,-,-,-,-
  , L6B-0N,2,1,3,-,1,2,-,-,-,-
  , LC-1ED,-,-,3,1,1,3,1,-,-,-
  , RPS-0K,2,-,3,-,1,1,3,-,-,-
  , U6-FCE,3,-,2,-,2,3,-,-,-,-
  , VNPF-7,1,-,2,1,1,1,-,-,-,-
  , Z-XMUC,1,-,5,-,1,1,2,-,-,-
 WF-OP4, 1H4V-O,1,-,1,-,1,4,1,-,-,-
  , 2B-3M4,1,1,4,3,2,2,1,1,-,-
  , 5J-UEX,1,-,1,-,1,2,-,-,-,-
  , A-DZA8,-,-,4,-,2,3,-,-,-,-
  , A-XASO,2,1,2,-,-,2,-,-,-,-
  , JVJ2-N,1,-,4,-,-,3,-,-,-,-
  , LGL-SD,-,-,3,1,-,1,2,-,-,-
  , O-CT8N,-,1,5,-,-,3,-,-,-,-
 XJ-0RG, 37S-KO,-,1,3,-,4,1,-,-,-,-
  , 40GX-P,-,-,4,-,1,1,1,-,-,-
  , 4J9-DK,1,-,2,-,2,3,1,-,-,-
  , A-GPTM,-,2,2,-,1,2,2,-,-,-
  , HQ-TDJ,1,1,4,1,1,1,-,-,-,-
  , WBLF-0,-,1,4,-,2,1,-,-,-,-
 Y-2D6Q, 0GN-VO,1,-,4,-,1,2,2,-,-,-
  , FV-SE8,-,-,3,2,4,1,-,-,-,-
  , FZSW-Y,-,-,4,-,1,4,-,-,-,-
  , JS-E8E,-,-,3,1,-,4,2,1,-,-
  , O5Y3-W,1,1,3,-,1,-,-,1,-,-
