Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
2-M6DE, 6-CZ49,-,1,3,-,-,2,-,1,-,-
  , 8-JYPM,-,1,4,-,-,1,1,1,-,-
  , EZA-FM,-,-,3,1,-,2,1,-,-,-
  , JH-M2W,1,1,3,-,-,1,-,-,-,-
  , M2-CF1,1,1,2,1,-,5,-,-,-,-
  , PVH8-0,-,1,4,1,1,2,-,1,-,-
 49A-BZ, 0LTQ-C,1,1,2,-,-,2,1,-,-,-
  , 2P-4LS,1,1,2,1,2,3,-,-,-,-
  , 31-MLU,3,-,1,-,-,4,1,1,-,-
  , A-SJ8X,2,-,3,-,1,2,-,-,-,-
  , A9D-R0,1,1,3,-,-,2,-,-,-,-
  , BMNV-P,2,1,3,-,2,1,2,1,-,-
  , BY-S36,1,-,3,-,-,4,-,-,-,-
  , LSC4-P,-,2,4,1,-,1,1,-,-,-
  , RF-GGF,2,-,1,2,-,2,2,-,-,-
 59H-0G, 5-VKCN,-,-,5,1,1,1,1,-,-,-
  , 5KS-AB,-,1,3,-,-,2,-,-,-,-
  , D85-VD,3,-,2,-,-,3,-,-,-,-
  , KFR-ZE,1,-,2,-,-,3,1,-,-,-
  , KLYN-8,-,-,3,1,1,2,1,-,-,-
  , U0V6-T,-,-,4,-,-,5,-,-,-,-
  , Y-W6GF,2,1,2,-,-,4,1,-,-,-
 6-V49K, 3-IN0V,2,1,3,-,-,-,1,-,-,-
  , D-B7YK,-,1,3,1,1,1,-,-,-,-
  , DUV-5Y,-,1,3,-,1,1,2,-,-,-
  , EF-F36,-,-,1,-,1,4,1,-,-,-
  , GRNJ-3,2,1,4,-,-,3,1,-,-,-
  , Z-QENW,1,-,2,-,1,2,2,-,-,-
 DS-M4Q, 0EK-NJ,1,-,1,-,1,2,2,-,-,-
  , 1-NKVT,2,-,2,1,1,4,1,-,-,-
  , AAS-8R,-,1,4,-,1,1,-,-,-,-
  , KTHT-O,-,1,4,-,-,3,2,-,-,-
  , PFP-GU,-,-,1,-,1,2,-,-,-,-
  , QWF-6P,-,-,3,1,-,2,-,1,-,-
