Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
09-4XW, 1QH-0K,-,1,3,-,-,3,1,1,-,-
  , I1-BE8,-,-,4,1,2,5,-,-,-,-
  , W8O-19,1,-,2,-,1,2,-,-,-,-
  , ZH3-BS,1,-,3,1,1,3,-,-,-,-
  , ZJ-QOO,1,-,1,-,1,1,-,-,-,-
  , ZXA-V6,3,-,2,1,-,1,3,1,-,-
 1D-65L, 2-3Q2G,-,1,3,-,1,1,-,-,-,-
  , JSI-LL,1,-,1,-,-,5,-,-,-,-
  , M-UC0S,1,-,1,1,2,2,1,-,-,-
  , Q1U-IU,1,2,2,1,1,3,-,-,-,-
  , SY0W-2,-,-,3,-,1,2,-,1,-,-
  , V7-MID,1,-,4,-,1,2,1,-,-,-
 2-ZRM0, A-1IJ9,2,-,1,-,-,-,-,-,-,-
  , A1RR-M,1,-,3,1,3,2,1,1,-,-
  , AR-5SY,-,1,3,1,-,2,1,-,-,-
  , GW7P-8,1,1,3,-,2,2,1,-,-,-
  , OE-4HB,2,-,2,-,-,1,1,-,-,-
  , SF-XJS,1,1,4,-,1,2,1,1,-,-
  , Y-YHZQ,-,-,4,-,-,1,1,2,-,-
  , Z-SR1I,2,-,2,1,-,3,-,-,-,-
 9P57-V, 1BWK-S,-,-,3,-,-,4,1,-,-,-
  , KMV-CQ,2,-,1,3,3,3,-,-,-,-
  , NV-3KA,1,-,3,1,-,2,2,1,-,-
  , RKE-CP,2,-,-,-,4,2,-,-,-,-
  , S-1LIO,-,-,1,-,-,1,-,-,-,-
  , U1TX-A,1,-,3,-,-,1,-,-,-,-
 E-72A3, 3-QYVE,-,-,3,-,2,4,1,-,-,-
  , 7D-PAT,2,-,3,-,1,4,-,-,-,-
  , C-XNUA,1,1,2,-,1,3,-,-,-,-
  , P-UCRP,3,-,2,-,-,3,-,-,-,-
  , T-K10W,1,-,2,2,1,3,-,-,-,-
  , V-LDEJ,2,-,1,-,1,1,2,-,-,-
 GFE-SS, 0M-103,-,-,2,1,1,5,2,-,-,-
  , 6OYQ-Z,-,-,3,-,-,4,1,-,-,-
  , DCJ-ZT,2,1,3,-,-,2,-,-,-,-
  , HE5T-A,-,-,-,1,-,2,1,1,-,-
  , O36A-P,1,1,2,-,1,-,1,1,-,-
  , Z-LO6I,-,1,2,1,1,2,2,-,-,-
 M-J57M, 0-UVHJ,1,-,3,2,1,2,-,-,-,-
  , 3DR-CR,1,-,2,-,2,2,-,-,-,-
  , EOY-BG,2,-,1,-,-,2,-,-,-,-
  , H1-ESN,1,-,1,1,1,2,-,2,-,-
  , IG-ZAM,1,-,4,-,1,3,1,-,-,-
  , NCG-PW,-,-,1,1,1,5,2,-,-,-
  , PNS7-J,-,-,4,-,-,2,2,-,-,-
  , RLTG-3,1,1,4,-,1,1,-,-,-,-
  , S-EVIQ,1,-,-,1,1,2,2,-,-,-
 O-EOI9, EN-GTB,1,-,3,-,1,1,1,-,-,-
  , JI-1UQ,1,1,2,-,-,3,-,-,-,-
  , MZPH-W,1,-,1,1,-,2,-,-,-,-
  , U5-XW7,1,-,-,1,2,1,-,-,-,-
  , W0X-MG,-,1,3,-,-,2,1,-,-,-
  , ZK-YQ3,-,-,4,-,1,1,-,-,-,-
 TJ10-O, 30-D5G,1,-,2,-,-,2,3,-,-,-
  , 5-O8B1,-,-,2,-,-,2,1,-,-,-
  , HB-FSO,-,-,2,-,2,3,1,1,-,-
  , J1-KJP,-,1,2,1,1,2,1,-,-,-
  , KW-1MV,1,1,3,-,-,3,-,1,-,-
  , R-YWID,2,1,2,-,-,2,2,-,-,-
  , S-KSWL,3,-,2,1,-,2,1,-,-,-
 X-FHU3, 33CE-7,1,1,3,-,1,3,-,-,-,-
  , 6-AOLS,1,-,3,1,2,1,1,1,-,-
  , G06-8Y,1,1,2,-,3,2,1,-,-,-
  , IKTD-P,-,1,3,1,-,3,-,1,-,-
  , L-P3XM,-,1,3,-,-,3,1,-,-,-
  , SZ6-TA,-,1,2,-,2,1,-,1,-,-
  , U-O2DA,1,-,2,-,1,4,-,-,-,-
  , WV-0R2,2,1,1,-,-,2,-,-,-,-
