Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
50-5UD, 16AM-3,1,-,3,-,-,5,-,-,-,-
  , A-REKV,-,-,-,1,1,2,-,-,-,-
  , B8HU-Z,1,-,5,1,1,1,1,-,-,-
  , BB-EKF,-,1,3,-,1,6,-,-,-,-
  , Q0G-L8,1,-,3,1,1,1,-,-,-,-
  , Q5KZ-W,1,1,2,1,2,-,-,-,-,-
  , WE-KK2,-,2,2,-,4,2,-,-,-,-
 6I-3VX, 0P-U0Q,-,1,2,-,1,2,1,-,-,-
  , 7KIK-H,-,-,-,-,-,6,-,-,-,-
  , B-6STA,1,2,2,-,-,3,2,-,-,-
  , G-D0N3,2,1,4,-,1,1,-,-,-,-
  , T-AKQZ,1,-,3,1,3,5,-,-,-,-
  , XGH-SH,-,1,4,-,1,2,1,-,-,-
 AU-S0B, 4-P4FE,1,-,2,-,-,3,-,-,-,-
  , 78R-PI,1,1,4,1,1,2,-,-,-,-
  , D-9UEV,1,2,2,-,1,2,2,-,-,-
  , H-HWQR,1,-,4,-,2,2,1,-,-,-
  , QRBN-M,1,-,2,1,-,4,1,-,-,-
  , RH0-EG,-,-,4,-,1,4,1,1,-,-
 BZZ-1U, 3Q1T-O,1,-,2,1,2,3,1,-,-,-
  , 8-4KME,1,-,3,1,1,3,-,-,-,-
  , F-ZBO0,-,1,3,-,1,3,1,1,-,-
  , NR8S-Y,-,1,5,-,-,1,-,1,-,-
  , R1-IMO,1,-,1,-,1,5,-,-,-,-
  , T6GY-Y,2,1,2,-,-,3,2,-,-,-
 CL-QB2, C-FD0D,1,-,4,-,1,1,-,-,-,-
  , FE-6YQ,-,1,3,1,1,1,1,-,-,-
  , M-4KDB,-,-,4,-,1,1,1,-,-,-
  , S-9RCJ,-,-,4,1,1,2,1,-,-,-
  , W-16DY,-,-,4,-,1,3,1,-,-,-
  , ZD1-Z2,1,1,3,-,-,4,2,-,-,-
  , ZMV9-A,1,1,3,1,1,-,1,-,-,-
 E-IFSA, 2PG-KN,1,-,4,-,2,3,-,-,-,-
  , 4-IT9G,1,2,3,-,-,3,1,-,-,-
  , 9-MJVQ,-,1,3,1,-,2,-,-,-,-
  , C3-0YD,1,-,3,1,-,3,-,-,-,-
  , L2GN-K,-,1,2,-,-,-,-,-,-,-
  , PDF-3Z,-,1,3,-,-,1,1,-,-,-
  , PEK-8Z,-,-,2,-,2,1,-,1,-,-
 EIX-HK, 5-NZNW,1,1,4,1,1,4,-,-,-,-
  , 7M4C-F,2,-,3,-,1,2,2,-,-,-
  , 8-BEW8,1,-,3,-,1,3,-,-,-,-
  , MS1-KJ,1,-,4,1,-,3,-,1,-,-
  , NZW-ZO,-,1,4,-,2,1,2,-,-,-
  , WSK-1A,1,-,4,-,1,2,-,-,-,-
  , Y-EQ0C,-,-,2,-,2,2,2,-,-,-
 F5-O9O, DZ6-I5,-,1,3,-,-,3,-,-,-,-
  , G1-0UI,-,1,3,1,1,1,1,-,-,-
  , OQTY-Z,1,1,4,1,1,1,-,-,-,-
  , QCDG-H,-,-,1,2,-,6,-,-,-,-
  , QLU-P0,-,-,3,1,-,3,1,-,-,-
  , R-XDKM,1,-,-,-,1,1,-,1,-,-
  , XUDX-A,-,-,2,1,1,3,3,-,-,-
 G3IP-E, 0VK-43,1,-,3,-,1,4,-,-,-,-
  , CCE-0J,-,1,3,-,-,1,1,-,-,-
  , JI1-SY,-,-,4,-,-,5,1,-,-,-
  , T2-V8F,1,1,1,-,2,2,-,-,-,-
  , TY2X-C,1,-,-,-,1,5,1,-,-,-
  , X-1QGA,-,-,2,1,1,3,-,1,-,-
 QP6B-I, 3L3N-X,2,2,4,-,1,1,-,-,-,-
  , 6-IAFR,-,-,3,-,-,6,1,-,-,-
  , BW-WJ2,1,-,3,-,-,2,1,-,-,-
  , DT-PXH,2,-,2,1,1,2,1,-,-,-
  , S4-9DN,-,1,6,-,-,2,-,-,-,-
  , UALX-3,3,-,1,-,-,3,1,-,-,-
  , WB-AYY,1,-,5,-,1,-,-,-,-,-
  , Y-ORBJ,1,1,3,-,2,3,-,-,-,-
 W-3E44, 46DP-O,3,1,2,1,1,1,-,1,-,-
  , 9-980U,4,-,3,1,-,2,1,-,-,-
  , EMIG-F,-,-,4,-,-,3,-,1,-,-
  , JV1V-O,2,-,-,-,1,3,-,-,-,-
  , M-RPN3,-,2,2,-,-,3,-,-,-,-
  , ZO-P5K,1,1,4,1,2,2,-,1,-,-
 ZQ7-QS, ABE-M2,1,-,2,1,2,1,2,-,-,-
  , EQWO-Y,-,1,3,-,1,3,2,-,-,-
  , IL-YTR,1,-,1,3,2,1,1,-,-,-
  , JK-Q77,1,1,3,-,1,-,1,-,-,-
  , KW-OAM,-,-,4,1,2,4,1,-,-,-
  , QI9-42,-,-,3,-,-,1,-,-,-,-
  , U2U5-A,-,1,3,-,1,1,2,-,-,-
  , YF-P4X,2,-,1,-,1,1,1,-,-,-
