Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Ichida, Hakodan,-,-,2,-,1,2,2,-,-,-
  , Hatori,-,-,2,2,-,6,1,-,-,-
  , Jarkkolen,2,1,3,-,1,2,-,-,-,-
  , Junsen,1,-,1,1,-,2,-,-,-,-
  , Malpara,-,-,1,-,1,4,-,-,-,-
  , Ronne,2,1,2,-,-,-,1,-,-,-
 Ohvarainen, Ayeroilen,1,-,4,1,1,4,-,1,-,-
  , Furskeshin,-,1,5,-,1,3,-,-,-,-
  , Imata,1,-,1,-,2,2,2,1,-,-
  , Komaa,-,-,3,-,1,2,1,-,-,-
  , Kurmaru,3,-,-,1,1,1,1,-,-,-
  , Satalama,-,1,-,-,-,1,-,-,-,-
 Sasen, Huola,1,-,3,1,3,4,1,-,-,-
  , Kamela,2,-,-,-,1,3,3,-,-,-
  , Kourmonen,-,1,3,-,-,1,-,-,-,-
  , Kuomi,-,-,4,-,2,1,1,-,-,-
  , Lamaa,-,-,3,-,1,4,1,-,-,-
  , Otelen,1,1,3,1,-,4,1,-,-,-
  , Tuomuta,2,-,1,1,-,2,3,-,-,-
 Tandoiras, Haras,-,1,3,-,1,3,1,1,-,-
  , Kurniainen,-,-,3,-,2,3,3,1,-,-
  , Oyonata,1,-,2,-,4,1,-,-,-,-
  , Sahtogas,-,-,3,-,1,2,-,-,-,-
  , Saidusairos,2,-,3,-,-,4,1,-,-,-
  , Tannakan,1,-,2,-,1,5,-,1,-,-
 Vaarma, Anka,1,2,5,-,-,2,-,-,-,-
  , Erkinen,5,-,2,2,1,4,-,-,-,-
  , Gammel,-,-,4,1,1,4,-,1,-,-
  , Iesa,1,2,2,-,-,2,-,-,-,-
  , Myyhera,1,-,4,-,1,1,2,-,-,-
  , Netsalakka,1,-,2,-,1,5,3,-,-,-
  , Saikamon,-,1,2,-,-,3,-,-,-,-
  , Sasiekko,2,-,-,-,-,2,1,-,-,-
  , Sosala,1,-,1,1,1,2,-,-,-,-
  , Uusanen,2,-,-,-,-,1,3,-,-,-
