Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Arekin, Ahynada,2,-,-,-,3,3,-,-,-,-
  , Aikoro,1,-,1,-,1,3,2,-,-,-
  , Alikara,1,-,4,-,1,3,1,-,-,-
  , Kaimon,2,1,-,-,-,1,1,-,-,-
  , Kausaaja,1,1,4,-,1,2,2,-,-,-
  , Oiniken,2,1,5,-,1,2,-,-,-,-
 Caldari Border Zone, Hatakani,2,1,2,-,-,3,-,-,-,-
  , Iivinen,-,-,6,-,-,3,1,-,-,-
  , Kassigainen,-,1,1,-,-,2,1,-,-,-
  , Sivala,-,-,2,1,-,6,2,-,-,-
  , Tennen,1,-,2,-,1,3,1,-,-,-
  , Yashunen,1,-,1,-,1,4,2,-,-,-
 Ieyama, Hasama,-,-,3,-,1,1,1,1,-,-
  , Ishomilken,2,1,1,-,2,4,-,-,-,-
  , Manjonakko,-,-,2,1,1,2,-,-,-,-
  , Nikkishina,1,-,2,2,1,4,-,-,-,-
  , Usi,1,-,3,-,2,2,-,-,-,-
  , Uuna,-,-,3,-,-,2,1,-,-,-
 Imurukka, Eitu,-,1,3,-,-,2,2,-,-,-
  , Erila,2,-,-,2,1,3,1,-,-,-
  , Horkkisen,2,-,2,1,1,9,1,2,-,-
  , Inoue,-,1,4,-,1,4,-,1,-,-
  , Isaziwa,1,-,4,3,1,3,1,-,-,-
 Isoma, Eranakko,-,-,2,-,-,2,1,-,-,-
  , Hasmijaala,-,1,3,1,1,5,-,-,-,-
  , Nagamanen,-,1,2,1,2,6,-,-,-,-
  , Onatoh,-,-,3,-,2,2,-,1,-,-
  , Oto,2,-,1,-,3,3,1,-,-,-
  , Sujarento,1,-,3,1,1,1,1,1,-,-
  , Tama,1,-,3,1,1,3,-,-,-,-
  , Tannolen,2,-,2,-,1,2,-,3,-,-
 Kantanen, Enderailen,-,1,5,-,1,-,2,-,-,-
  , Hogimo,-,-,3,-,-,3,1,-,-,-
  , Huttaken,3,-,-,2,1,1,-,-,-,-
  , Kubinen,1,1,3,-,1,3,1,-,-,-
  , Kulelen,-,-,2,-,2,1,-,2,-,-
  , Rairomon,2,-,-,1,1,3,2,2,-,-
  , Uedama,3,-,2,-,1,3,1,-,-,-
 Nagaslaiken, Auviken,2,-,2,-,2,1,-,-,-,-
  , Jeras,-,-,1,1,1,2,2,-,-,-
  , Kakki,2,-,4,-,1,1,-,-,-,-
  , Ohvosamon,-,3,2,1,-,2,-,-,-,-
  , Oijamon,1,-,4,-,-,1,-,-,-,-
  , Saikanen,-,1,2,-,1,-,1,-,-,-
 Otawasa, Hysera,-,1,3,1,-,2,2,-,-,-
  , Oisio,-,-,2,1,-,3,-,-,-,-
  , Oshaima,3,-,1,-,1,4,-,2,-,-
  , Venilen,1,-,4,-,-,4,2,1,-,-
  , Yria,-,1,3,-,1,1,-,-,-,-
 Outartoh, Annaro,3,-,2,-,1,3,-,1,-,-
  , Isutaka,2,-,1,-,1,1,-,-,-,-
  , Muvolailen,1,-,2,1,-,7,-,-,-,-
  , Ono,-,1,3,-,-,1,-,2,-,-
  , Paara,2,-,1,-,1,2,-,1,-,-
  , Tasabeshi,-,1,4,-,1,1,1,-,-,-
 Santenpaa, Aramachi,-,-,5,1,-,1,1,-,-,-
  , Isenairos,1,-,3,-,-,3,1,-,-,-
  , Laah,-,-,-,3,1,5,-,-,-,-
  , Motsu,1,-,3,-,1,3,-,-,-,-
  , Oichiya,-,1,3,-,2,2,-,-,-,-
  , Saila,-,1,2,-,1,4,-,-,-,-
  , Uotila,-,-,2,-,2,3,-,-,-,-
 Suon, Inari,-,-,3,-,-,6,1,1,-,-
  , Inaro,2,-,4,-,1,4,-,-,-,-
  , Irjunen,1,-,-,-,-,4,1,1,-,-
  , Kaaputenen,-,1,3,-,1,1,1,-,-,-
  , Sirppala,1,1,2,-,-,1,-,-,-,-
  , Waskisen,1,-,3,-,1,3,1,-,-,-
 Tasen, Anttiri,-,-,1,1,-,2,1,1,-,-
  , Haatomo,-,-,2,1,-,3,2,-,-,-
  , Isikesu,-,-,2,-,-,3,-,-,-,-
  , Juunigaishi,1,-,3,-,2,3,5,-,-,-
  , Kusomonmon,1,2,3,-,-,1,-,-,-,-
  , Suroken,2,1,3,-,-,5,-,-,-,-
 Uusasai, Halaima,-,-,2,-,-,5,2,-,-,-
  , Ikao,2,-,2,1,1,3,-,-,-,-
  , Kamio,-,1,3,-,1,2,2,-,-,-
  , Sankkasen,2,-,2,-,2,4,-,-,-,-
  , Santola,2,-,3,-,1,3,-,-,-,-
  , Tintoh,1,1,3,2,-,1,1,-,-,-
  , Waira,1,2,2,-,1,3,1,-,-,-
