Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
 Anttanen, Geras,1,1,2,1,1,5,-,-,-,-
  , Nomaa,-,-,3,-,-,4,-,-,-,-
  , Shihuken,1,-,1,-,1,4,-,1,-,-
  , Sirseshin,3,-,1,-,1,4,-,-,-,-
  , Tuuriainas,1,-,-,-,1,1,-,1,-,-
  , Uitra,2,-,1,2,-,4,-,-,-,-
  , Unpas,-,-,4,-,1,3,2,-,-,-
 Aulari, Airaken,2,1,3,-,-,1,1,-,-,-
  , Inaya,-,1,2,-,3,4,-,-,-,-
  , Korsiki,-,-,4,-,-,2,1,-,-,-
  , Nuken,-,2,3,1,1,4,1,-,-,-
  , Oijanen,2,-,5,2,1,-,-,1,-,-
  , Osmon,-,-,3,-,1,2,1,-,-,-
  , Uminas,-,-,2,2,1,1,-,-,-,-
  , Wuos,2,-,1,-,1,3,1,1,-,-
 Etsala, Hentogaira,-,-,3,-,-,2,-,-,-,-
  , Kiainti,1,-,2,2,1,3,-,1,-,-
  , Otsela,1,-,3,-,-,3,1,-,-,-
  , Vasala,1,-,3,-,1,2,-,1,-,-
  , Vouskiaho,-,-,6,-,-,1,1,-,-,-
  , Walvalin,-,1,4,1,-,4,2,-,-,-
 Ihatalo, Akora,-,1,3,-,-,5,1,-,-,-
  , Ikami,2,-,4,-,1,3,1,-,-,-
  , Maila,1,-,2,-,1,2,1,-,-,-
  , Messoya,-,1,2,-,1,4,-,1,-,-
  , Purjola,1,-,2,-,1,3,-,-,-,-
  , Reisen,1,1,3,-,-,2,-,-,-,-
 Ihilakken, Ansila,1,1,3,-,-,5,-,-,-,-
  , Aokannitoh,2,-,1,-,1,3,1,-,-,-
  , Eskunen,2,1,2,-,2,4,-,-,-,-
  , Hirtamon,1,-,3,1,-,1,1,1,-,-
  , Hykkota,-,1,3,-,-,1,1,-,-,-
  , Ikuchi,1,-,1,-,2,1,1,-,-,-
  , Ohmahailen,2,2,2,-,-,1,-,1,-,-
  , Outuni,1,-,5,1,1,2,1,1,-,-
 Kimotoro, Jita,1,1,2,-,1,3,-,-,-,-
  , Kisogo,2,-,-,-,4,-,2,1,-,-
  , Maurasi,-,1,5,-,1,2,2,1,-,-
  , New Caldari,3,-,-,1,-,1,-,-,-,-
  , Niyabainen,1,-,4,-,-,3,1,-,-,-
  , Perimeter,5,-,1,-,-,4,-,-,-,-
  , Urlen,1,-,1,-,2,3,2,-,-,-
 Mivora, Akkio,2,-,4,2,1,2,-,-,-,-
  , Fuskunen,-,1,4,-,-,2,-,1,-,-
  , Otosela,-,-,4,1,1,3,-,-,-,-
  , Paala,2,-,2,-,-,2,1,-,-,-
  , Tasti,2,1,3,1,-,1,1,-,-,-
  , Uemon,-,-,3,2,-,6,1,-,-,-
 Okkelen, Airmia,-,-,2,-,-,3,3,-,-,-
  , Friggi,1,1,3,-,1,2,1,-,-,-
  , Ihakana,-,-,2,1,1,5,-,-,-,-
  , Ishisomo,2,-,3,-,1,4,-,-,-,-
  , Otitoh,1,-,2,-,2,2,-,-,-,-
  , Otomainen,3,1,3,-,1,4,1,-,-,-
  , Sakkikainen,1,1,2,-,-,3,-,1,-,-
  , Vahunomi,-,-,2,1,-,5,2,-,-,-
 Okomon, Abagawa,1,1,3,-,2,1,1,-,-,-
  , Gekutami,1,1,2,-,1,1,2,-,-,-
  , Hampinen,2,-,1,1,-,4,-,-,-,-
  , Hurtoken,-,1,2,1,-,1,1,1,-,-
  , Jakanerva,-,1,2,-,-,3,1,-,-,-
  , Saisio,2,-,3,-,-,3,-,1,-,-
  , Uoyonen,1,-,1,2,1,3,2,-,-,-
 Onirvura, Josameto,-,-,2,-,-,6,1,-,-,-
  , Liekuri,-,-,3,-,-,3,1,-,-,-
  , Obanen,-,-,3,-,2,2,2,-,-,-
  , Olo,-,-,3,-,-,1,-,-,-,-
  , Poinen,-,1,5,-,-,1,1,-,-,-
 Orpana, Eruka,1,1,3,1,-,-,4,-,-,-
  , Mastakomon,-,-,2,2,1,4,3,-,-,-
  , Obe,1,-,-,-,1,3,1,-,-,-
  , Ohkunen,-,-,2,-,-,3,1,-,-,-
  , Osaa,-,-,2,1,1,3,-,-,-,-
  , Uchoshi,2,-,2,1,1,4,1,1,-,-
 Otsabaira, Akkilen,-,1,3,-,-,4,1,-,-,-
  , Keikaken,3,-,3,1,1,1,1,-,-,-
  , Onuse,2,1,3,-,1,1,-,-,-,-
  , Silen,2,1,2,-,-,-,-,-,-,-
  , Soshin,2,-,2,1,-,4,1,-,-,-
  , Ukkalen,1,-,1,2,2,2,1,-,-,-
  , Vattuolen,2,1,4,-,1,3,1,-,-,-
 Ruomo, Ahtulaima,-,-,2,-,1,6,1,1,-,-
  , Itamo,2,-,3,-,1,2,-,-,-,-
  , Jatate,-,-,2,-,1,1,-,-,-,-
  , Kylmabe,1,-,-,2,2,3,1,1,-,-
  , Mahtista,1,-,3,2,-,4,-,-,-,-
  , Mitsolen,-,2,2,-,-,2,1,1,-,-
  , Vaankalen,1,2,3,-,-,2,-,-,-,-
