Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
2O-VY7, A-YB15,3,-,1,1,2,3,-,-,-,-
  , AU2V-J,-,-,4,1,-,3,1,-,-,-
  , D-6PKO,1,-,4,-,1,1,2,1,-,-
  , QZX-L9,-,1,1,-,-,3,2,-,-,-
  , SG-3HY,-,-,4,-,1,2,1,-,-,-
  , SY-0AM,1,-,1,1,1,1,4,-,-,-
 2Q-8WA, 5-VFC6,1,-,4,2,-,4,1,-,-,-
  , 86L-9F,2,-,2,-,2,5,-,-,-,-
  , BZ-BCK,1,2,2,-,1,1,-,-,-,-
  , FB5U-I,1,-,3,-,1,2,-,-,-,-
  , IUU3-L,-,2,2,-,-,1,-,-,-,-
  , J-OAH2,-,-,3,-,2,2,-,2,-,-
  , O5-YNW,1,1,3,1,-,1,1,-,-,-
  , S-LHPJ,2,-,1,2,-,-,1,-,-,-
 3NA-Z1, BM-VYZ,-,1,4,-,-,-,1,-,-,-
  , EPCD-D,1,-,2,-,1,2,-,-,-,-
  , L-TLFU,-,-,2,1,1,2,2,-,-,-
  , MN9P-A,-,-,5,-,1,-,1,1,-,-
  , Q-GICU,-,-,4,-,1,7,-,-,-,-
  , RAI-0E,1,-,3,-,2,2,-,1,-,-
  , TA9T-P,1,-,2,-,1,3,-,-,-,-
 6-CBBM, 1-KCSA,2,-,4,-,-,2,-,-,-,-
  , F48K-D,5,-,2,-,-,1,-,-,-,-
  , JT2I-7,1,1,3,1,1,1,-,-,-,-
  , N-JK02,1,1,3,-,2,2,1,2,-,-
  , UDVW-O,1,1,3,-,1,-,-,-,-,-
  , UJXC-B,-,1,3,-,1,3,1,-,-,-
  , XTJ-5Q,2,-,3,2,-,2,-,-,-,-
 78-6RI, 6V-D0E,1,-,2,2,1,1,-,-,-,-
  , BVRQ-O,2,-,3,-,1,1,-,-,-,-
  , FBH-JN,1,-,3,-,-,5,1,1,-,-
  , LS3-HP,-,-,4,-,-,4,1,-,-,-
  , QX-4HO,-,-,2,-,1,2,-,-,-,-
  , SH6X-F,1,-,4,-,3,4,-,-,-,-
 8UD2-J, 1S-SU1,2,-,2,-,-,3,1,-,-,-
  , 42G-OB,-,1,3,-,-,2,-,-,-,-
  , G4-QU6,1,1,2,-,-,3,-,-,-,-
  , HD-HOZ,2,-,1,3,-,2,2,-,-,-
  , LEM-I1,1,1,4,1,1,-,-,-,-,-
  , ND-GL4,-,1,4,1,-,2,1,-,-,-
  , V2-GZS,-,1,4,-,-,3,-,-,-,-
 P-B2NE, BGMZ-0,3,-,2,-,1,1,-,-,-,-
  , FZX-PU,-,1,3,-,1,2,1,-,-,-
  , GQ-7SP,2,1,2,1,-,5,2,-,-,-
  , I2D3-5,-,2,3,-,-,2,-,-,-,-
  , O9K-FT,1,1,2,1,1,4,-,-,-,-
  , R1O-GN,-,-,2,-,-,1,3,-,-,-
  , RQOO-U,2,-,4,-,2,1,-,-,-,-
 S4S-SD, 0S1-GI,2,-,4,1,-,2,1,-,-,-
  , 74-DRC,1,-,2,1,1,2,4,1,-,-
  , B1UE-J,-,-,1,1,2,5,-,-,-,-
  , L-GY1B,1,-,1,1,1,3,1,-,-,-
  , LE-67X,1,-,3,-,1,2,2,-,-,-
  , M3-H2Y,1,-,-,1,-,1,1,-,-,-
  , O31W-6,4,-,2,1,1,4,-,-,-,-
 U-HSM3, 6FS-CZ,1,-,2,1,1,2,1,-,-,-
  , B3ZU-H,1,-,4,-,-,2,-,-,-,-
  , C3J0-O,1,1,1,-,-,2,2,-,-,-
  , G-KCFT,-,-,4,-,-,2,-,-,-,-
  , GSO-SR,2,1,2,-,1,2,-,1,-,-
  , H7S-5I,4,-,2,-,-,2,-,-,-,-
  , HPV-RJ,1,1,3,-,-,4,-,-,-,-
  , WNM-V0,3,-,-,-,2,2,1,-,-,-
 XPG-HE, 9-0QB7,3,-,1,-,-,3,1,-,-,-
  , HVGR-R,-,1,3,-,-,2,1,-,-,-
  , K76A-3,1,1,4,-,1,1,-,-,-,-
  , K95-9I,-,1,4,1,1,2,1,-,-,-
  , M-75WN,-,-,3,1,1,3,2,1,-,-
  , PNFW-O,1,3,3,-,-,2,-,-,-,-
