Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
3D-ROC, 0J-MQW,-,1,4,1,-,4,1,-,-,-
  , 3ET-G8,1,-,-,1,2,2,-,-,-,-
  , K-BBYU,-,1,4,-,1,2,1,-,-,-
  , N-PS2Y,2,-,3,1,3,-,-,-,-,-
  , T6T-BQ,1,-,2,-,1,4,-,-,-,-
  , XT-1E0,-,1,3,-,1,3,1,-,-,-
 4-0VL9, 4HF-4R,-,1,3,1,1,1,-,-,-,-
  , B6-XE8,-,1,3,-,1,3,3,-,-,-
  , DFTK-D,3,-,2,-,1,4,1,-,-,-
  , JLH-FN,-,-,2,-,-,2,1,-,-,-
  , L7-BLT,-,-,5,-,2,4,-,-,-,-
  , MOSA-I,-,-,6,-,-,1,2,-,-,-
  , Y8K-5B,1,1,5,1,1,4,1,-,-,-
 E-UBWI, 8P-LKL,2,-,-,1,1,2,-,-,-,-
  , JVA-FE,2,-,4,-,2,1,-,-,-,-
  , Q-UVY6,1,-,3,-,1,1,1,-,-,-
  , QFU-4S,1,1,3,1,1,1,1,1,-,-
  , QQGH-G,1,2,2,-,1,3,-,-,-,-
  , RXA-W1,1,1,2,-,1,2,-,2,-,-
  , VK6-EZ,1,2,4,-,-,2,1,-,-,-
 E1L-UY, EU-WFW,-,1,3,-,-,4,-,-,-,-
  , G-VFVB,-,-,3,-,-,2,-,-,-,-
  , GTB-O4,-,1,3,-,-,4,2,-,-,-
  , K-YL9T,2,-,2,-,1,4,-,1,-,-
  , P65-TA,1,-,1,1,-,-,1,-,-,-
  , Y4B-BQ,-,2,2,-,1,1,2,-,-,-
 E65-47, 7-QOYS,2,-,1,1,-,4,1,-,-,-
  , KS8G-M,-,-,3,-,1,2,1,1,-,-
  , LH-LY1,1,1,1,-,2,2,-,1,-,-
  , OTJ9-E,4,-,-,2,-,1,-,-,-,-
  , S-CUEA,1,1,4,-,-,2,1,-,-,-
  , ZWM-BB,-,2,3,-,1,1,-,-,-,-
 J0-59Y, 6U-1RX,3,-,2,2,-,3,-,-,-,-
  , FO1U-K,-,-,4,1,3,1,-,-,-,-
  , JNG7-K,1,1,3,1,-,4,1,-,-,-
  , K-XJJT,1,1,4,-,-,2,1,-,-,-
  , P-NI4K,-,1,5,-,1,-,-,-,-,-
  , VX1-HV,2,-,4,-,-,-,1,-,-,-
  , Y4OK-W,1,-,3,-,1,1,1,1,-,-
 MY-HQD, JL-ZUQ,2,1,2,1,1,1,4,-,-,-
  , L-EUY2,1,-,1,-,2,4,-,-,-,-
  , M-NP5O,-,-,3,1,1,3,-,-,-,-
  , QRH-BF,1,-,1,4,1,2,1,-,-,-
  , WIW-X8,1,-,3,-,-,5,-,-,-,-
  , X-KHRZ,1,-,3,1,-,2,1,1,-,-
 OC-TTA, 1I5-0V,-,-,5,-,-,7,-,-,-,-
  , A-J6SN,-,-,4,-,3,3,-,-,-,-
  , AG-SYG,-,-,3,-,-,3,2,-,-,-
  , AL-JSG,1,-,2,1,1,3,1,-,-,-
  , C6C-K9,2,-,3,-,2,3,2,-,-,-
  , ETO-OT,-,1,2,-,1,5,2,1,-,-
  , KPI-OW,-,-,4,1,2,3,-,-,-,-
  , OTJ-4W,2,1,5,1,1,2,-,-,-,-
 OWT3-6, DVN6-0,2,1,3,-,-,1,1,-,-,-
  , GF-GR7,-,-,-,1,-,5,-,-,-,-
  , HPMN-V,2,-,1,-,-,3,-,-,-,-
  , U1-VHY,2,-,4,-,-,1,-,1,-,-
  , XR-ZL7,4,-,1,1,1,2,-,-,-,-
  , Z19-B8,-,-,3,1,1,6,1,-,-,-
 P-FL48, 4DH-ST,1,-,1,2,2,-,-,1,-,-
  , 6W-6O9,-,-,3,-,1,3,1,-,-,-
  , C-BHDN,1,-,1,-,2,2,-,-,-,-
  , H4X-0I,1,-,4,-,1,5,2,-,-,-
  , OSW-0P,2,1,2,-,1,2,3,-,-,-
  , R-RE2B,1,1,1,-,1,1,-,-,-,-
 Z6T6-B, 5LAJ-8,1,-,4,-,2,4,-,-,-,-
  , B9EA-G,1,-,1,1,2,6,3,-,-,-
  , E-BFLT,-,1,2,-,1,3,-,-,-,-
  , E4-E8W,-,-,1,-,3,4,-,-,-,-
  , GZM-KB,2,-,2,1,-,2,-,-,-,-
  , HIK-MC,-,1,5,-,1,1,-,1,-,-
  , L-WG68,-,2,4,-,1,4,1,-,-,-
