Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
03C-SU, C8VC-S,-,-,1,-,1,5,-,-,-,-
  , GIH-ZG,1,1,4,1,-,2,1,-,-,-
  , K-6SNI,2,1,2,-,1,2,-,-,-,-
  , L-VXTK,2,-,1,-,1,2,-,-,-,-
  , S8-NSQ,-,1,-,-,-,1,-,-,-,-
  , V7-FB4,-,-,4,-,2,2,-,-,-,-
  , W-UQA5,-,1,4,-,-,4,3,-,-,-
  , XD-TOV,1,1,4,-,1,-,1,-,-,-
 1P-VL2, E-OGL4,-,-,4,1,1,3,-,1,-,-
  , FY0W-N,-,-,3,-,2,2,-,-,-,-
  , J-GAMP,2,-,4,-,1,2,-,-,-,-
  , M-OEE8,1,2,1,-,4,3,1,-,-,-
  , MJI3-8,1,-,2,1,-,1,1,-,-,-
  , V0DF-2,-,-,4,-,1,3,-,-,-,-
 52-JKU, D7-ZAC,5,-,1,-,2,4,-,-,-,-
  , O-0ERG,1,-,3,-,1,5,-,-,-,-
  , Q-CAB2,-,1,3,1,-,3,1,-,-,-
  , SH1-6P,1,-,3,-,1,1,-,1,-,-
  , TRKN-L,-,1,3,-,1,4,-,-,-,-
  , WH-JCA,1,1,3,-,1,1,1,-,-,-
 E3-NLE, 3G-LHB,-,-,3,-,-,1,1,-,-,-
  , 9GI-FB,1,-,2,1,-,4,-,-,-,-
  , DBT-GB,-,1,4,-,3,-,-,1,-,-
  , L-1HKR,-,-,3,-,1,2,2,-,-,-
  , PBD-0G,-,-,4,-,2,3,-,2,-,-
  , U-W3WS,2,-,3,-,2,1,2,-,-,-
 GORV-P, 2ISU-Y,1,-,3,-,1,5,-,-,-,-
  , 9SL-K9,-,-,3,1,2,2,1,-,-,-
  , DL1C-E,-,-,2,1,1,2,-,-,-,-
  , OY-UZ1,1,-,3,1,-,2,1,1,-,-
  , X-CFN6,-,-,4,-,1,2,2,1,-,-
  , Y-PZHM,-,1,4,1,-,2,-,1,-,-
  , YLS8-J,2,1,2,-,2,4,-,-,-,-
 LLAP-1, 15W-GC,1,1,4,-,-,3,-,-,-,-
  , C2X-M5,1,1,2,1,1,3,-,-,-,-
  , H-W9TY,3,1,4,-,2,2,1,-,-,-
  , MSHD-4,-,-,3,1,2,2,1,-,-,-
  , N-FK87,1,-,2,1,2,1,1,-,-,-
  , PNDN-V,-,-,5,1,-,-,3,-,-,-
 W-XBGF, 2CG-5V,1,-,2,-,1,2,2,-,-,-
  , F-G7BO,2,-,2,-,3,2,1,-,-,-
  , IMK-K1,1,-,2,1,1,1,2,1,-,-
  , NJ4X-S,2,1,4,-,1,2,-,-,-,-
  , QFF-O6,1,-,3,-,1,3,2,-,-,-
  , W6VP-Y,-,1,4,-,-,2,1,-,-,-
 X-VN63, 0-YMBJ,1,1,4,2,2,-,-,-,-,-
  , A-DDGY,1,1,3,-,-,2,-,-,-,-
  , AW1-2I,-,1,2,-,-,2,1,-,-,-
  , B-S42H,-,-,3,-,-,2,1,-,-,-
  , F-749O,-,-,4,-,1,1,2,-,-,-
  , F-RT6Q,-,1,3,-,1,1,2,-,-,-
  , GKP-YT,-,1,2,1,3,1,1,-,-,-
  , NL6V-7,1,-,4,-,1,3,1,1,-,-
  , UMI-KK,-,1,4,-,2,4,-,-,-,-
