Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
0-8MWQ, 5T-KM3,1,-,3,1,3,2,-,-,-,-
  , 6Y-WRK,3,1,2,2,1,2,1,-,-,-
  , LS9B-9,2,1,2,2,1,-,1,-,-,-
  , RVCZ-C,3,-,2,-,-,1,-,-,-,-
  , VI2K-J,2,-,3,-,1,2,1,-,-,-
  , ZLZ-1Z,2,1,3,-,-,2,-,-,-,-
 5YHF-H, 0J3L-V,-,-,3,1,3,3,3,-,-,-
  , 0MV-4W,-,-,4,1,-,3,1,-,-,-
  , AZBR-2,1,1,3,1,2,3,-,-,-,-
  , T-GCGL,2,-,5,1,1,2,1,-,-,-
  , TVN-FM,2,1,2,-,1,2,2,-,-,-
  , V-NL3K,-,1,5,2,-,2,2,-,-,-
  , Z-8Q65,-,-,4,-,-,1,2,-,-,-
 88G-M4, 7G-H7D,-,1,3,-,1,3,1,-,-,-
  , JZV-F4,1,-,2,-,-,1,1,-,-,-
  , MGAM-4,1,-,-,-,1,3,-,-,-,-
  , Q3-BAY,1,1,2,-,1,2,-,-,-,-
  , R-RSZZ,1,-,4,-,2,2,1,-,-,-
  , VORM-W,1,-,2,1,-,4,1,-,-,-
 9KX-M0, 9-GBPD,1,1,2,2,-,2,-,-,-,-
  , A-QRQT,1,-,4,-,1,2,-,-,-,-
  , A3-RQ3,2,-,2,1,2,1,-,-,-,-
  , LS-JEP,1,-,3,-,1,2,2,-,-,-
  , PX5-LR,-,1,4,-,-,-,1,-,-,-
  , WMBZ-U,1,-,2,-,1,5,-,-,-,-
 A3-T8B, 1VK-6B,2,-,-,-,-,1,-,1,-,-
  , 1W-0KS,-,-,3,-,2,1,1,-,-,-
  , 7-PO3P,1,1,4,-,-,2,1,-,-,-
  , E-SCTX,-,1,5,-,-,2,1,-,-,-
  , H-EY0P,1,-,-,-,1,3,1,1,-,-
  , IT-YAU,2,-,3,-,1,3,-,1,-,-
  , MQ-O27,-,-,2,-,1,3,1,-,-,-
  , S6QX-N,-,1,4,-,1,1,-,-,-,-
  , UNAG-6,2,-,3,-,-,4,1,-,-,-
 BUG6-X, 05R-7A,-,-,2,1,4,2,1,-,-,-
  , 5ZO-NZ,2,1,2,-,1,3,-,-,-,-
  , 7-UH4Z,-,1,2,1,1,4,-,-,-,-
  , FS-RFL,-,-,3,-,2,3,-,-,-,-
  , N-HSK0,1,-,2,-,-,3,-,1,-,-
  , X97D-W,1,-,3,-,1,2,-,-,-,-
  , Y0-BVN,-,-,2,1,1,3,1,1,-,-
 DILJ-7, 0R-F2F,4,-,-,1,1,1,1,-,-,-
  , 1N-FJ8,-,1,3,1,-,3,1,-,-,-
  , 2DWM-2,2,-,2,1,-,3,-,-,-,-
  , 669-IX,1,1,3,-,1,3,-,-,-,-
  , R-P7KL,1,1,4,-,-,2,-,-,-,-
  , XF-PWO,2,1,2,-,1,2,-,-,-,-
 DMXN-3, 3HX-DL,1,-,2,-,1,3,-,1,-,-
  , FA-DMO,2,1,4,1,1,3,1,-,-,-
  , GEKJ-9,-,-,3,-,1,2,1,-,-,-
  , MY-T2P,-,1,2,-,1,4,1,-,-,-
  , N-5QPW,1,-,2,1,-,4,1,-,-,-
  , NFM-0V,1,1,2,-,-,3,1,-,-,-
  , Q-R3GP,1,1,3,-,3,3,-,-,-,-
  , UH-9ZG,2,-,-,2,-,2,-,-,-,-
  , XV-8JQ,1,1,2,-,2,1,-,-,-,-
  , YXIB-I,-,1,4,-,1,2,1,-,-,-
 E-8CSQ, 8-TFDX,-,-,2,-,-,2,1,-,-,-
  , B-E3KQ,-,1,4,-,2,3,-,-,-,-
  , BR-6XP,1,-,4,-,2,2,-,-,-,-
  , G5ED-Y,1,1,2,1,-,3,-,-,-,-
  , O-LR1H,3,-,1,1,-,5,-,-,-,-
  , UL-4ZW,1,-,2,-,-,5,1,-,-,-
  , Y5J-EU,2,-,-,-,-,5,-,1,-,-
 F-V9QW, 1-GBBP,1,-,2,-,-,4,1,-,-,-
  , C-FP70,-,1,4,1,1,3,1,-,-,-
  , G96R-F,2,-,1,2,1,3,-,-,-,-
  , T-ZWA1,-,-,2,-,1,3,1,3,-,-
  , Y-ZXIO,2,1,4,-,-,-,-,-,-,-
  , ZA0L-U,-,1,3,-,1,2,-,1,-,-
 I89-EP, 4-HWWF,1,1,3,-,-,2,-,-,-,-
  , 4GYV-Q,3,-,2,-,3,4,-,-,-,-
  , 8TPX-N,2,-,2,-,2,2,-,-,-,-
  , PM-DWE,4,-,1,1,-,2,-,-,-,-
  , WBR5-R,1,-,2,-,-,1,1,-,-,-
  , YMJG-4,1,-,1,1,-,3,2,-,-,-
 OSJ7-I, 0-R5TS,-,-,4,-,1,2,-,-,-,-
