Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
0HD-6C, 42XJ-N,2,-,3,-,1,1,1,-,-,-
  , B3QP-K,-,-,5,1,1,-,2,-,-,-
  , FHB-QA,-,1,1,-,1,4,-,-,-,-
  , G9D-XW,1,-,4,1,1,3,1,-,-,-
  , GVZ-1W,-,-,4,1,1,4,-,-,-,-
  , Z3U-GI,3,1,2,-,2,3,1,-,-,-
 0KTC-R, 2IBE-N,1,1,2,-,-,3,1,-,-,-
  , C2-DDA,2,-,2,-,2,2,1,-,-,-
  , L-IE41,-,2,2,-,1,3,-,-,-,-
  , VG-QW1,2,-,1,1,1,1,-,-,-,-
  , YJ3-UT,-,-,3,-,-,3,3,-,-,-
  , ZD4-G9,1,-,-,1,3,2,2,-,-,-
 1G-8KY, 9-R6GU,-,-,3,-,2,2,-,-,-,-
  , KK-L97,-,1,5,-,-,2,-,-,-,-
  , N-Q5PW,-,-,5,-,1,3,-,1,-,-
  , R-KZK7,-,1,4,-,1,2,1,1,-,-
  , Y-W1Q3,-,1,2,-,1,1,2,1,-,-
  , Y6-HPG,-,2,3,-,1,3,2,1,-,-
  , Z-GY5S,-,-,4,-,1,1,-,1,-,-
 48R-PS, 6W-HRH,1,-,2,-,1,4,1,-,-,-
  , 9-8BL8,1,1,2,-,4,2,-,-,-,-
  , CSOA-B,1,1,4,1,-,3,-,-,-,-
  , K3JR-J,2,1,1,-,1,4,2,-,-,-
  , MQFX-Q,1,-,4,-,-,3,1,-,-,-
  , N5Y-4N,1,-,1,2,-,3,1,-,-,-
 E-I1JW, 0-XIDJ,-,1,2,-,-,3,4,-,-,-
  , 8CIX-S,-,-,5,-,-,2,-,-,-,-
  , D-SKWC,1,-,1,1,2,4,-,-,-,-
  , E-7U8U,-,-,5,-,-,3,-,-,-,-
  , HBD-CC,1,-,2,-,3,2,1,-,-,-
  , O-TVTD,3,-,1,-,1,3,1,-,-,-
  , P-GKF5,3,-,3,-,-,2,1,-,-,-
  , SBL5-R,-,-,1,1,-,2,1,-,-,-
 L-1T22, 430-BE,2,1,3,-,1,2,3,-,-,-
  , 6UQ-4U,-,1,3,1,-,1,-,-,-,-
  , AZ-UWB,1,1,3,1,-,3,-,-,-,-
  , H-S5BM,1,-,2,-,2,4,1,-,-,-
  , LHJ-2G,1,1,3,1,2,2,-,-,-,-
  , OJ-CT4,2,1,3,-,2,-,1,-,-,-
  , SHJO-J,-,-,1,1,1,7,1,1,-,-
 N32Z-Z, 3A1P-N,1,-,1,-,1,3,1,-,-,-
  , 92K-H2,1,-,2,1,-,5,-,1,-,-
  , A-AFGR,1,-,4,-,1,5,-,-,-,-
  , AA-YRK,-,2,2,1,-,1,-,-,-,-
  , N6G-H3,3,1,2,-,-,3,-,1,-,-
  , OZ-VAE,-,-,2,-,1,1,1,1,-,-
 ST-0EZ, 1-Y6KI,-,1,4,-,-,1,-,-,-,-
  , 9-266Q,-,2,2,-,-,3,1,-,-,-
  , D-8SI1,2,-,3,-,1,2,2,1,-,-
  , H-PA29,1,-,-,-,-,-,3,1,-,-
  , P-FSQE,2,-,-,-,-,2,1,-,-,-
  , YP-J33,-,-,2,2,-,1,1,-,-,-
 UTZ-7B, 0-BFTQ,1,2,3,1,1,1,1,-,-,-
  , 6NJ8-V,1,1,1,1,1,2,-,-,-,-
  , AJCJ-1,1,-,2,-,-,2,1,-,-,-
  , BV-1JG,-,1,3,-,1,3,-,-,-,-
  , SS-GED,-,-,3,-,1,2,2,1,-,-
  , Y-4CFK,-,-,5,-,1,-,-,-,-,-
 W9MQ-1, 4RX-EE,-,-,-,1,1,2,1,1,-,-
  , 9IPC-E,-,1,3,-,1,4,1,-,-,-
  , EIV-1W,2,2,2,-,-,2,1,-,-,-
  , N0C-UN,1,-,3,-,-,2,1,-,-,-
  , QHJ-FW,1,-,4,-,1,3,-,-,-,-
  , S-1ZXZ,-,2,4,-,1,2,-,-,-,-
  , V3X-L8,1,1,3,-,-,3,-,-,-,-
  , VG-6CH,-,-,2,1,1,1,2,-,-,-
  , Z0-TJW,1,1,3,-,1,2,-,-,-,-
 XHYS-O, 92D-OI,2,1,4,-,3,3,-,-,-,-
  , EK2-ET,-,-,2,-,-,3,2,1,-,-
  , N-5476,2,-,2,1,3,2,-,-,-,-
  , PZOZ-K,1,1,3,-,2,2,-,-,-,-
  , SE-SHZ,1,-,-,2,-,2,1,-,-,-
  , W3KK-R,-,-,2,-,1,6,1,-,-,-
 XMNF-7, 2TH-3F,-,1,4,-,-,1,1,-,-,-
  , 4S-PVC,2,-,3,-,3,2,-,-,-,-
  , E1F-E5,-,-,3,1,1,2,-,1,-,-
  , H-AJ27,1,-,3,-,-,-,1,1,-,-
  , M2-2V1,-,1,3,-,2,2,2,-,-,-
  , WLF-D3,-,-,2,-,1,3,2,-,-,-
 Y8-HHZ, 0-O2UT,1,1,2,-,1,-,-,1,-,-
  , 2PLH-3,-,1,2,-,-,2,-,-,-,-
  , 4-7IL9,-,1,4,-,1,1,-,1,-,-
  , 65V-RH,2,-,-,-,1,3,2,-,-,-
  , B-CZXG,-,-,1,1,-,4,-,-,-,-
  , JURU-T,3,-,1,-,1,2,1,1,-,-
  , MC6-5J,1,2,4,-,-,1,-,-,-,-
  , Q61Y-F,3,-,3,-,2,3,-,-,-,-
  , RQ9-OZ​【255 g】,-,1,3,-,1,1,-,-,-,-
 Y8HB-U, 6ZJ-SC,1,1,2,-,1,1,2,1,-,-
  , HD-JVQ,1,-,3,-,1,3,-,-,-,-
  , P-VYVL,-,1,3,-,-,3,1,-,-,-
  , PF-QHK,2,1,4,-,1,3,-,-,-,-
  , Q-7SUI,1,1,2,1,-,2,1,-,-,-
  , VVD-O6,1,-,2,1,1,3,-,-,-,-
  , XW-6TC,3,-,2,1,-,6,1,1,-,-
