Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
Aideron, Amoderia,3,-,1,2,1,3,1,-,-,-
  , Arraron,1,-,1,-,1,5,-,-,-,-
  , Chantrousse,1,-,4,-,-,2,1,-,-,-
  , Osmomonne,-,-,2,-,-,3,1,1,-,-
  , Stou,3,-,-,2,-,2,1,-,-,-
  , Tierijev,1,-,1,-,2,2,-,-,-,-
 Ancbeu, Annelle,-,1,3,-,3,4,-,-,-,-
  , Chesiette,1,-,5,1,1,3,-,-,-,-
  , Claulenne,-,2,3,-,-,2,-,-,-,-
  , Masalle,-,1,3,-,-,5,-,-,-,-
  , Reblier,-,-,3,1,-,2,3,-,-,-
  , Scolluzer,-,-,3,-,3,4,1,-,-,-
  , Sortet,1,-,3,-,2,2,-,-,-,-
 Anwyns, Adallier,-,-,3,1,-,3,-,-,-,-
  , Aidart,1,-,3,-,2,2,-,-,-,-
  , Alenia,-,1,5,-,-,1,-,1,-,-
  , Alentene,2,-,3,-,-,2,-,-,-,-
  , Channace,-,-,3,1,-,3,-,-,-,-
  , Cistuvaert,-,-,4,1,1,-,1,-,-,-
  , Merolles,-,1,4,-,2,2,1,1,-,-
  , Tourier,-,-,2,-,1,3,1,-,-,-
  , Vaere,2,-,3,-,1,4,-,-,-,-
 Kiartanne, Amygnon,1,1,2,-,1,2,1,-,-,-
  , Ansalle,1,-,3,-,-,2,-,-,-,-
  , Ellmay,1,1,3,-,1,3,2,-,-,-
  , Gisleres,-,-,5,-,-,2,-,-,-,-
  , Jufvitte,1,1,5,1,-,2,-,-,-,-
  , Scheenins,-,2,4,-,-,-,-,-,-,-
  , Theruesse,-,-,-,1,1,4,1,-,-,-
 Obray, Clacille,-,-,4,1,-,2,-,-,-,-
  , Clellinon,-,-,3,1,-,3,-,-,-,-
  , Ekuenbiron,1,-,3,-,1,3,-,-,-,-
  , Eletta,1,1,2,-,1,2,1,1,-,-
  , Hevrice,1,-,3,-,1,4,-,-,-,-
  , Jovainnon,2,-,1,1,1,2,-,1,-,-
  , Luse,2,-,2,-,-,3,-,-,-,-
  , Raneilles,-,1,3,-,-,3,1,1,-,-
  , Vay,2,-,3,-,-,2,1,-,-,-
 Woenckee, Costolle,-,-,3,-,2,2,1,-,-,-
  , Loes,-,1,2,-,1,1,2,-,-,-
  , Melmaniel,1,1,3,-,1,2,1,-,-,-
  , Muetralle,-,-,1,-,-,1,-,-,-,-
  , Murethand,1,1,2,1,1,3,-,-,-,-
  , Ouelletta,2,-,1,1,-,-,1,-,-,-
