Constellation,SolarSystem,Temperate,Ice,Gas,Oceanic,Lava,Barren,Storm,Plasma,Shattered,Scorched Barren
0FC-ZX, 30-YOU,1,-,2,-,1,1,-,1,-,-
  , 384-IN​【975 cm】,-,-,2,-,1,4,2,-,-,-
  , 4F89-U,2,-,2,1,-,5,1,-,-,-
  , E-JCUS,1,1,2,-,-,3,1,-,-,-
  , G063-U,1,1,3,-,1,1,1,-,-,-
  , J7-BDX,1,-,3,-,-,1,2,-,-,-
  , LP1M-Q,3,-,-,2,1,2,-,-,-,-
  , MKIG-5,1,-,-,1,3,3,3,-,-,-
  , W-QN5X,-,-,1,-,2,3,1,-,-,-
  , YHEN-G,-,-,1,1,1,3,2,-,-,-
 3GK-WS, 5DE-QS,-,-,3,-,-,6,1,-,-,-
  , 5Q65-4,-,-,4,1,1,2,1,-,-,-
  , F-3FOY,3,-,1,-,2,3,-,-,-,-
  , OAIG-0,-,1,2,-,-,4,2,-,-,-
  , R0-DMM,1,-,4,-,2,3,-,-,-,-
  , UM-SCG,1,-,3,-,2,3,-,1,-,-
  , UZ-QXW,1,-,3,1,1,2,-,1,-,-
 4-QV2L, F5M-CC,-,1,4,-,-,2,-,-,-,-
  , LKZ-CY,1,-,2,-,2,4,-,-,-,-
  , TZE-UB,1,-,2,1,1,2,3,-,-,-
  , V7G-RL,-,-,3,-,2,2,1,1,-,-
  , WRL4-2,-,-,3,1,1,3,-,1,-,-
  , XEN7-0,-,-,2,1,1,6,1,-,-,-
 5Y1E-3, 3Q-VZA,3,-,2,-,1,2,-,1,-,-
  , A-4JOO,3,-,-,3,-,-,-,-,-,-
  , HPBE-D,1,1,1,-,1,3,-,-,-,-
  , M-MBRT,-,1,3,-,1,2,1,-,-,-
  , R4N-LD,4,-,-,-,-,4,-,-,-,-
  , TP7-KE,-,1,4,-,-,3,-,-,-,-
 5ZR-29, 0RI-OV,-,-,3,1,-,3,3,-,-,-
  , C-LTXS,3,-,1,-,2,3,-,-,-,-
  , C0O6-K,-,-,3,-,-,4,1,-,-,-
  , G9NE-B,-,-,4,-,-,6,-,-,-,-
  , HD-AJ7,-,1,2,-,3,1,1,-,-,-
  , SJJ-4F,2,-,2,1,1,1,1,-,-,-
  , SR-4EK,-,-,2,2,2,4,-,-,-,-
 760-9C, 07-SLO,1,1,3,-,1,4,-,-,-,-
  , DUO-51,1,-,3,-,-,1,1,-,-,-
  , GPD5-0,1,-,2,-,1,3,-,-,-,-
  , GRHS-B,1,1,5,-,1,2,1,1,-,-
  , J-RXYN,2,-,1,1,1,2,-,-,-,-
  , Z-A8FS,-,-,3,1,1,3,1,-,-,-
 AC-RON, 0TYR-T,1,2,4,-,-,1,-,-,-,-
  , 8-OZU1,-,-,3,1,1,3,-,-,-,-
  , G9L-LP,2,-,3,1,-,-,-,-,-,-
  , GM-50Y,-,-,3,1,-,4,-,-,-,-
  , L-FM3P,1,-,3,1,-,2,1,1,-,-
  , MLQ-O9,-,1,3,-,-,5,1,-,-,-
  , X-ARMF,-,1,4,-,1,2,-,-,-,-
 DJ-XCW, 5E-CMA,-,-,1,-,2,4,-,-,-,-
  , 6-L4YC,1,1,4,-,-,3,-,-,-,-
  , GGE-5Q,2,1,2,-,1,5,-,-,-,-
  , GPLB-C,1,-,3,1,2,4,2,1,-,-
  , M3-KAQ,2,-,2,1,1,4,1,-,-,-
  , U104-3,-,3,4,1,1,1,-,-,-,-
 GU-JZ1, 5NQI-E,-,1,2,-,1,-,-,1,-,-
  , 7K-NSE,1,-,1,1,2,3,-,-,-,-
  , B-WQDP,1,1,2,-,2,5,1,-,-,-
  , JEQG-7,-,1,3,-,1,3,1,-,-,-
  , L-Z9KJ,1,1,5,-,-,2,1,-,-,-
  , OR-7N5,1,-,2,-,2,4,-,-,-,-
 J-9M7D, 1-7B6D,2,-,1,-,-,2,1,-,-,-
  , 4-EFLU,1,1,3,-,-,1,1,-,-,-
  , EIH-IU,1,-,2,1,4,-,-,-,-,-
  , F-QQ5N,-,1,3,-,-,4,1,-,-,-
  , H6-EYX,2,1,2,-,-,-,2,-,-,-
  , U-HVIX,-,-,1,1,1,2,1,-,-,-
 R-M719, 1L-OEK,-,1,3,-,2,3,-,-,-,-
  , 4-OS2A,-,1,1,-,-,3,1,-,-,-
  , 5H-SM2,-,-,5,-,1,3,-,-,-,-
  , F-EM4Q,-,-,4,-,-,2,-,-,-,-
  , MN-Q26,2,2,2,-,1,1,-,1,-,-
  , Q-GQHN,2,-,2,2,-,4,-,-,-,-
  , SO-X5L,-,1,3,-,-,3,1,-,-,-
  , XQS-GZ,1,1,2,2,1,2,1,-,-,-
  , YI-GV6,1,-,-,-,-,4,-,-,-,-
 RF9-ZU, C-62I5,-,-,1,-,-,1,2,-,-,-
  , H-HHTH,-,1,3,-,-,1,-,-,-,-
  , JQU-KY,-,-,2,1,1,1,1,1,-,-
  , MWA-5Q,-,1,2,-,3,3,-,-,-,-
  , UY5A-D,-,1,5,-,1,1,-,1,-,-
  , ZH-GKG,-,2,2,-,-,-,1,-,-,-
